Year,SETR Category,Award level,Total Graduates,US Graduates,US Nonresident Graduates
2014,Artificial Intelligence,All award levels (total),41726,32630,9096
2015,Artificial Intelligence,All award levels (total),49218,35834,13384
2016,Artificial Intelligence,All award levels (total),58437,39914,18523
2017,Artificial Intelligence,All award levels (total),66615,44995,21620
2018,Artificial Intelligence,All award levels (total),70367,49438,20929
2019,Artificial Intelligence,All award levels (total),75242,55235,20007
2020,Artificial Intelligence,All award levels (total),83088,60733,22355
2021,Artificial Intelligence,All award levels (total),90529,66038,24491
2022,Artificial Intelligence,All award levels (total),90507,70344,20163
2023,Artificial Intelligence,All award levels (total),107964,73878,34086
2014,Artificial Intelligence,Associate's degree,2519,2462,57
2015,Artificial Intelligence,Associate's degree,2865,2783,82
2016,Artificial Intelligence,Associate's degree,2990,2875,115
2017,Artificial Intelligence,Associate's degree,3396,3272,124
2018,Artificial Intelligence,Associate's degree,3803,3591,212
2019,Artificial Intelligence,Associate's degree,4184,3881,303
2020,Artificial Intelligence,Associate's degree,4719,4357,362
2021,Artificial Intelligence,Associate's degree,5458,5092,366
2022,Artificial Intelligence,Associate's degree,5836,5507,329
2023,Artificial Intelligence,Associate's degree,6076,5821,255
2014,Artificial Intelligence,Bachelor's degree,23539,21913,1626
2015,Artificial Intelligence,Bachelor's degree,26227,24308,1919
2016,Artificial Intelligence,Bachelor's degree,30269,27829,2440
2017,Artificial Intelligence,Bachelor's degree,34679,31582,3097
2018,Artificial Intelligence,Bachelor's degree,39947,35871,4076
2019,Artificial Intelligence,Bachelor's degree,45011,40237,4774
2020,Artificial Intelligence,Bachelor's degree,50186,44342,5844
2021,Artificial Intelligence,Bachelor's degree,54131,47621,6510
2022,Artificial Intelligence,Bachelor's degree,57161,50616,6545
2023,Artificial Intelligence,Bachelor's degree,59037,52736,6301
2014,Artificial Intelligence,Doctor's degree – other,48,47,1
2015,Artificial Intelligence,Doctor's degree – other,48,48,0
2016,Artificial Intelligence,Doctor's degree – other,43,43,0
2017,Artificial Intelligence,Doctor's degree – other,50,50,0
2018,Artificial Intelligence,Doctor's degree – other,45,45,0
2019,Artificial Intelligence,Doctor's degree – professional practice,53,53,0
2020,Artificial Intelligence,Doctor's degree – professional practice,47,47,0
