Table 6-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Female research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,Female doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
Female doctorate recipients reporting postgraduation commitments,27499,18054,16942,6254,4433,3835,2420,1099,13
Science and engineering,20486,13573,12780,5668,2251,3460,1401,786,7
Agricultural sciences and natural resources,706,446,418,173,75,106,64,28,0
"Agricultural, animal, plant, and veterinary sciences",485,301,282,116,48,86,32,19,0
Natural resources and conservation,221,145,136,57,27,20,32,9,0
Biological and biomedical sciences,5290,3385,3228,1857,335,788,248,155,2
"Biochemistry, biophysics, and molecular biology",728,434,416,230,38,128,20,17,1
"Bioinformatics, biostatistics, and computational biology",322,219,205,60,26,92,27,14,0
"Biological and biomedical sciences, general",537,296,283,167,24,71,21,13,0
Cell/ cellular biology and anatomy,448,275,266,159,28,73,6,9,0
"Ecology, evolutionary biology, and epidemiology",697,504,471,269,68,48,86,33,0
Genetics and genomics,252,163,D,97,D,36,7,D,0
Microbiology and immunology,597,377,359,226,26,87,20,17,1
Neurobiology and neurosciences,676,450,434,287,41,88,18,16,0
Pharmacology and toxicology,229,143,D,72,D,58,6,D,0
"Physiology, oncology, and cancer biology",408,267,259,145,32,69,13,8,0
"Biological and biomedical sciences, other",396,257,243,145,36,38,24,14,0
Computer and information sciences,587,375,340,72,75,166,27,34,1
Computer science,371,242,219,49,42,116,12,23,0
"Computer and information sciences, other",216,133,121,23,33,50,15,11,1
Engineering,2851,1813,1719,560,162,866,131,92,2
"Aerospace, aeronautical, astronautical, and space engineering",95,63,63,17,11,23,12,0,0
"Biological, biomedical, and biosystems engineering",570,358,345,160,13,155,17,13,0
Chemical and petroleum engineering,356,232,221,63,10,140,8,11,0
"Civil, environmental, and transportation engineering",416,244,231,95,24,86,26,13,0
Electrical and computer engineering,400,260,243,51,21,158,13,16,1
Engineering technologies,85,57,51,18,8,22,3,6,0
Industrial engineering and operations research,191,128,119,15,29,61,14,8,1
Materials and mining engineering,263,181,171,54,8,96,13,10,0
Mechanical engineering,275,178,169,46,21,88,14,9,0
"Engineering, other",200,112,106,41,17,37,11,6,0
"Geosciences, atmospheric, and ocean sciences",547,381,364,237,39,43,45,16,1
Geological and earth sciences,298,200,190,114,28,31,17,9,1
"Ocean, marine, and atmospheric sciences",249,181,174,123,11,12,28,7,0
Health sciences,1957,1267,1185,331,421,225,208,82,0
Nursing and nursing science,569,380,349,61,D,D,76,31,0
Pharmacy and pharmaceutical sciences,231,134,125,53,D,D,4,9,0
Public health,548,376,353,126,93,51,83,23,0
"Health sciences, other",609,377,358,91,153,69,45,19,0
Mathematics and statistics,575,428,393,139,72,159,23,35,0
Applied mathematics,148,110,103,53,14,30,6,7,0
Mathematics,186,131,120,55,35,27,3,11,0
Statistics,241,187,170,31,23,102,14,17,0
Multidisciplinary/ interdisciplinary sciences,660,439,413,137,92,143,41,26,0
Interdisciplinary computer sciences,174,131,124,27,25,67,5,7,0
"Multidisciplinary/ interdisciplinary sciences, other",486,308,289,110,67,76,36,19,0
Physical sciences,1848,1238,1165,477,82,530,76,73,0
Astronomy and astrophysics,104,79,69,D,D,5,3,10,0
Chemistry,1180,775,744,265,44,383,52,31,0
Materials sciences,141,97,90,D,D,56,8,7,0
Physics,423,287,262,138,25,86,13,25,0
Psychology,2907,2043,2005,1244,294,221,246,38,0
Clinical psychology,961,748,D,649,28,D,50,D,0
Counseling and applied psychology,1005,724,708,373,128,94,113,16,0
Research and experimental psychology,558,375,D,145,96,D,48,D,0
"Psychology, other",383,196,191,77,42,37,35,5,0
Social sciences,2558,1758,1550,441,604,213,292,207,1
Anthropology,245,146,126,58,43,7,18,20,0
"Area, ethnic, cultural, gender, and group studies",296,179,161,50,84,7,20,18,0
Economics,485,374,301,54,96,79,72,72,1
Political science and government,281,195,172,63,65,25,19,23,0
Public policy analysis,246,176,168,38,53,15,62,8,0
"Sociology, demography, and population studies",387,290,268,74,124,30,40,22,0
"Social sciences, other",618,398,354,104,139,50,61,44,0
Non-science and engineering,7013,4481,4162,586,2182,375,1019,313,6
Business,688,507,431,41,307,54,29,76,0
Business administration and management,228,132,116,9,77,16,14,16,0
"Business, other",460,375,315,32,230,38,15,60,0
Education,2899,1928,1853,155,867,159,672,73,2
Education leadership and administration,783,566,557,28,277,28,224,9,0
Education research,936,592,564,48,253,82,181,27,1
Teacher education and teaching fields,825,554,D,56,242,D,188,D,0
"Education, other",355,216,D,23,95,D,79,D,1
Humanities,1627,959,876,199,490,57,130,80,3
"English language and literature, letters",619,359,341,64,210,29,38,18,0
"Foreign languages, literatures, and linguistics",338,193,D,34,99,D,24,D,1
History,329,210,189,60,82,13,34,20,1
Philosophy and religious studies,222,132,116,32,64,0,20,15,1
"Humanities, other",119,65,D,9,35,D,14,D,0
Visual and performing arts,468,253,228,42,134,14,38,25,0
Performing arts,230,129,119,12,80,8,19,10,0
"Visual arts, media studies, and design",238,124,109,30,54,6,19,15,0
Other non-science and engineering,1331,834,774,149,384,91,150,59,1
Communications and journalism,388,240,227,35,143,18,31,13,0
Multidisciplinary/ interdisciplinary studies,220,134,125,20,63,20,22,9,0
Public administration and social services,362,253,235,50,97,27,61,17,1
"Non-science and engineering, other",361,207,187,44,81,26,36,20,0
