Table 2-7,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Employment sector of research doctorate recipients with definite postgraduation commitments for non-postdoc employment in the United States, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
"Employment commitment, sector, and year",Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asianb,Black or African American,White,More than one race,Other race or race not reportedc,
All U.S. employment commitments (number),,,,,,,,,,,,,
1993,15029,8371,6657,13676,1350,446,65,577,622,11897,na,41,28
1998,16603,9334,7266,14568,2022,590,85,957,754,11909,na,151,122
2003,15636,8097,7539,13424,2192,681,66,717,852,10674,156,131,147
2008,17273,9001,8272,13283,3961,644,53,843,849,10407,204,123,160
2013,15033,8133,6900,11774,3200,603,37,802,750,9155,259,88,80
2018,18907,10152,8755,14118,4726,966,54,1121,1049,10263,456,138,71
2023,22462,11771,10688,15575,6764,1414,56,1623,1376,10340,527,144,95
Academe (%),,,,,,,,,,,,,
1993,51.7,47,57.6,51.6,52.3,57.8,56.9,43.7,55.5,51.6,na,48.8,46.4
1998,45.7,39.6,53.6,48.1,28.9,55.8,52.9,27.3,49.7,49.2,na,49,46.7
2003,54.4,50.4,58.6,54.9,51.1,58.7,48.5,42,54,55.5,60.9,53.4,59.2
2008,51.1,44.6,58.2,55,37.8,56.7,D,41.9,51.2,56.5,D,53.7,51.3
2013,50.2,43.2,58.6,54.5,34.8,57,62.2,42.3,54,55.6,54.8,45.5,45
2018,43.2,36.8,50.6,47.5,30.2,53.9,59.3,35.3,43.9,48.5,51.1,38.4,46.5
2023,34.2,27.5,41.5,38.5,24.4,39.5,51.8,28.2,39,39.8,39.7,38.2,35.8
Government (%),,,,,,,,,,,,,
1993,9.1,10.2,7.8,9.8,2.3,11.7,16.9,7.8,9.3,9.8,na,7.3,17.9
1998,7.1,8.2,5.8,7.9,1.6,7.1,D,6.7,7.7,8.1,na,D,12.3
2003,7.5,8.6,6.3,8.5,1.6,7,D,9.6,8.8,8.4,D,11.5,5.4
2008,6.2,6.8,5.6,7.7,1.5,6.5,D,7.9,9.9,7.4,D,6.5,6.9
2013,7.5,8.2,6.8,9.2,1.4,9.6,D,7,11.7,9.2,6.9,D,10
2018,6.8,7,6.5,8.7,1.2,8.6,9.3,7.3,13.7,8.2,10.3,9.4,9.9
2023,6.8,6.8,6.9,9.2,1.3,9.5,8.9,7.6,11.8,9.2,8.2,5.6,12.6
Industry or business (%)d,,,,,,,,,,,,,
1993,20.3,26.5,12.5,18.5,38.8,15.7,7.7,40,8.2,18.1,na,22,17.9
1998,28.7,38.1,16.7,23.9,63.8,14.2,16.5,52.7,12.9,22.7,na,25.8,24.6
2003,20.8,27.7,13.3,17.2,42.4,12.5,16.7,38.1,10.3,16.8,13.5,19.8,12.2
2008,27,36.5,16.7,18.4,55.8,15.8,D,40,10.7,17.4,D,19.5,19.4
2013,30.1,39.4,19.1,21.9,60.1,19.1,D,41.6,13.6,21,22.4,D,22.5
2018,36.8,46.1,26,27.8,63.8,21.3,D,45.6,17.5,27.7,24.3,D,26.8
2023,46.7,56.6,35.9,36.8,69.6,34,21.4,53.2,25.3,36.1,39.7,41,30.5
Nonprofit organization (%),,,,,,,,,,,,,
1993,6,5.8,6.3,6.4,2.1,4.5,D,4.3,3.7,6.8,na,D,3.6
1998,5.3,4.3,6.5,5.7,2.1,5.6,D,5.2,4.5,5.8,na,D,3.3
2003,6,5.4,6.6,6.5,2.7,6.6,D,6.6,5,6.7,D,6.1,4.1
2008,4.7,4,5.5,5.4,2.4,5.9,D,5,6.6,5.3,D,6.5,6.3
2013,5.6,4.5,6.8,6.4,2.5,6,13.5,5.5,6.1,6.4,8.1,10.2,12.5
2018,6.4,5.2,7.7,7.5,3,6.4,D,7.8,8.5,7.4,7,D,2.8
2023,6.5,4.9,8.3,8,3.2,7.9,8.9,7.4,11.3,7.6,8.7,4.9,6.3
Other or unknown (%)e,,,,,,,,,,,,,
1993,12.9,10.5,15.8,13.7,4.4,10.3,D,4.2,23.3,13.8,na,D,14.3
1998,13.1,9.9,17.3,14.5,3.6,17.3,18.8,8.2,25.2,14.2,na,13.2,13.1
2003,11.4,7.9,15.1,12.9,2.2,15.1,16.7,3.8,21.8,12.6,12.2,9.2,19
2008,11,8.2,14,13.5,2.5,15.1,D,5.2,21.6,13.5,D,13.8,16.3
2013,6.6,4.8,8.8,8,1.3,8.3,5.4,3.6,14.5,7.8,7.7,14.8,10
2018,6.8,4.8,9.2,8.6,1.6,9.7,7.4,4,16.4,8.2,7.2,10.9,14.1
2023,5.8,4.2,7.5,7.6,1.4,9.1,8.9,3.6,12.6,7.4,3.8,10.4,14.7
