Table 3-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Research doctorate recipients, by detailed field of doctorate and sex: 2023",,,,
(Number),,,,
Field of doctorate,Totala,Male,Female,% female
All fields,57862,30356,27499,47.5
Science and engineering,45973,25480,20486,44.6
Agricultural sciences and natural resources,1278,572,706,55.2
"Agricultural, animal, plant, and veterinary sciences",856,371,485,56.7
Agronomy and crop science,76,47,29,38.2
Animal sciences,173,69,104,60.1
Food science and technology,178,56,122,68.5
Plant sciences,149,92,57,38.3
Soil sciences,86,35,51,59.3
Veterinary biomedical and clinical sciences,93,30,63,67.7
"Agricultural, animal, plant, and veterinary sciences nec",101,42,59,58.4
Natural resources and conservation,422,201,221,52.4
Environmental science,132,58,74,56.1
Environmental/ natural resources management and policy,63,32,31,49.2
Forestry,69,39,30,43.5
Natural resources conservation and research,81,29,52,64.2
Natural resources and conservation nec,77,43,34,44.2
Biological and biomedical sciences,9724,4433,5290,54.4
"Biochemistry, biophysics, and molecular biology",1509,780,728,48.2
Biochemistry,440,229,211,48
Biochemistry and molecular biology,311,136,175,56.3
Biophysics,254,178,76,29.9
Molecular biology,268,116,151,56.3
"Biochemistry, biophysics, and molecular biology nec",236,121,115,48.7
"Bioinformatics, biostatistics, and computational biology",735,413,322,43.8
Bioinformatics,181,116,65,35.9
Biostatistics,283,129,154,54.4
Computational biology,151,100,51,33.8
"Bioinformatics, biostatistics, and computational biology nec",120,68,52,43.3
"Biological and biomedical sciences, general",907,370,537,59.2
"Biology/ biological sciences, general",522,219,303,58
"Biomedical sciences, general",385,151,234,60.8
Cell/ cellular biology and anatomy,761,313,448,58.9
Cell/ cellular and molecular biology,583,242,341,58.5
Developmental biology and embryology,96,39,57,59.4
Cell/ cellular biology and anatomy nec,82,32,50,61
"Ecology, evolutionary biology, and epidemiology",1144,447,697,60.9
Ecology,246,98,148,60.2
Ecology and evolutionary biology,277,128,149,53.8
Epidemiology,382,95,287,75.1
Epidemiology and biostatistics,39,12,27,69.2
Evolutionary biology,84,54,30,35.7
"Ecology, evolutionary biology, and epidemiology nec",116,60,56,48.3
Genetics and genomics,477,225,252,52.8
"Genetics, general",128,62,66,51.6
Genome sciences and genomics,116,66,50,43.1
Human/ medical genetics,71,20,51,71.8
Molecular genetics,77,37,40,51.9
Genetics and genomics nec,85,40,45,52.9
Microbiology and immunology,1092,495,597,54.7
Immunology,342,170,172,50.3
