Table 8-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Non-science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2023",,,,,,,
"(Number, percent, and median years)",,,,,,,
Characteristic,All fields,Non-science and engineering,,,,,
,,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
All doctorate recipients (number)a,57862,11889,1510,3988,3358,824,2209
Sex (%),,,,,,,
Male,52.5,41,54.4,27.3,51.5,43.2,39.7
Female,47.5,59,45.6,72.7,48.5,56.8,60.3
Unknown,*,0,0,0,0,0,0
Citizenship status (%),,,,,,,
U.S. citizen or permanent resident,61.5,72,43.9,82.5,75.5,69.8,67.5
Temporary visa holder,33.5,21.8,49.1,11.6,18.5,22.5,26.1
Unknown,5,6.3,7,5.9,6,7.8,6.4
Marital status (%),,,,,,,
Never married,38.6,26,29.1,19.2,28.6,33.7,29.2
Married,37.2,46.9,46.7,54.3,42.9,37.3,43.3
Marriage-like relationship,9.3,7.4,5.6,5.2,9.6,11.4,7.7
"Separated, divorced, widowed",3,5.4,3.9,7.1,4.5,4.1,5.2
Unknown,12,14.4,14.7,14.2,14.4,13.5,14.6
Has dependent age 18 or younger (%),19.2,32.2,29.3,43.1,26.5,16.9,29
Has one or more functional limitations (%),14.2,16.6,10.9,15.5,19,19.5,17.5
Age at doctorate (median years),31.4,35.8,33.5,39.2,34.8,34.2,35
Bachelor's in same field as doctorate (%)b,60.6,46,42.3,25.7,71.3,69.7,38
Master's earned (%),73.2,93.5,87.8,96.6,91.2,93.8,95.3
Master's earned at same doctorate institution (%),44.6,33.1,24.9,31.3,37.1,35.9,34.7
Time to doctorate (median years),,,,,,,
Years since earning bachelor's degree,8.6,12.3,10.5,15.4,11.4,11.3,11.4
From graduate school start,7.2,10,8.8,12.7,9.8,9.3,9.3
From doctoral program startc,5.7,5.9,5,5.6,6.8,6.7,5.8
Received tuition remission (%),85.6,78.5,83.8,61.8,89.4,94.7,82.6
Male doctorate recipients (number),30356,4876,822,1089,1731,356,878
Citizenship status (%),,,,,,,
U.S. citizen or permanent resident,54.9,68.4,43.3,81.6,75,71.9,61.3
Temporary visa holder,40.2,24.9,49.5,12.9,18.3,19.7,31.5
Unknown,4.9,6.7,7.2,5.4,6.7,8.4,7.2
Marital status (%),,,,,,,
Never married,42.1,27.1,29.4,20.3,27.6,39,27.6
Married,35.9,47.3,48.3,57.2,44.2,32.6,46
Marriage-like relationship,8.4,7.6,5.5,4.4,9.5,12.6,7.5
"Separated, divorced, widowed",1.9,3.1,2.8,3.8,3.2,2.2,2.7
Unknown,11.7,14.9,14,14.3,15.4,13.5,16.2
Has dependent age 18 or younger (%),18.4,33.5,32.1,46.7,30.3,16.2,31.6
Has one or more functional limitations (%),12.3,15.1,9.5,14.1,16.3,19.9,17.1
Age at doctorate (median years),31.2,35.7,33.7,39.4,35.1,33.8,35.5
Bachelor's in same field as doctorate (%)b,63.4,49.2,41.7,22.8,71.1,71.6,36.7
Master's earned (%),71.5,92.5,87.9,96,90.9,93.5,95.3
Master's earned at same doctorate institution (%),44.8,32.3,24.5,30.5,36.5,34.1,32.6
Time to doctorate (median years),,,,,,,
Years since earning bachelor's degree,8.3,12,10.3,15,11.6,10.3,11.4
From graduate school start,7,9.8,8.8,12.8,9.8,8.8,9.3
From doctoral program startc,5.7,6,5,5.6,6.8,6.3,5.8
Received tuition remission (%),86.7,79.9,83.5,57.8,88.6,94.3,81.3
Female doctorate recipients (number),27499,7013,688,2899,1627,468,1331
Citizenship status (%),,,,,,,
U.S. citizen or permanent resident,68.7,74.4,44.6,82.9,76.1,68.2,71.6
Temporary visa holder,26.2,19.6,48.7,11,18.7,24.6,22.5
Unknown,5.1,6,6.7,6.1,5.2,7.3,5.9
Marital status (%),,,,,,,
Never married,34.7,25.2,28.6,18.8,29.6,29.7,30.4
Married,38.6,46.6,44.8,53.2,41.5,40.8,41.5
Marriage-like relationship,10.3,7.3,5.8,5.5,9.8,10.5,7.7
"Separated, divorced, widowed",4.2,7,5.2,8.3,5.8,5.6,6.8
Unknown,12.2,14,15.6,14.2,13.4,13.5,13.6
Has dependent age 18 or younger (%),20,31.3,25.9,41.8,22.5,17.5,27.3
Has one or more functional limitations (%),16.2,17.6,12.6,16,21.9,19.3,17.7
Age at doctorate (median years),31.7,35.9,33.3,39.1,34.5,34.4,34.7
Bachelor's in same field as doctorate (%)b,57.6,43.8,42.9,26.7,71.6,68.2,38.8
Master's earned (%),75,94.2,87.7,96.8,91.5,94.1,95.3
Master's earned at same doctorate institution (%),44.4,33.7,25.5,31.6,37.7,37.3,36
Time to doctorate (median years),,,,,,,
Years since earning bachelor's degree,9,12.8,10.9,15.6,11.3,12,11.3
From graduate school start,7.4,10.3,8.8,12.6,9.3,9.8,9.4
From doctoral program startc,5.8,5.9,5,5.7,6.8,6.8,5.8
Received tuition remission (%),84.4,77.6,84.2,63.4,90.2,94.9,83.4
