Table 8-10,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Multidisciplinary/interdisciplinary sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,
"(Number, percent, and median years)",,,
Characteristic,All multidisciplinary/ interdisciplinary sciences fields,Interdisciplinary computer sciences,"Multidisciplinary/ interdisciplinary sciences, other"
All doctorate recipients (number)a,1704,583,1121
Sex (%),,,
Male,61.3,70.2,56.6
Female,38.7,29.8,43.4
Unknown,0,0,0
Citizenship status (%),,,
U.S. citizen or permanent resident,48.5,39.5,53.2
Temporary visa holder,47.7,56.9,42.9
Unknown,3.8,3.6,3.9
Marital status (%),,,
Never married,42.1,47.5,39.3
Married,36.2,35.3,36.7
Marriage-like relationship,8.3,6.7,9.1
"Separated, divorced, widowed",2.7,1.2,3.5
Unknown,10.7,9.3,11.5
Has dependent age 18 or younger (%),15.2,12.8,16.4
Has one or more functional limitations (%),13.1,12.1,13.7
Age at doctorate (median years),31.1,30.2,31.7
Bachelor's in same field as doctorate (%)b,14,18.1,11.8
Master's earned (%),76.4,77,76
Master's earned at same doctorate institution (%),48.6,55,45.1
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.3,7.7,8.6
From graduate school start,7,6.8,7.3
From doctoral program startc,5.3,5.6,5.3
Received tuition remission (%),86.1,87.1,85.6
Male doctorate recipients (number),1044,409,635
Citizenship status (%),,,
U.S. citizen or permanent resident,44.1,37.4,48.3
Temporary visa holder,52.2,59.4,47.6
Unknown,3.7,3.2,4.1
Marital status (%),,,
Never married,45.7,47.7,44.4
Married,36.2,35.9,36.4
Marriage-like relationship,7.6,D,D
"Separated, divorced, widowed",1.5,D,D
Unknown,9,8.1,9.6
Has dependent age 18 or younger (%),13.6,12.5,14.3
Has one or more functional limitations (%),13.1,12.2,13.7
Age at doctorate (median years),31,30.5,31.3
Bachelor's in same field as doctorate (%)b,14.5,18.6,11.8
Master's earned (%),74.7,77,73.1
Master's earned at same doctorate institution (%),50.1,54.2,47.2
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.1,7.9,8.3
From graduate school start,6.9,6.9,6.9
From doctoral program startc,5.6,5.7,5.3
Received tuition remission (%),84.8,85.7,84.2
Female doctorate recipients (number),660,174,486
Citizenship status (%),,,
U.S. citizen or permanent resident,55.5,44.3,59.5
Temporary visa holder,40.6,51.1,36.8
Unknown,3.9,4.6,3.7
Marital status (%),,,
Never married,36.4,47.1,32.5
Married,36.2,33.9,37
Marriage-like relationship,9.4,D,D
"Separated, divorced, widowed",4.5,D,D
Unknown,13.5,12.1,14
Has dependent age 18 or younger (%),17.7,13.5,19.3
Has one or more functional limitations (%),13.2,11.9,13.7
Age at doctorate (median years),31.2,29.9,32.2
Bachelor's in same field as doctorate (%)b,13.2,17,11.7
Master's earned (%),79.2,77,80
Master's earned at same doctorate institution (%),46.4,57.1,42.5
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.4,7.3,9.2
From graduate school start,7.3,6.5,7.8
From doctoral program startc,5.3,5.3,5.3
Received tuition remission (%),88.3,90.6,87.5
