Table 1-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Research doctorate recipients, by trend major field of doctorate and sex: 2013–23",,,,,,,,,,,,
(Number),,,,,,,,,,,,
Field and sex,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,% change 2013–23
All doctorate recipientsa,52703.0,53986.0,54886.0,54809.0,54550.0,55078.0,55599.0,55203.0,52160.0,57448.0,57862.0,9.8
Science and engineering,39084.0,40708.0,41247.0,41306.0,41364.0,42144.0,42897.0,42564.0,40819.0,45402.0,45533.0,16.5
Agricultural sciences and natural resources,1391.0,1380.0,1490.0,1428.0,1543.0,1499.0,1538.0,1531.0,1412.0,1509.0,1477.0,6.2
Agricultural sciences,873.0,854.0,903.0,851.0,969.0,960.0,1002.0,1013.0,956.0,1001.0,1007.0,15.3
Natural resources and conservation,518.0,526.0,587.0,577.0,574.0,539.0,536.0,518.0,456.0,508.0,470.0,-9.3
Biological and biomedical sciences,8707.0,8868.0,8783.0,8863.0,8567.0,8782.0,8678.0,8403.0,8131.0,9208.0,9575.0,10
Biochemistry and biophysics,1005.0,1006.0,930.0,997.0,999.0,963.0,966.0,859.0,797.0,925.0,893.0,-11.1
"Biology and biomedical sciences, general",657.0,683.0,674.0,1100.0,808.0,888.0,914.0,1056.0,978.0,1234.0,1328.0,102.1
"Bioinformatics, biostatistics, and computational biology",426.0,465.0,452.0,525.0,549.0,580.0,647.0,600.0,622.0,763.0,794.0,86.4
"Cellular and developmental biology, and anatomy",597.0,607.0,596.0,488.0,427.0,427.0,412.0,364.0,220.0,217.0,225.0,-62.3
"Ecology, evolutionary biology, and epidemiology",1030.0,956.0,1041.0,1025.0,1017.0,1059.0,1033.0,952.0,947.0,1080.0,1118.0,8.5
Genetics and genomics,396.0,401.0,358.0,338.0,344.0,363.0,341.0,347.0,375.0,415.0,459.0,15.9
Microbiology and immunology,1142.0,1133.0,1168.0,1042.0,976.0,1042.0,1009.0,1001.0,972.0,1088.0,1092.0,-4.4
Molecular biology,646.0,670.0,632.0,549.0,634.0,596.0,555.0,575.0,740.0,797.0,851.0,31.7
Neurobiology and neurosciences,1016.0,1048.0,1089.0,997.0,984.0,1033.0,1033.0,972.0,911.0,1046.0,1086.0,6.9
Pharmacology and toxicology,418.0,458.0,381.0,337.0,371.0,361.0,350.0,325.0,311.0,386.0,409.0,-2.2
"Physiology, pathology, and cancer biology",723.0,788.0,774.0,686.0,683.0,690.0,637.0,571.0,562.0,582.0,608.0,-15.9
"Biology and biomedical sciences, other",651.0,653.0,688.0,779.0,775.0,780.0,781.0,781.0,696.0,675.0,712.0,9.4
Computer and information sciences,1843.0,1988.0,2003.0,2082.0,1998.0,2000.0,2220.0,2363.0,2360.0,2607.0,2687.0,45.8
Computer science,1568.0,1664.0,1658.0,1650.0,1592.0,1628.0,1814.0,1953.0,1808.0,1822.0,1937.0,23.5
"Computer and information sciences, other",275.0,324.0,345.0,432.0,406.0,372.0,406.0,410.0,552.0,785.0,750.0,172.7
Engineering,9000.0,9626.0,9875.0,9459.0,9774.0,10164.0,10298.0,10468.0,10230.0,11519.0,11403.0,26.7
"Aerospace, aeronautical, and astronautical engineering",348.0,386.0,361.0,370.0,380.0,383.0,379.0,399.0,372.0,586.0,586.0,68.4
