Table 9-18,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Other non-science and engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,
(Number and percent),,,,,
Characteristic,All other non-science and engineering fields,Communications and journalism,Multidisciplinary/ interdisciplinary studies,Public administration and social services,"Non-science and engineering, other"
Doctorate recipients reporting postgraduation status (number),1944,557,324,468,595
Definite postdoctoral training plans,13.3,11.7,11.7,15.2,14.3
Definite employment plans,57.8,60.3,58.6,59.4,53.6
Seeking employment or study,26.2,25.9,26.5,23.9,28.2
Other statusa,2.7,2.2,3.1,1.5,3.9
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,93.1,93.8,86.8,97.2,91.8
Other training or unknownc,6.9,6.2,13.2,2.8,8.2
Definite employment plans (%)d,,,,,
Academe,61,76.8,58.9,48.6,56.4
In tenure track faculty position (%),54.7,58.9,23.2,65.9,60
Not in tenure track position (%),44.1,39.5,75,34.1,38.9
Government,9.2,4.2,6.3,14.4,11.6
Industry or businesse,15.1,9.8,16.8,16.2,18.8
Nonprofit organization,8.8,6.3,7.9,13.3,8.2
Other or unknownf,5.9,3,10,7.6,5
Primary activityg,,,,,
Research and development,26.1,22.9,9.9,36.2,30.5
Teaching,44.2,61.9,46.7,26.1,39.3
Management or administration,7.8,3.1,18.1,7.8,6.6
Professional services and other,21.9,12.1,25.3,30,23.6
Secondary activityg,,,,,
Research and development,37.9,50.2,28.6,28,38.7
Teaching,16.1,13.3,12.6,24.1,14.4
Management or administration,13.2,7.7,11,21.8,13.1
Professional services and other,6.8,7.1,8.2,3.9,8.2
No secondary activity,26,21.7,39.6,22.2,25.6
Activity unknown,5,3.9,4.2,7.6,4.4
Postgraduation location (%)h,,,,,
United Statesi,90.8,92.5,91.7,91.7,87.9
Midwest,17.7,18.5,17.5,19.2,15.8
Northeast,19.3,15.7,22.8,22.1,18.6
South,34.7,37.4,30.3,33.2,35.9
West,17.8,19,20.6,16,16.6
Outside the United States,9,7.5,8.3,8,11.9
Location unknown,0.1,0,0,0.3,0.2
Postgraduation location in same state as doctorate institution (%),36.8,29.4,52.2,39.3,33.4
Male doctorate recipients reporting postgraduation status (number),761,216,136,131,278
Definite postdoctoral training plans,12.2,12,11,13,12.6
Definite employment plans,59.8,62.5,58.1,60.3,58.3
Seeking employment or study,25.1,23.1,28.7,24.4,25.2
Other statusa,2.9,2.3,2.2,2.3,4
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,91.4,96.2,80,100,88.6
Other training or unknownc,8.6,3.8,20,0,11.4
Definite employment plans (%)d,,,,,
Academe,60.9,79.3,58.2,41.8,56.2
In tenure track faculty position (%),56.3,62.6,19.6,78.8,59.3
Not in tenure track position (%),41.9,35.5,78.3,21.2,38.5
