Table 9-17,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Visual and performing arts research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,
(Number and percent),,,
Characteristic,All visual and performing arts fields,Performing arts,"Visual arts, media studies, and design"
Doctorate recipients reporting postgraduation status (number),726,416,310
Definite postdoctoral training plans,10.2,6,15.8
Definite employment plans,49.6,53.8,43.9
Seeking employment or study,36.4,35.6,37.4
Other statusa,3.4,4.3,2.3
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.9,96,95.9
Other training or unknownc,4.1,4,4.1
Definite employment plans (%)d,,,
Academe,70,69.2,71.3
In tenure track faculty position (%),30.2,24.5,39.2
Not in tenure track position (%),68.3,74.8,57.7
Government,D,D,D
Industry or businesse,12.5,14.3,9.6
Nonprofit organization,D,D,D
Other or unknownf,6.7,7.1,5.9
Primary activityg,,,
Research and development,10.2,8,14
Teaching,62.9,63.8,61.2
Management or administration,8.8,9.9,7
Professional services and other,18.1,18.3,17.8
Secondary activityg,,,
Research and development,38.6,34.3,45.7
Teaching,9.1,D,D
Management or administration,9.4,8,11.6
Professional services and other,7.6,D,D
No secondary activity,35.4,36.6,33.3
Activity unknown,5,4.9,5.1
Postgraduation location (%)h,,,
United Statesi,89.4,91.6,86.5
Midwest,19.1,18.5,20
Northeast,27.9,27.7,28.1
South,23,26.1,18.9
West,18.9,18.9,18.9
Outside the United States,10.6,8.4,13.5
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),40.6,45.4,34.1
Male doctorate recipients reporting postgraduation status (number),313,219,94
Definite postdoctoral training plans,8.6,5,17
Definite employment plans,49.2,49.8,47.9
Seeking employment or study,37.1,38.4,34
Other statusa,4.5,6.4,0
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,96.3,D,93.8
Other training or unknownc,3.7,D,6.3
Definite employment plans (%)d,,,
Academe,68.2,66.1,73.3
In tenure track faculty position (%),24.8,23.6,27.3
Not in tenure track position (%),74.3,76.4,69.7
Government,D,0,D
Industry or businesse,16.2,D,D
Nonprofit organization,D,D,D
Other or unknownf,7.1,8.3,4.4
Primary activityg,,,
Research and development,10.2,D,D
Teaching,67.3,69.2,62.8
Management or administration,7.5,D,D
Professional services and other,15,15.4,14
Secondary activityg,,,
Research and development,38.1,38.5,37.2
Teaching,7.5,D,D
Management or administration,6.8,4.8,11.6
Professional services and other,10.9,D,D
No secondary activity,36.7,36.5,37.2
Activity unknown,4.5,4.6,4.4
Postgraduation location (%)h,,,
United Statesi,88.4,90.8,83.6
Midwest,23.8,21.7,27.9
Northeast,25.4,26.7,23
South,19.9,24.2,11.5
West,19.3,18.3,21.3
Outside the United States,11.6,9.2,16.4
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),44.8,47.5,39.3
Female doctorate recipients reporting postgraduation status (number),413,197,216
Definite postdoctoral training plans,11.4,7.1,15.3
Definite employment plans,49.9,58.4,42.1
Seeking employment or study,35.8,32.5,38.9
Other statusa,2.7,2,3.2
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.7,92.9,97
Other training or unknownc,4.3,7.1,3
Definite employment plans (%)d,,,
Academe,71.4,72.2,70.3
In tenure track faculty position (%),34,25.3,45.3
Not in tenure track position (%),63.9,73.5,51.6
Government,D,D,D
Industry or businesse,9.7,D,D
Nonprofit organization,D,10.4,D
Other or unknownf,6.3,6.1,6.6
Primary activityg,,,
Research and development,10.3,D,D
Teaching,59.5,58.7,60.5
Management or administration,9.7,D,D
Professional services and other,20.5,21.1,19.8
Secondary activityg,,,
Research and development,39,30.3,50
Teaching,10.3,D,D
Management or administration,11.3,11,11.6
Professional services and other,5.1,D,D
No secondary activity,34.4,36.7,31.4
Activity unknown,5.3,5.2,5.5
Postgraduation location (%)h,,,
United Statesi,90.1,92.2,87.9
Midwest,15.8,15.5,16.1
Northeast,29.6,28.7,30.6
South,25.3,27.9,22.6
West,18.6,19.4,17.7
Outside the United States,9.9,7.8,12.1
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),37.5,43.4,31.5
