Table 8-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Engineering research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,
Characteristic,All engineering fields,"Aerospace, aeronautical, astronautical, and space engineering","Biological, biomedical, and biosystems engineering",Chemical and petroleum engineering,"Civil, environmental, and transportation engineering",Electrical and computer engineering,Engineering technologies,Industrial engineering and operations research,Materials and mining engineering,Mechanical engineering,"Engineering, other"
All doctorate recipients (number)a,10724,584,1313,1245,1279,2119,402,627,912,1552,691
Sex (%),,,,,,,,,,,
Male,73.4,83.7,56.6,71.4,67.5,81.1,78.9,69.5,71.2,82.3,71.1
Female,26.6,16.3,43.4,28.6,32.5,18.9,21.1,30.5,28.8,17.7,28.9
Unknown,0,0,0,0,0,0,0,0,0,0,0
Citizenship status (%),,,,,,,,,,,
U.S. citizen or permanent resident,42.4,55.1,65.5,48.2,34.7,27.7,30.6,37.2,45.7,40.9,46.7
Temporary visa holder,52.6,38.7,29.9,47.7,60.1,67.2,67.7,57.9,49,54.1,46.3
Unknown,5,6.2,4.6,4.1,5.2,5.2,1.7,4.9,5.3,5,6.9
Marital status (%),,,,,,,,,,,
Never married,46,47.1,50.4,52,39.7,45.4,45,39.2,48.2,47.3,39.7
Married,33.5,30.3,27,29.7,40.3,36,40,37.3,29.6,32.9,34.9
Marriage-like relationship,7.3,8.9,12.3,7.1,5.6,5.7,7.2,7.3,8.8,5.7,5.6
"Separated, divorced, widowed",1.3,0.9,0.6,1,2.6,1,2.7,2.7,0.8,0.8,1.7
Unknown,12,12.8,9.7,10.2,11.8,11.9,5,13.4,12.6,13.3,18.1
Has dependent age 18 or younger (%),14.3,12.2,8.4,10.7,19.1,16.7,17.4,17.2,11.4,13.9,18.3
Has one or more functional limitations (%),10.2,7.3,12.5,11.5,10.4,8.8,9.4,10.3,11,9.5,10.7
Age at doctorate (median years),30.1,29.7,29.3,29.1,31.2,30.7,31,30.8,29.3,30,30.8
Bachelor's in same field as doctorate (%)b,78.4,85,72.4,84.2,83.7,77.6,70.2,61.9,71.3,88.9,72.3
Master's earned (%),74.4,83.5,53.7,55.2,90.9,83,84.1,83.7,61.4,79.1,76.3
Master's earned at same doctorate institution (%),51.2,61.2,52.8,52.2,43.2,52.7,42.5,49.9,47.6,55.9,50.9
Time to doctorate (median years),,,,,,,,,,,
Years since earning bachelor's degree,7.4,7.2,7,6.6,8.4,8.1,8.2,8,6.8,7.3,7.9
From graduate school start,6.6,6.5,6,5.8,7.3,7,7.3,7,6,6.4,6.8
From doctoral program startc,5.3,5.3,5.3,5.3,5,5.4,5.3,5,5,5.3,5.2
Received tuition remission (%),86.5,81.1,87.8,88.4,88.7,85.6,82.2,83.7,86.6,88.4,84
Male doctorate recipients (number),7873,489,743,889,863,1719,317,436,649,1277,491
Citizenship status (%),,,,,,,,,,,
U.S. citizen or permanent resident,40.4,55.2,66.4,47.5,30.4,27.3,28.4,35.3,43.9,39.2,46.8
Temporary visa holder,55,39.1,29.1,49,65,68.1,70,60.6,50.7,56,46.6
Unknown,4.6,5.7,4.6,3.5,4.6,4.6,1.6,4.1,5.4,4.8,6.5
Marital status (%),,,,,,,,,,,
Never married,46.9,48.5,51.7,52.4,41.1,46.2,47.6,41.1,47.3,48,41.1
Married,33.7,31.3,26.9,29.7,40.3,35.6,39.4,37.6,30.8,32.5,35.8
Marriage-like relationship,6.6,D,D,D,4.6,5.9,6.3,6.9,D,D,3.9
"Separated, divorced, widowed",1.1,D,D,D,2.5,0.9,1.6,2.3,D,D,1.4
