Table 7-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Top 50 doctorate-granting institutions ranked by total number of research doctorate recipients, by sex: 2023",,,,
(Number),,,,
Institution,Rank,Totala,Male,Female
"U. Michigan, Ann Arbor",1,900,506,394
"U. California, Berkeley",2,834,488,346
"Purdue U., West Lafayette",3,810,510,300
"Texas A&M U., College Station",4,806,506,300
Stanford U.,5,799,474,325
"U. Texas, Austin",6,767,429,337
U. Wisconsin-Madison,7,761,412,349
"U. California, Los Angeles",8,749,410,339
"Ohio State U., Columbus",9,748,403,345
U. Florida,10,745,410,335
"U. Illinois, Urbana-Champaign",11,731,418,313
"U. Minnesota, Twin Cities",12,726,356,369
Harvard U.,13,725,380,345
"U. Washington, Seattle",14,710,356,354
Pennsylvania State U.,15,691,362,328
Massachusetts Institute of Technology,16,684,456,228
Walden U.,17,612,179,433
"U. California, Davis",18,609,315,294
Columbia U. in the City of New York,19,606,319,287
"U. Maryland, College Park",20,595,328,267
Cornell U.,21,549,318,231
"U. California, San Diego",22,537,334,203
North Carolina State U.,23,536,296,240
U. Southern California,24,535,312,223
Georgia Institute of Technology,25,531,367,164
Johns Hopkins U.,25,531,294,237
U. Georgia,27,528,222,306
"U. North Carolina, Chapel Hill",28,526,227,299
Michigan State U.,29,515,278,237
"Arizona State U., Tempe",30,510,285,225
U. Pennsylvania,31,508,278,230
Virginia Polytechnic Institute and State U.,32,502,288,214
Northwestern U.,33,473,241,232
"U. California, Irvine",34,471,264,207
U. Chicago,35,467,278,189
Princeton U.,36,445,265,180
U. Arizona,36,445,231,213
Yale U.,38,442,243,199
Duke U.,39,435,262,173
New York U.,39,435,244,190
"U. Pittsburgh, Pittsburgh",41,430,208,222
Texas Tech U.,42,417,203,214
U. Colorado Boulder,43,409,236,173
Iowa State U.,44,401,231,170
"Rutgers, State U. New Jersey, New Brunswick",44,401,190,211
Boston U.,46,392,205,187
Florida State U.,47,383,203,180
"U. Virginia, Charlottesville",48,380,200,180
"U. Tennessee, Knoxville",49,378,214,164
"Indiana U., Bloomington",50,376,198,178
