Table 3-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"U.S. citizen and permanent resident research doctorate recipients, by major field of doctorate, ethnicity, and race: 2023",,,,,,,,,,
(Percent),,,,,,,,,,
Field of doctorate,All U.S. citizens and permanent residents (number),Total,U.S. citizen or permanent resident,,,,,,,
,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,,,American Indian or Alaska Native,Asian,Black or African American,White,More than one race,Other race or race not reported,
All fields,35566,100,9.7,0.3,10.8,7.7,64.8,3.6,1.3,1.8
Science and engineering,27010,100,9.6,0.3,12,6.1,65.1,3.9,1.3,1.7
Agricultural sciences and natural resources,778,100,8.1,0.3,5.9,4.4,74.3,3.5,1.2,2.4
"Agricultural, animal, plant, and veterinary sciences",497,100,6.4,0,6.4,5,74.8,3.2,1.4,2.6
Natural resources and conservation,281,100,11,0.7,5,3.2,73.3,3.9,0.7,2.1
Biological and biomedical sciences,7004,100,10.3,0.2,13,4.9,64.9,4.7,1.1,1.1
"Biochemistry, biophysics, and molecular biology",1031,100,11.3,0,13.5,3.8,64.1,5.1,1,1.2
"Bioinformatics, biostatistics, and computational biology",411,100,5.1,0,24.8,4.6,59.6,3.9,1.7,0.2
"Biological and biomedical sciences, general",623,100,11.6,0,9,6.7,66.9,3.4,1,1.4
Cell/ cellular biology and anatomy,546,100,13.6,0,14.5,4,62.8,4,0.7,0.4
"Ecology, evolutionary biology, and epidemiology",907,100,7.5,0.2,9.4,5.3,70,5.1,1.4,1.1
Genetics and genomics,359,100,9.2,0.6,14.2,3.6,67.1,4.2,0,1.1
Microbiology and immunology,845,100,11.1,0.2,12.8,5.7,63.1,5,1.4,0.7
Neurobiology and neurosciences,947,100,11.8,0.3,11.9,4.8,63.3,5.5,1.1,1.4
Pharmacology and toxicology,295,100,9.2,0,15.6,9.2,58.6,5.4,1,1
"Physiology, oncology, and cancer biology",580,100,9.1,0.3,14.3,4.5,64.8,5,0.3,1.6
"Biological and biomedical sciences, other",460,100,10.2,0,10,2.8,70.9,3.5,1.5,1.1
Computer and information sciences,820,100,5.7,0.1,23.2,5.4,57.9,2.6,2.3,2.8
Computer science,554,100,6,0.2,23.3,3.4,60.1,2.3,2.5,2.2
"Computer and information sciences, other",266,100,5.3,0,22.9,9.4,53.4,3,1.9,4.1
Engineering,4542,100,8.8,0.1,16.1,4.6,63.3,3.9,1.3,1.8
"Aerospace, aeronautical, astronautical, and space engineering",322,100,8.7,0.3,10.6,3.7,68.9,3.7,2.2,1.9
"Biological, biomedical, and biosystems engineering",860,100,9.2,0.2,20.7,3.1,58.6,5.6,0.7,1.9
Chemical and petroleum engineering,600,100,6.7,0,16,4.3,66,4.5,0.8,1.7
"Civil, environmental, and transportation engineering",444,100,12.4,0.2,13.1,5.6,62.8,3.2,0.7,2
Electrical and computer engineering,586,100,7.3,0,20.5,4.4,61.1,2.6,2.4,1.7
Engineering technologies,123,100,8.9,0,21.1,5.7,56.9,4.9,1.6,0.8
Industrial engineering and operations research,233,100,6,0,16.3,6,66.1,0.9,1.3,3.4
Materials and mining engineering,417,100,8.9,0,13.9,5,65.7,4.3,0.7,1.4
Mechanical engineering,634,100,10.7,0.2,12.9,4.6,65,3.8,1.6,1.3
"Engineering, other",323,100,8,0.3,13,7.1,63.8,2.8,2.2,2.8
"Geosciences, atmospheric, and ocean sciences",773,100,7.5,0.5,7.4,1.9,77.2,3.8,0.6,1
Geological and earth sciences,412,100,8.5,0.5,8,2.4,76.9,2.4,0.5,0.7
"Ocean, marine, and atmospheric sciences",361,100,6.4,0.6,6.6,1.4,77.6,5.3,0.8,1.4
Health sciences,1953,100,8.3,0.5,10.2,12.3,61.4,3.1,1.3,3
Nursing and nursing science,517,100,4.3,0.8,7.2,14.7,67.3,2.3,0.8,2.7
Pharmacy and pharmaceutical sciences,204,100,11.3,0,13.7,5.4,63.7,3.4,1,1.5
Public health,578,100,10.4,0.5,13,18.3,50,4,2.1,1.7
"Health sciences, other",654,100,8.7,0.3,9,7.2,66.1,2.8,1.1,4.9
Mathematics and statistics,929,100,6.9,0,14.5,2.4,69.8,4.4,1.2,0.9
Applied mathematics,240,100,8.8,0,16.3,3.8,65.4,4.6,0.4,0.8
Mathematics,495,100,6.3,0,10.3,1.2,75.4,4.4,1.6,0.8
Statistics,194,100,6.2,0,23.2,3.6,60.8,4.1,1,1
Multidisciplinary/ interdisciplinary sciences,826,100,9.1,0.2,13.3,7.5,63.7,2.9,1,2.3
Interdisciplinary computer sciences,230,100,7.4,0,21.3,4.8,60.9,3.9,0.9,0.9
"Multidisciplinary/ interdisciplinary sciences, other",596,100,9.7,0.3,10.2,8.6,64.8,2.5,1,2.9
Physical sciences,3142,100,9.4,0.2,10.9,3.2,69.5,3.5,1.5,1.8
Astronomy and astrophysics,215,100,10.7,0,8.8,1.9,71.2,5.1,0.9,1.4
Chemistry,1711,100,10.2,0.4,10,3.6,68.8,3.3,1.7,2.1
Materials sciences,192,100,6.8,0,13,3.6,70.3,4.2,2.1,0
Physics,1024,100,8.4,0,12.5,2.5,70.1,3.5,1.3,1.7
Psychology,3178,100,12,0.4,7.5,9.4,63.1,4.4,1.2,2.1
Clinical psychology,1078,100,11.9,0.6,8.3,6.4,65.2,4.6,0.9,2
Counseling and applied psychology,1099,100,12.8,0.3,6,14.1,59.5,4.3,1.5,1.5
Research and experimental psychology,655,100,9.8,0.3,9.2,5.5,68.2,4,1.4,1.7
"Psychology, other",346,100,13.6,0.3,6.1,11,58.1,5.2,1.2,4.6
Social sciences,3065,100,10.7,0.5,9.5,9.5,63.6,3.4,1.5,1.3
Anthropology,296,100,13.2,1.4,7.1,3,69.3,2.4,2.7,1
"Area, ethnic, cultural, gender, and group studies",316,100,18.7,2.5,10.1,14.9,48.1,2.2,2.2,1.3
Economics,489,100,9.2,0,14.7,3.5,67.5,2.9,1.6,0.6
Political science and government,438,100,9.6,0,8.9,6.8,68,2.7,1.4,2.5
Public policy analysis,315,100,9.2,0,7.9,24.4,52.1,4.4,1.3,0.6
"Sociology, demography, and population studies",494,100,11.7,0,7.1,11.7,64.8,3.2,0.4,1
"Social sciences, other",717,100,7.9,0.4,9.3,7.5,67.1,4.6,1.5,1.5
Non-science and engineering,8556,100,10,0.5,6.8,12.5,64,2.8,1.3,2.1
Business,663,100,5.7,0.3,18.4,9.8,59.1,2.3,1.8,2.6
Business administration and management,223,100,5.8,0.4,16.6,15.2,54.3,1.8,2.7,3.1
"Business, other",440,100,5.7,0.2,19.3,7,61.6,2.5,1.4,2.3
Education,3291,100,10.8,0.8,5.5,18,59.8,2.3,0.8,2
Education leadership and administration,1051,100,11.2,0.6,4.5,25.8,52.6,2.4,0.9,2.1
Education research,985,100,9.3,0.6,6,16.4,62.8,2.2,0.9,1.6
Teacher education and teaching fields,885,100,10.8,1.1,5.6,12,65.8,2,0.3,2.3
"Education, other",370,100,13.5,0.8,6.5,14.9,57.6,3,1.4,2.4
Humanities,2536,100,10.6,0.5,5.1,5.9,71.2,2.9,1.6,2.2
"English language and literature, letters",870,100,6.8,0.8,4.7,6.3,74.3,3.3,1.6,2.2
"Foreign languages, literatures, and linguistics",322,100,26.7,0.6,4.7,3.1,60.6,2.5,0.3,1.6
History,578,100,11.4,0.3,5,6.2,71.3,3.1,1.2,1.4
Philosophy and religious studies,482,100,8.5,0.4,5.6,4.6,72,3.1,3.3,2.5
"Humanities, other",284,100,5.6,0,6.3,9.2,72.2,1.4,1.1,4.2
Visual and performing arts,575,100,8.7,0.3,6.6,3.8,73.6,2.8,1.6,2.6
Performing arts,340,100,8.8,0.3,5.3,4.1,73.8,3.5,1.8,2.4
"Visual arts, media studies, and design",235,100,8.5,0.4,8.5,3.4,73.2,1.7,1.3,3
Other non-science and engineering,1491,100,9.7,0.3,7.4,15.9,59.4,3.7,1.8,1.9
Communications and journalism,440,100,8.6,0.2,7.3,12.5,65.5,3.9,1.4,0.7
Multidisciplinary/ interdisciplinary studies,281,100,10,0.7,5.3,12.1,64.1,1.4,1.8,4.6
Public administration and social services,383,100,10.7,0.3,6.5,25.1,50.4,4.4,1.3,1.3
"Non-science and engineering, other",387,100,9.6,0.3,9.8,13.4,57.9,4.4,2.8,1.8
