Table 9-10,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Multidisciplinary/interdisciplinary sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,
(Number and percent),,,
Characteristic,All multidisciplinary/ interdisciplinary sciences fields,Interdisciplinary computer sciences,"Multidisciplinary/ interdisciplinary sciences, other"
Doctorate recipients reporting postgraduation status (number),1555,547,1008
Definite postdoctoral training plans,23.2,18.1,25.9
Definite employment plans,54.1,62,49.8
Seeking employment or study,21,18.3,22.4
Other statusa,1.8,1.6,1.9
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.8,92.9,96.9
Other training or unknownc,4.2,7.1,3.1
Definite employment plans (%)d,,,
Academe,27.3,23,30.3
In tenure track faculty position (%),51.3,59,47.4
Not in tenure track position (%),45.7,35.9,50.7
Government,3.8,2.4,4.8
Industry or businesse,61.2,69.3,55.8
Nonprofit organization,5,3.2,6.2
Other or unknownf,2.6,2.1,3
Primary activityg,,,
Research and development,65.6,74.5,59.7
Teaching,16.6,11.4,20
Management or administration,1.7,0,2.9
Professional services and other,16.1,14.2,17.4
Secondary activityg,,,
Research and development,19.7,17.2,21.3
Teaching,7.7,6.8,8.3
Management or administration,11,10.8,11.2
Professional services and other,13.1,12.3,13.6
No secondary activity,48.6,52.9,45.7
Activity unknown,3.8,4.1,3.6
Postgraduation location (%)h,,,
United Statesi,92.8,94.3,91.9
Midwest,11.5,11.9,11.3
Northeast,21.6,20.5,22.3
South,22.8,16.2,26.6
West,36.1,44.7,31.2
Outside the United States,7.2,5.5,8.1
Location unknown,0.1,0.2,0
Postgraduation location in same state as doctorate institution (%),36.4,34.2,37.6
Male doctorate recipients reporting postgraduation status (number),968,389,579
Definite postdoctoral training plans,22,17.2,25.2
Definite employment plans,56.7,61.7,53.4
Seeking employment or study,19.2,19,19.3
Other statusa,2.1,2.1,2.1
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.8,92.5,97.3
Other training or unknownc,4.2,7.5,2.7
Definite employment plans (%)d,,,
Academe,23.1,21.7,24.3
In tenure track faculty position (%),53.5,53.8,53.3
Not in tenure track position (%),42.5,38.5,45.3
Government,3.1,D,D
Industry or businesse,67.4,69.6,65.7
Nonprofit organization,3.8,4.6,3.2
Other or unknownf,2.6,D,D
Primary activityg,,,
Research and development,69.6,72.5,67.4
Teaching,D,10.9,D
Management or administration,D,0,D
Professional services and other,15.8,16.6,15.3
Secondary activityg,,,
Research and development,20.4,19.7,20.9
Teaching,6.4,5.7,7
Management or administration,11.3,11.8,11
Professional services and other,13.2,11.8,14.3
No secondary activity,48.7,51.1,46.8
Activity unknown,3.5,4.6,2.6
Postgraduation location (%)h,,,
United Statesi,92,94.1,90.5
Midwest,11.5,11.7,11.4
Northeast,21,19.2,22.2
South,21.9,16.6,25.5
West,36.9,45.9,30.8
Outside the United States,7.9,5.5,9.5
Location unknown,0.1,0.3,0
Postgraduation location in same state as doctorate institution (%),34.5,35.2,34.1
Female doctorate recipients reporting postgraduation status (number),587,158,429
Definite postdoctoral training plans,25,20.3,26.8
Definite employment plans,49.7,62.7,45
Seeking employment or study,23.9,16.5,26.6
Other statusa,1.4,0.6,1.6
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.9,93.8,96.5
Other training or unknownc,4.1,6.3,3.5
Definite employment plans (%)d,,,
Academe,35.3,26.3,39.9
In tenure track faculty position (%),48.5,69.2,41.6
Not in tenure track position (%),49.5,30.8,55.8
Government,5.1,D,D
Industry or businesse,49.7,68.7,39.9
Nonprofit organization,7.2,0,10.9
Other or unknownf,2.7,D,D
Primary activityg,,,
Research and development,58.1,79.2,47
Teaching,D,12.5,D
Management or administration,D,0,D
Professional services and other,16.5,8.3,20.8
Secondary activityg,,,
Research and development,18.3,11.5,21.9
Teaching,10,9.4,10.4
Management or administration,10.4,8.3,11.5
Professional services and other,12.9,13.5,12.6
No secondary activity,48.4,57.3,43.7
Activity unknown,4.5,3,5.2
Postgraduation location (%)h,,,
United Statesi,94.1,94.7,93.8
Midwest,11.4,12.2,11
Northeast,22.8,23.7,22.4
South,24.4,15.3,28.2
West,34.9,42,31.8
Outside the United States,5.9,5.3,6.2
Location unknown,0,0,0
Postgraduation location in same state as doctorate institution (%),39.6,32.1,42.9
