Table 1-9,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Male research doctorate recipients, by ethnicity, race, and citizenship status: 2013–23",,,,,,,,,,,
(Number),,,,,,,,,,,
"Ethnicity, race, and citizenship status",2013,2014,2015,2016.0,2017,2018,2019,2020.0,2021,2022,2023
Male doctorate recipients,28326,29008,29532,29572.0,29442,29742,30105,29844.0,28045,30457,30356
U.S. citizen or permanent resident,16550,16660,17218,17530.0,17561,17312,17258,16769.0,15304,16756,16669
Temporary visa holder,10103,10204,10395,10671.0,10601,11308,11767,11868.0,11475,12359,12194
Unknown citizenship,1673,2144,1919,1371.0,1280,1122,1080,1207.0,1266,1342,1493
Hispanic or Latino,1523,1588,1758,1766.0,1804,1865,2011,2047.0,2017,2288,2383
U.S. citizen or permanent resident,905,999,1119,1134.0,1151,1196,1302,1266.0,1288,1513,1549
Temporary visa holder,612,580,634,630.0,634,666,706,778.0,726,773,827
Unknown citizenship,6,9,5,2.0,19,3,3,3.0,3,2,7
Not Hispanic or Latino,,,,,,,,,,,
American Indian or Alaska Native,62,54,64,63.0,49,44,58,39.0,40,43,43
U.S. citizen or permanent resident,56,49,58,57.0,48,43,56,39.0,38,39,39
Temporary visa holdera,D,D,D,6.0,D,D,D,0.0,D,D,D
Unknown citizenship,D,D,D,0.0,D,D,D,0.0,D,D,D
Asian,8038,8091,8235,8538.0,8669,8902,9182,9187.0,8951,9855,9948
U.S. citizen or permanent resident,1264,1243,1359,1432.0,1656,1562,1626,1532.0,1445,1714,1845
Temporary visa holder,6761,6842,6867,7081.0,6997,7315,7532,7636.0,7490,8132,8090
Unknown citizenship,13,6,9,25.0,16,25,24,19.0,16,9,13
Black or African American,1101,1151,1113,1205.0,1204,1324,1260,1317.0,1249,1417,1452
U.S. citizen or permanent resident,801,821,807,863.0,849,923,892,917.0,884,946,1006
Temporary visa holder,297,329,306,341.0,347,398,365,396.0,359,470,443
Unknown citizenship,3,1,0,1.0,8,3,3,4.0,6,1,3
White,14608,14624,15101,15155.0,14949,14982,14883,14565.0,12915,13642,13104
U.S. citizen or permanent resident,12582,12590,12978,13033.0,12665,12608,12363,12084.0,10713,11403,11109
Temporary visa holder,2005,2021,2101,2103.0,2247,2360,2477,2449.0,2186,2238,1988
Unknown citizenship,21,13,22,19.0,37,14,43,32.0,16,1,7
More than one race,432,451,436,511.0,517,556,588,606.0,548,624,649
U.S. citizen or permanent resident,388,411,394,455.0,462,485,495,530.0,483,557,575
Temporary visa holder,44,40,42,56.0,D,D,D,76.0,D,D,D
Unknown citizenship,0,0,0,0.0,D,D,D,0.0,D,D,D
Other race or race not reported,243,249,291,278.0,476,528,521,478.0,615,570,658
U.S. citizen or permanent resident,148,162,152,149.0,269,215,207,175.0,215,225,238
Temporary visa holder,D,D,D,118.0,191,305,298,293.0,375,341,417
Unknown citizenship,D,D,D,11.0,16,8,16,10.0,25,4,3
Ethnicity not reported,2319,2800,2534,2056.0,1774,1541,1602,1605.0,1710,2018,2119
U.S. citizen or permanent resident,406,385,351,407.0,461,280,317,226.0,238,359,308
Temporary visa holder,290,305,320,336.0,129,192,294,240.0,272,334,351
Unknown citizenship,1623,2110,1863,1313.0,1184,1069,991,1139.0,1200,1325,1460
