Table 9-15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Humanities research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,,
(Number and percent),,,,,,
Characteristic,All humanities fields,"English language and literature, letters","Foreign languages, literatures, and linguistics",History,Philosophy and religious studies,"Humanities, other"
Doctorate recipients reporting postgraduation status (number),2950,916,501,665,555,313
Definite postdoctoral training plans,16.7,12.1,13.8,23.2,24.7,7.3
Definite employment plans,49.9,53.8,49.7,43.9,44.1,62
Seeking employment or study,29.9,31.6,32.1,28.6,28.6,26.8
Other statusa,3.2,2.4,4.4,4.1,2.3,3.5
Definite postdoctoral training plans (%)b,,,,,,
Postdoc fellowship or research associateship,95.5,90.1,95.7,96.1,99.3,95.7
Other training or unknownc,4.5,9.9,4.3,3.9,0.7,4.3
Definite employment plans (%)d,,,,,,
Academe,67.2,73.8,75.1,61.3,66.9,49.5
In tenure track faculty position (%),33.3,34.1,29.4,34.6,36,31.3
Not in tenure track position (%),64.5,64.8,67.9,62,62.8,64.6
Government,3.9,D,D,9.2,4.1,3.1
Industry or businesse,8.7,D,D,7.9,6.9,8.2
Nonprofit organization,11.5,5.1,3.2,12,14.3,34.5
Other or unknownf,8.6,7.9,12.9,9.6,7.8,4.6
Primary activityg,,,,,,
Research and development,10.4,7.3,6.8,18.4,12.9,7.6
Teaching,63.9,65.3,79.7,56.4,61.8,53.8
Management or administration,5.8,6.1,2.5,5.3,7.7,7.6
Professional services and other,19.9,21.3,11,19.9,17.6,31
Secondary activityg,,,,,,
Research and development,37.8,33.7,50.6,35.8,42.1,29.3
Teaching,10.4,9,3.8,8.5,14.2,20.7
Management or administration,9.8,11.3,8.9,11,8.2,7.6
Professional services and other,6.4,6.3,4.6,5.7,5.6,11.4
No secondary activity,35.6,39.7,32.1,39,30,31
Activity unknown,4,3,4.8,3.4,4.9,5.2
Postgraduation location (%)h,,,,,,
United Statesi,89.5,93.7,88.1,89.7,84.8,88
Midwest,18.9,19,19.2,20.6,16.2,19.4
Northeast,22.8,21.9,28.3,22.6,24.9,14.3
South,30.8,35.9,22,30.5,24.9,40.6
West,16.2,16.1,16.7,15.7,17.8,13.8
Outside the United States,10.3,6.1,11.6,10.1,14.9,12
Location unknown,0.2,0.2,0.3,0.2,0.3,0
Postgraduation location in same state as doctorate institution (%),39.3,43.2,38.1,42.8,31.2,37.8
Male doctorate recipients reporting postgraduation status (number),1501,366,206,358,362,209
Definite postdoctoral training plans,17.7,12,14.1,23.5,26.5,6.2
Definite employment plans,49.4,54.9,46.6,42.5,42.5,66.5
Seeking employment or study,30.6,32,35.4,31.3,29,24.9
Other statusa,2.2,1.1,3.9,2.5,1.9,2.4
Definite postdoctoral training plans (%)b,,,,,,
Postdoc fellowship or research associateship,97,95.5,93.1,97.6,99,92.3
