Table 1-13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Education-related debt of research doctorate recipients, by trend broad field of doctorate: 2013–23",,,,,,,,,,,
(Number),,,,,,,,,,,
"$10,000 or less",104.0,122.0,119.0,106.0,111.0,110.0,112.0,110.0,110.0,107.0,122.0
"$10,001–$30,000",85.0,101.0,89.0,113.0,94.0,80.0,86.0,115.0,87.0,94.0,94.0
"$30,001–$70,000",66.0,98.0,81.0,90.0,59.0,61.0,74.0,57.0,66.0,69.0,75.0
"$70,001 or more",67.0,73.0,77.0,84.0,75.0,66.0,67.0,77.0,63.0,58.0,74.0
Engineering,7964.0,8445.0,8827.0,8549.0,8852.0,9288.0,9429.0,9649.0,9391.0,10421.0,10288.0
No debt,5981.0,6426.0,6787.0,6555.0,7032.0,7488.0,7573.0,7876.0,7732.0,8683.0,8562.0
"$10,000 or less",706.0,746.0,774.0,759.0,679.0,716.0,639.0,635.0,549.0,566.0,609.0
"$10,001–$30,000",615.0,617.0,613.0,568.0,520.0,516.0,577.0,494.0,492.0,519.0,528.0
"$30,001–$70,000",422.0,413.0,420.0,416.0,362.0,341.0,345.0,317.0,339.0,373.0,356.0
"$70,001 or more",240.0,243.0,233.0,251.0,259.0,227.0,295.0,327.0,279.0,280.0,233.0
"Geosciences, atmospheric, and ocean sciences",896.0,997.0,969.0,1163.0,1085.0,1117.0,1199.0,1157.0,1001.0,1094.0,1132.0
No debt,664.0,715.0,714.0,877.0,835.0,858.0,926.0,912.0,796.0,937.0,928.0
"$10,000 or less",79.0,89.0,91.0,100.0,88.0,96.0,83.0,102.0,72.0,56.0,64.0
"$10,001–$30,000",73.0,84.0,67.0,84.0,65.0,82.0,73.0,66.0,55.0,40.0,59.0
"$30,001–$70,000",51.0,68.0,61.0,55.0,59.0,45.0,58.0,39.0,43.0,36.0,42.0
"$70,001 or more",29.0,41.0,36.0,47.0,38.0,36.0,59.0,38.0,35.0,25.0,39.0
Health sciences,1851.0,1919.0,1967.0,2056.0,2213.0,2230.0,2265.0,2342.0,2006.0,2197.0,2147.0
No debt,948.0,951.0,942.0,1010.0,1096.0,1161.0,1166.0,1228.0,1086.0,1277.0,1174.0
"$10,000 or less",145.0,125.0,165.0,166.0,176.0,143.0,151.0,143.0,133.0,114.0,134.0
"$10,001–$30,000",211.0,249.0,230.0,222.0,218.0,214.0,227.0,232.0,147.0,179.0,171.0
"$30,001–$70,000",292.0,303.0,299.0,318.0,336.0,329.0,273.0,289.0,253.0,255.0,280.0
"$70,001 or more",255.0,291.0,331.0,340.0,387.0,383.0,448.0,450.0,387.0,372.0,388.0
Mathematics and statistics,1614.0,1648.0,1633.0,1697.0,1665.0,1873.0,1846.0,1875.0,1857.0,2035.0,1980.0
No debt,1296.0,1312.0,1339.0,1386.0,1371.0,1560.0,1546.0,1602.0,1574.0,1761.0,1750.0
"$10,000 or less",100.0,116.0,103.0,84.0,107.0,105.0,99.0,98.0,93.0,74.0,93.0
"$10,001–$30,000",97.0,88.0,86.0,104.0,81.0,90.0,83.0,74.0,79.0,81.0,65.0
"$30,001–$70,000",76.0,79.0,63.0,75.0,56.0,78.0,67.0,55.0,56.0,56.0,42.0
"$70,001 or more",45.0,53.0,42.0,48.0,50.0,40.0,51.0,46.0,55.0,63.0,30.0
Physical sciences ,4109.0,4206.0,4359.0,4585.0,4540.0,4753.0,4924.0,4644.0,4366.0,5049.0,5002.0
No debt,3167.0,3308.0,3450.0,3653.0,3749.0,3966.0,4097.0,3997.0,3810.0,4367.0,4283.0
"$10,000 or less",342.0,315.0,369.0,384.0,304.0,350.0,311.0,257.0,209.0,261.0,285.0
"$10,001–$30,000",307.0,281.0,257.0,251.0,233.0,187.0,244.0,168.0,169.0,188.0,211.0
"$30,001–$70,000",193.0,200.0,176.0,188.0,158.0,155.0,148.0,132.0,110.0,128.0,127.0
"$70,001 or more",100.0,102.0,107.0,109.0,96.0,95.0,124.0,90.0,68.0,105.0,96.0
Psychology,3017.0,3040.0,3091.0,3345.0,3356.0,3288.0,3359.0,3288.0,3190.0,3401.0,3330.0
No debt,1125.0,1112.0,1161.0,1384.0,1426.0,1487.0,1568.0,1518.0,1519.0,1771.0,1727.0
"$10,000 or less",196.0,207.0,228.0,243.0,242.0,205.0,202.0,218.0,166.0,170.0,186.0
"$10,001–$30,000",349.0,340.0,357.0,370.0,370.0,303.0,270.0,297.0,278.0,285.0,274.0
"$30,001–$70,000",569.0,568.0,523.0,489.0,458.0,416.0,386.0,361.0,356.0,369.0,346.0
"$70,001 or more",778.0,813.0,822.0,859.0,860.0,877.0,933.0,894.0,871.0,806.0,797.0
Social sciences,4472.0,4468.0,4828.0,4791.0,4660.0,4632.0,4703.0,4683.0,4464.0,4823.0,4762.0
No debt,2352.0,2367.0,2517.0,2618.0,2668.0,2681.0,2771.0,2924.0,2835.0,3232.0,3248.0
"$10,000 or less",423.0,405.0,448.0,449.0,408.0,404.0,348.0,351.0,279.0,287.0,354.0
"$10,001–$30,000",535.0,528.0,594.0,523.0,476.0,433.0,454.0,402.0,361.0,375.0,346.0
"$30,001–$70,000",623.0,573.0,611.0,580.0,524.0,502.0,454.0,398.0,391.0,360.0,327.0
"$70,001 or more",539.0,595.0,658.0,621.0,584.0,612.0,676.0,608.0,598.0,569.0,487.0
Non-science and engineering,11851.0,11331.0,11972.0,12120.0,11651.0,11500.0,11323.0,11225.0,10007.0,10630.0,10783.0
No debt,5643.0,5293.0,5702.0,5915.0,5844.0,5921.0,6036.0,6019.0,5651.0,6142.0,6377.0
"$10,000 or less",1077.0,982.0,1117.0,1032.0,950.0,970.0,839.0,825.0,615.0,680.0,678.0
"$10,001–$30,000",1532.0,1399.0,1458.0,1423.0,1240.0,1214.0,1151.0,1071.0,834.0,967.0,911.0
"$30,001–$70,000",1837.0,1819.0,1708.0,1731.0,1586.0,1468.0,1350.0,1332.0,1137.0,1112.0,1113.0
"$70,001 or more",1762.0,1838.0,1987.0,2019.0,2031.0,1927.0,1947.0,1978.0,1770.0,1729.0,1704.0
Business ,1346.0,1349.0,1372.0,1329.0,1344.0,1274.0,1350.0,1254.0,1210.0,1275.0,1351.0
No debt,784.0,756.0,816.0,821.0,841.0,822.0,882.0,861.0,852.0,916.0,1022.0
"$10,000 or less",97.0,106.0,79.0,86.0,66.0,72.0,77.0,65.0,47.0,74.0,60.0
"$10,001–$30,000",119.0,118.0,127.0,111.0,112.0,117.0,102.0,76.0,86.0,89.0,91.0
"$30,001–$70,000",180.0,143.0,150.0,139.0,136.0,103.0,114.0,95.0,71.0,65.0,58.0
"$70,001 or more",166.0,226.0,200.0,172.0,189.0,160.0,175.0,157.0,154.0,131.0,120.0
Education,4300.0,4079.0,4490.0,4621.0,4299.0,4356.0,4199.0,4266.0,3769.0,3919.0,4025.0
No debt,1898.0,1725.0,1942.0,2038.0,1892.0,1952.0,1976.0,2003.0,1868.0,1918.0,2006.0
"$10,000 or less",361.0,347.0,396.0,369.0,340.0,339.0,267.0,292.0,227.0,240.0,262.0
"$10,001–$30,000",574.0,502.0,555.0,557.0,483.0,480.0,421.0,433.0,337.0,382.0,382.0
"$30,001–$70,000",728.0,732.0,711.0,718.0,673.0,667.0,621.0,600.0,494.0,528.0,537.0
"$70,001 or more",739.0,773.0,886.0,939.0,911.0,918.0,914.0,938.0,843.0,851.0,838.0
Humanities and arts,4927.0,4698.0,4873.0,4890.0,4676.0,4614.0,4507.0,4369.0,3659.0,3976.0,3913.0
No debt,2400.0,2277.0,2394.0,2515.0,2507.0,2550.0,2564.0,2511.0,2231.0,2492.0,2528.0
"$10,000 or less",521.0,447.0,537.0,461.0,439.0,457.0,402.0,355.0,244.0,269.0,258.0
"$10,001–$30,000",663.0,621.0,629.0,599.0,503.0,483.0,476.0,429.0,286.0,371.0,315.0
"$30,001–$70,000",721.0,723.0,640.0,652.0,549.0,513.0,466.0,473.0,409.0,362.0,342.0
"$70,001 or more",622.0,630.0,673.0,663.0,678.0,611.0,599.0,601.0,489.0,482.0,470.0
Other non-science and engineering,1278.0,1205.0,1237.0,1280.0,1332.0,1256.0,1267.0,1336.0,1369.0,1460.0,1494.0
No debt,561.0,535.0,550.0,541.0,604.0,597.0,614.0,644.0,700.0,816.0,821.0
"$10,000 or less",98.0,82.0,105.0,116.0,105.0,102.0,93.0,113.0,97.0,97.0,98.0
"$10,001–$30,000",176.0,158.0,147.0,156.0,142.0,134.0,152.0,133.0,125.0,125.0,123.0
"$30,001–$70,000",208.0,221.0,207.0,222.0,228.0,185.0,149.0,164.0,163.0,157.0,176.0
"$70,001 or more",235.0,209.0,228.0,245.0,253.0,238.0,259.0,282.0,284.0,265.0,276.0
