Table 9-4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Biological and biomedical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,
Characteristic,All biological and biomedical sciences fields,"Biochemistry, biophysics, and molecular biology","Bioinformatics, biostatistics, and computational biology","Biological and biomedical sciences, general",Cell/ cellular biology and anatomy,"Ecology, evolutionary biology, and epidemiology",Genetics and genomics,Microbiology and immunology,Neurobiology and neurosciences,Pharmacology and toxicology,"Physiology, oncology, and cancer biology","Biological and biomedical sciences, other"
Doctorate recipients reporting postgraduation status (number),9035,1414,693,764,715,1089,446,1040,1132,371,760,611
Definite postdoctoral training plans,40,37.3,22.9,40.2,38.5,44.6,41.7,43.3,45.6,35.8,40.1,44.5
Definite employment plans,28.2,28.6,48.9,25,23.1,30.5,23.3,23.1,22.5,33.7,29.5,27.8
Seeking employment or study,26.1,30.1,24.4,30,30.6,22.5,27.6,25.9,22.7,24.8,23.9,24.7
Other statusa,5.5,4.1,3.6,4.6,7.6,2.4,7,7.5,9.2,5.7,6.4,2.6
Definite postdoctoral training plans (%)b,,,,,,,,,,,,
Postdoc fellowship or research associateship,94.6,95.6,95,93.8,94.2,97.1,96.2,91.1,94.6,94,92.8,95.6
Other training or unknownc,5.4,4.4,5,6.2,5.8,2.9,3.8,8.9,5.4,6,7.2,4.4
Definite employment plans (%)d,,,,,,,,,,,,
Academe,23.1,16.8,16.5,24.6,29.1,31.6,D,20,D,8,31.3,37.1
In tenure track faculty position (%),23.3,17.6,28.6,23.4,22.9,23.8,D,18.8,D,D,35.7,27
Not in tenure track position (%),74.9,79.4,69.6,76.6,77.1,75.2,D,72.9,90.9,D,61.4,71.4
Government,7.2,D,5,5.8,3,25.3,5.8,4.6,D,4.8,3.1,12.9
Industry or businesse,60.6,74.8,69.3,57.6,64.8,27.4,67.3,67.5,65.5,80,58.5,41.2
