Table 6-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Temporary visa holder research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2023",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,Temporary visa holder doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
Temporary visa holder doctorate recipients reporting postgraduation commitments,19393,13776,11409,4645,1652,4708,404,2353,14
Science and engineering,16807,12074,10234,4358,936,4598,342,1830,10
Agricultural sciences and natural resources,454,293,255,166,25,59,5,38,0
"Agricultural, animal, plant, and veterinary sciences",335,222,191,124,17,47,3,31,0
Natural resources and conservation,119,71,64,42,8,12,2,7,0
Biological and biomedical sciences,2352,1692,1521,1001,54,412,54,170,1
"Biochemistry, biophysics, and molecular biology",426,306,281,186,7,81,7,24,1
"Bioinformatics, biostatistics, and computational biology",301,225,209,78,11,100,20,16,0
"Biological and biomedical sciences, general",216,131,118,D,D,29,5,13,0
Cell/ cellular biology and anatomy,182,128,119,D,D,33,1,9,0
"Ecology, evolutionary biology, and epidemiology",214,152,120,88,7,19,6,32,0
Genetics and genomics,100,77,D,40,D,20,3,D,0
Microbiology and immunology,214,159,144,107,D,D,4,15,0
Neurobiology and neurosciences,218,158,142,105,D,D,3,16,0
Pharmacology and toxicology,93,72,D,39,D,25,2,D,0
"Physiology, oncology, and cancer biology",198,147,136,106,6,22,2,11,0
"Biological and biomedical sciences, other",190,137,118,90,5,22,1,19,0
Computer and information sciences,1337,999,882,181,124,551,26,115,2
Computer science,962,727,646,130,74,425,17,81,0
"Computer and information sciences, other",375,272,236,51,50,126,9,34,2
Engineering,5646,3966,3529,1190,188,2055,96,435,2
"Aerospace, aeronautical, astronautical, and space engineering",226,165,D,58,D,74,5,D,0
"Biological, biomedical, and biosystems engineering",392,276,258,138,8,103,9,18,0
Chemical and petroleum engineering,594,433,378,130,5,234,9,55,0
"Civil, environmental, and transportation engineering",769,518,447,204,30,193,20,71,0
Electrical and computer engineering,1423,1048,928,181,47,673,27,119,1
Engineering technologies,272,190,D,D,8,99,0,D,0
Industrial engineering and operations research,363,246,D,D,34,128,6,D,1
Materials and mining engineering,447,319,288,D,D,177,1,31,0
Mechanical engineering,840,572,520,190,27,291,12,52,0
"Engineering, other",320,199,D,79,D,83,7,D,0
"Geosciences, atmospheric, and ocean sciences",389,283,235,174,14,37,10,47,1
Geological and earth sciences,235,168,136,88,D,D,5,31,1
"Ocean, marine, and atmospheric sciences",154,115,99,86,D,D,5,16,0
Health sciences,623,446,325,172,39,98,16,121,0
Nursing and nursing science,79,60,D,15,D,D,3,D,0
Pharmacy and pharmaceutical sciences,211,152,127,54,D,D,6,25,0
Public health,165,119,88,57,10,17,4,31,0
