Table 8-3,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Agricultural sciences and natural resources research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,
"(Number, percent, and median years)",,,
Characteristic,All agricultural sciences and natural resources fields,"Agricultural, animal, plant, and veterinary sciences",Natural resources and conservation
All doctorate recipients (number)a,1278,856,422
Sex (%),,,
Male,44.8,43.3,47.6
Female,55.2,56.7,52.4
Unknown,0,0,0
Citizenship status (%),,,
U.S. citizen or permanent resident,60.9,58.1,66.6
Temporary visa holder,35.5,39.1,28.2
Unknown,3.6,2.8,5.2
Marital status (%),,,
Never married,36.5,38,33.4
Married,39.3,38.7,40.5
Marriage-like relationship,9.1,8.4,10.4
"Separated, divorced, widowed",2.4,2.2,2.8
Unknown,12.8,12.7,12.8
Has dependent age 18 or younger (%),21.6,21.6,21.5
Has one or more functional limitations (%),16.7,15.5,19.1
Age at doctorate (median years),31.9,31.2,33
Bachelor's in same field as doctorate (%)b,48.4,58.8,27.4
Master's earned (%),77.9,75.3,83
Master's earned at same doctorate institution (%),36.5,38,33.9
Time to doctorate (median years),,,
Years since earning bachelor's degree,9,8.1,10.3
From graduate school start,7.3,6.9,8.5
From doctoral program startc,5,4.8,5.3
Received tuition remission (%),88,87,90.1
Male doctorate recipients (number),572,371,201
Citizenship status (%),,,
U.S. citizen or permanent resident,56.6,53.4,62.7
Temporary visa holder,39.9,43.1,33.8
Unknown,3.5,3.5,3.5
Marital status (%),,,
Never married,36.4,39.6,30.3
Married,40.9,38.5,45.3
Marriage-like relationship,8.6,D,D
"Separated, divorced, widowed",1.2,D,D
Unknown,12.9,12.9,12.9
Has dependent age 18 or younger (%),24.7,23.6,26.9
Has one or more functional limitations (%),15.7,13.4,20
Age at doctorate (median years),32.3,31.3,33.8
Bachelor's in same field as doctorate (%)b,50.8,61.3,31.1
Master's earned (%),80.6,76.8,87.8
Master's earned at same doctorate institution (%),36.7,39.1,32.9
Time to doctorate (median years),,,
Years since earning bachelor's degree,9.1,8.3,10.5
From graduate school start,7.3,6.8,8.5
From doctoral program startc,5,4.9,5
Received tuition remission (%),87,86.5,88.1
Female doctorate recipients (number),706,485,221
Citizenship status (%),,,
U.S. citizen or permanent resident,64.3,61.6,70.1
Temporary visa holder,32,36.1,23.1
Unknown,3.7,2.3,6.8
Marital status (%),,,
Never married,36.5,36.7,36.2
Married,38,38.8,36.2
Marriage-like relationship,9.5,D,D
"Separated, divorced, widowed",3.4,D,D
Unknown,12.6,12.6,12.7
Has dependent age 18 or younger (%),19,20,16.7
Has one or more functional limitations (%),17.4,17,18.2
Age at doctorate (median years),31.6,31,32.8
Bachelor's in same field as doctorate (%)b,46.4,56.8,24.1
Master's earned (%),75.6,74.1,78.8
Master's earned at same doctorate institution (%),36.4,37.2,34.8
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.6,8,10
From graduate school start,7.3,7,8.6
From doctoral program startc,5,4.8,5.3
Received tuition remission (%),88.8,87.4,92
