Table 3-7,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Median age and age distribution of research doctorate recipients, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2023",,,,,,,,
(Percent),,,,,,,,
Field and demographic characteristic,Median age at doctorate (years),All ages,25 and under,26–30,31–35,36–40,41–45,Over 45
Doctorate recipients reporting birth year,31.4,100,0.7,45.3,31.1,11.4,5.1,6.4
Science and engineering ,30.7,100,0.9,52.3,30.6,9.1,3.3,3.8
Agricultural sciences and natural resources,31.9,100,0.5,41,36,12.8,5.3,4.4
Biological and biomedical sciences  ,30.4,100,0.7,56.3,32.4,7.1,2.1,1.4
Computer and information sciences  ,30.8,100,1.1,51,30.9,9,3.2,4.7
Engineering  ,30.1,100,1.2,59.1,28.7,7.1,2,1.9
"Geosciences, atmospheric, and ocean sciences  ",30.8,100,0.8,50,32,10.5,2.9,3.7
Health sciences  ,34.8,100,0.7,26,29,16.4,9.2,18.6
Mathematics and statistics  ,29.2,100,2.1,66.9,23.3,4.8,1.7,1.2
Multidisciplinary/ interdisciplinary sciences,31.1,100,0.5,48.5,31.1,10.3,4.4,5.2
Physical sciences  ,29.3,100,1.2,70.3,21.4,4.9,1.6,0.6
Psychology  ,31.3,100,0.5,45.9,32.7,9.5,4.5,6.8
Social sciences  ,33.1,100,0.3,28.3,40.9,17.8,6.5,6.2
Non-science and engineering,35.8,100,0.1,17.5,33.2,20.3,12.2,16.7
Business,33.5,100,D,26.7,37,17.1,D,11.4
Education  ,39.2,100,0.1,10.4,24.9,21.3,16.6,26.6
Humanities,34.8,100,D,18.4,39,21.4,D,11.3
Visual and performing arts  ,34.2,100,0,21,41.2,20,11.1,6.7
Other non-science and engineering,35,100,D,21.5,33.6,19,D,14.4
Sex,,,,,,,,
Male,31.2,100,0.7,47.1,32,10.9,4.5,4.7
Female,31.7,100,0.7,43.2,30.1,11.8,5.8,8.4
"Citizenship status, ethnicity, and race",,,,,,,,
U.S. citizen or permanent resident,31.6,100,0.8,44.1,27.9,11.9,6.3,9
Hispanic or Latino,31.9,100,0.4,42.1,29.6,12.3,6.3,9.3
Not Hispanic or Latino,,,,,,,,
American Indian or Alaska Native,36.2,100,D,21.9,24.6,21.1,11.4,D
Asian,31,100,1,48.1,31.6,9.2,4.7,5.3
Black or African American,35.4,100,0.6,27.5,23.7,16.1,10.6,21.5
White,31.4,100,0.8,45.7,27.6,11.7,6,8.3
More than one race,30.7,100,1.6,51.5,25.5,11.7,4.5,5.2
Other race or race not reported,32.5,100,D,38.8,30.3,15.8,6.5,D
Ethnicity not reported,32.3,100,0.5,38.1,31.2,10.2,10.6,9.5
Temporary visa holder,31.2,100,0.7,47.4,37,10.3,3,1.6
