Table 8-12,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Psychology research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All psychology fields,Clinical psychology,Counseling and applied psychology,Research and experimental psychology,"Psychology, other"
All doctorate recipients (number)a,3793,1203,1293,803,494
Sex (%),,,,,
Male,23.3,20.1,22.3,30.5,22.3
Female,76.6,79.9,77.7,69.5,77.5
Unknown,*,0,0,0,0.2
Citizenship status (%),,,,,
U.S. citizen or permanent resident,83.8,89.6,85,81.6,70
Temporary visa holder,8.8,3.4,9.4,15.7,9.5
Unknown,7.4,7,5.6,2.7,20.4
Marital status (%),,,,,
Never married,30.7,28.9,30.3,39.4,22.3
Married,35.3,35.8,38.4,32.6,30.2
Marriage-like relationship,13.4,15.5,11.2,16.7,9.1
"Separated, divorced, widowed",4,3.1,6.3,1.6,3.8
Unknown,16.6,16.7,13.8,9.7,34.6
Has dependent age 18 or younger (%),18.7,17.7,21.6,14.2,22.3
Has one or more functional limitations (%),17.1,16,17.4,17.5,18.6
Age at doctorate (median years),31.3,31.1,32.3,30.4,31.5
Bachelor's in same field as doctorate (%)b,70.9,80.8,65.8,68.9,62.3
Master's earned (%),89,90.4,91.2,84.2,88.1
Master's earned at same doctorate institution (%),65.4,77.3,54.2,69.1,59.5
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,8.6,8.6,9.3,8,8.6
From graduate school start,6.9,6.8,7.4,6.2,6.9
From doctoral program startc,5.9,6,5.8,5.7,5.8
Received tuition remission (%),81.5,80,76.1,93.3,78.4
Male doctorate recipients (number),885,242,288,245,110
Citizenship status (%),,,,,
U.S. citizen or permanent resident,82.3,90.1,84,81.6,61.8
Temporary visa holder,8.9,1.7,8.7,17.1,7.3
Unknown,8.8,8.3,7.3,1.2,30.9
Marital status (%),,,,,
Never married,31.5,29.3,30.9,39.6,20
Married,35.5,33.9,42,33.1,27.3
Marriage-like relationship,12.8,16.1,6.9,D,D
"Separated, divorced, widowed",3.1,3.3,4.2,D,D
Unknown,17.2,17.4,16,7.8,40.9
Has dependent age 18 or younger (%),20.6,20.5,24.8,16.3,20
Has one or more functional limitations (%),15.5,15,16,16.1,12.5
Age at doctorate (median years),32.3,31.8,33.4,31.2,33.3
Bachelor's in same field as doctorate (%)b,66,76.6,61.1,64.7,55.7
Master's earned (%),87.1,89.9,88.5,84.1,82.9
Master's earned at same doctorate institution (%),62.6,76,49.1,66,60
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,8.9,9,9.7,8,9
From graduate school start,7,7,7.8,6.5,7.6
From doctoral program startc,5.9,6,5.8,5.8,5.8
Received tuition remission (%),81.5,77.6,74.9,93.4,77.6
Female doctorate recipients (number),2907,961,1005,558,383
Citizenship status (%),,,,,
U.S. citizen or permanent resident,84.2,89.5,85.3,81.5,72.3
Temporary visa holder,8.8,3.9,9.6,15.1,10.2
Unknown,6.9,6.7,5.2,3.4,17.5
Marital status (%),,,,,
Never married,30.5,28.8,30.1,39.2,23
Married,35.2,36.3,37.3,32.4,30.8
Marriage-like relationship,13.7,15.3,12.4,D,D
"Separated, divorced, widowed",4.3,3,7,D,D
Unknown,16.4,16.5,13.1,10.6,32.9
Has dependent age 18 or younger (%),18.2,17,20.8,13.2,22.6
Has one or more functional limitations (%),17.5,16.2,17.7,18.2,19.8
Age at doctorate (median years),31.1,31,32,30,31.3
Bachelor's in same field as doctorate (%)b,72.4,81.9,67.2,70.8,64.2
Master's earned (%),89.6,90.5,91.9,84.3,89.4
Master's earned at same doctorate institution (%),66.2,77.6,55.6,70.5,59.6
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,8.4,8.3,9.3,7.7,8.6
From graduate school start,6.8,6.3,7.3,6,6.8
From doctoral program startc,5.9,6,5.7,5.7,5.7
Received tuition remission (%),81.5,80.6,76.5,93.2,78.6
