Table 7-8,Unnamed: 1,Unnamed: 2
"Top 40 countries or economies of origin of temporary visa holders earning U.S. research doctorates, by number of doctorate recipients: 2023",,
(Number),,
Country or economy,Rank,Doctorate recipients
All temporary visa holders (154 countries or economies),-,18908
Top 40 countries or economies of origin,-,17656
Chinaa,1,6652
India ,2,2762
South Korea,3,1109
Iran ,4,648
Bangladesh ,5,552
Saudi Arabia ,6,483
Taiwan,7,462
Canada ,8,405
Turkey ,9,368
Nepal ,10,326
Brazil,11,298
Nigeria ,12,265
Mexico ,13,235
Sri Lanka,14,229
Colombia ,15,227
Vietnam ,16,188
Italy ,17,185
Pakistan,18,178
Germany,19,162
Egypt ,20,145
Spain ,21,138
Ghana ,22,124
United Kingdom,22,124
Greece,24,122
Japan ,25,115
Thailand ,26,114
France ,27,112
Russia,27,112
Chile ,29,111
Jordan ,30,75
Indonesia ,31,73
Israel ,32,71
Lebanon,32,71
Singapore,34,69
Argentina,35,68
Peru ,36,66
Malaysia ,37,61
Ecuador,38,55
Ethiopia,39,49
Australia,40,47
