Table 2-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"Employment sector of research doctorate recipients with definite postgraduation commitments for non-postdoc employment in the United States, by trend broad field of doctorate: Selected years, 1993–2023",,,,,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,,,,
"Employment commitment, sector, and year",All fields,Science and engineering,,,,,,,,,,,Non-science and engineering,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities and arts,Other non-science and engineering
All U.S. employment commitments (number),,,,,,,,,,,,,,,,,
1993,15029,7626,309,657,371,1660,178,508,370,722,1474,1377,7403,761,4052,2075,515
1998,16603,9425,331,892,479,2586,222,594,438,982,1305,1596,7178,713,3678,2285,502
2003,15636,8098,327,818,400,1744,198,610,325,772,1161,1743,7538,614,3829,2549,546
2008,17273,9896,298,984,761,2805,228,713,458,793,967,1889,7377,825,3760,2127,665
2013,15033,9496,309,921,779,2595,179,741,531,786,869,1786,5537,730,2321,1916,570
2018,18907,12743,382,1500,1007,3625,239,933,709,1278,1016,2054,6164,812,2650,1996,706
2023,22462,16353,484,2426,1385,4943,293,970,814,1798,1069,2171,6109,880,2615,1780,834
Academe (%),,,,,,,,,,,,,,,,,
1993,51.7,42.3,41.4,45.5,46.9,23.3,34.8,60.6,73.8,18.6,34.5,69.1,61.4,87.5,44.6,82.8,68
1998,45.7,33.9,37.2,34,33.8,11.5,34.2,56.2,55,16.5,36.3,64.1,61.2,78.7,46.5,78.6,64.5
2003,54.4,45.4,41.3,46.2,58.8,21.7,39.9,61.8,69.5,22.2,41.6,69.5,64,84,48.5,81.3,70.1
2008,51.1,39.7,41.6,43,29.6,15.1,35.5,59.2,56.6,23.2,47.3,70.2,66.4,80.4,50.8,85.3,77
2013,50.2,37.4,39.5,40,23.6,13.6,36.9,56.8,52.2,21.6,45,67.3,72.2,84.1,58.6,82.4,77.7
2018,43.2,31.9,36.9,30.9,25.4,12.8,31.8,55,38.4,16.3,42.9,60.1,66.4,78.2,55.3,74.4,72
2023,34.2,24.2,31.4,22.1,21.6,9.7,26.6,47.8,27,11.5,38.3,50.9,60.9,74.3,51.4,68.1,61.3
Government (%),,,,,,,,,,,,,,,,,
1993,9.1,12.5,19.7,17.2,4,13,28.1,10.8,4.9,8.7,15.7,9.7,5.6,2.4,7.4,1.8,11.5
