Table 8-14,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Education research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All education fields,Education leadership and administration,Education research,Teacher education and teaching fields,"Education, other"
All doctorate recipients (number)a,3988,1179,1253,1098,458
Sex (%),,,,,
Male,27.3,33.6,25.3,24.9,22.5
Female,72.7,66.4,74.7,75.1,77.5
Unknown,0,0,0,0,0
Citizenship status (%),,,,,
U.S. citizen or permanent resident,82.5,89.1,78.6,80.6,80.8
Temporary visa holder,11.6,6.6,15,14.5,7.9
Unknown,5.9,4.2,6.4,4.9,11.4
Marital status (%),,,,,
Never married,19.2,18.5,19.2,20.5,17.9
Married,54.3,56.3,53.6,56.5,45.9
Marriage-like relationship,5.2,4.7,4.5,5.9,6.3
"Separated, divorced, widowed",7.1,7.3,7.1,6.6,7.6
Unknown,14.2,13.1,15.6,10.5,22.3
Has dependent age 18 or younger (%),43.1,46.3,40.4,42.8,43
Has one or more functional limitations (%),15.5,14.9,15.5,15.3,17.9
Age at doctorate (median years),39.2,41.3,38.4,38.4,39
Bachelor's in same field as doctorate (%)b,25.7,23.2,20,35.8,21.7
Master's earned (%),96.6,97.4,96.6,96.5,94.2
Master's earned at same doctorate institution (%),31.3,30.1,33.1,31.1,29.9
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,15.4,17.6,14.4,14.4,15
From graduate school start,12.7,14.9,11.7,11.8,12.2
From doctoral program startc,5.6,5.8,5.6,5.3,5.7
Received tuition remission (%),61.8,51.8,64.3,69.2,63.1
Male doctorate recipients (number),1089,396,317,273,103
Citizenship status (%),,,,,
U.S. citizen or permanent resident,81.6,87.6,79.2,76.9,78.6
Temporary visa holder,12.9,8.1,15.8,17.6,10.7
Unknown,5.4,4.3,5,5.5,10.7
Marital status (%),,,,,
Never married,20.3,16.2,23,23.4,19.4
Married,57.2,61.6,57.1,56,43.7
Marriage-like relationship,4.4,4.5,2.8,5.9,4.9
"Separated, divorced, widowed",3.8,3.5,3.5,4,4.9
Unknown,14.3,14.1,13.6,10.6,27.2
Has dependent age 18 or younger (%),46.7,56.8,41.8,40.2,40
Has one or more functional limitations (%),14.1,12.3,15.7,14.5,16
Age at doctorate (median years),39.4,41.4,38.6,37.8,39.6
Bachelor's in same field as doctorate (%)b,22.8,19.3,15.6,37.3,19
Master's earned (%),96,97.5,94.8,96,93.7
Master's earned at same doctorate institution (%),30.5,29.1,30,34.9,24.3
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,15,17.7,14.3,13.3,14.9
From graduate school start,12.8,15.4,11.6,11.3,11.6
From doctoral program startc,5.6,5.8,5.6,5.2,5.4
Received tuition remission (%),57.8,44.8,63.1,69.3,59.7
Female doctorate recipients (number),2899,783,936,825,355
Citizenship status (%),,,,,
U.S. citizen or permanent resident,82.9,89.9,78.4,81.8,81.4
Temporary visa holder,11,5.9,14.7,13.5,7
Unknown,6.1,4.2,6.8,4.7,11.5
Marital status (%),,,,,
Never married,18.8,19.7,17.8,19.5,17.5
Married,53.2,53.6,52.5,56.6,46.5
Marriage-like relationship,5.5,4.9,5,5.9,6.8
"Separated, divorced, widowed",8.3,9.2,8.3,7.5,8.5
Unknown,14.2,12.6,16.3,10.4,20.8
Has dependent age 18 or younger (%),41.8,41.1,39.9,43.6,43.8
Has one or more functional limitations (%),16,16.2,15.4,15.6,18.4
Age at doctorate (median years),39.1,41.3,38.3,38.6,38.9
Bachelor's in same field as doctorate (%)b,26.7,25.1,21.5,35.3,22.4
Master's earned (%),96.8,97.4,97.2,96.7,94.4
Master's earned at same doctorate institution (%),31.6,30.5,34.2,29.9,31.3
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,15.6,17.6,14.5,14.8,15.3
From graduate school start,12.6,14.8,11.7,11.8,12.4
From doctoral program startc,5.7,5.8,5.6,5.3,5.8
Received tuition remission (%),63.4,55.3,64.7,69.1,63.9
