Table 2-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Sources of support for research doctorate recipients with postdoctoral training commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1993–2023",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
"Postdoctoral training commitments, source of support, and year",Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asianb,Black or African American,White,More than one race,Other race or race not reportedc,
All postdoctoral training commitments (number),,,,,,,,,,,,,
1993,7060,4697,2362,4990,2068,162,11,422,126,4228,na,24,17
1998,7581,4664,2914,5383,2186,208,18,649,154,4232,na,80,42
2003,8588,5141,3447,5642,2933,260,15,530,248,4339,96,77,77
2008,10573,6050,4523,6581,3976,382,D,568,307,5027,D,73,87
2013,10913,6044,4869,7079,3811,425,22,595,314,5422,208,47,46
2018,13200,7236,5964,8473,4687,642,13,855,393,6188,294,55,33
2023,14026,7344,6681,8555,5412,887,20,917,455,5766,410,68,32
U.S. government (%),,,,,,,,,,,,,
1993,35.2,34.1,37.3,42.6,17.3,38.9,45.5,37,33.3,43.5,na,45.8,41.2
1998,36.4,36.6,36,42.3,22,34.6,50,39.1,36.4,43.6,na,27.5,45.2
2003,32.9,33.7,31.8,39.8,19.8,36.2,53.3,40,28.2,40.9,42.7,27.3,29.9
2008,29.2,28.9,29.5,35.3,19.1,35.6,D,34.2,32.2,36.2,D,30.1,17.2
2013,31.3,30.5,32.3,37.2,20.4,34.1,D,32.9,36.6,37.9,40.4,D,23.9
2018,30.1,29,31.4,37.1,17.5,36.9,38.5,33.6,28.8,38.2,35.4,40,39.4
2023,27.8,27.1,28.7,35.3,16.2,34.7,D,32.4,26.2,37,34.6,D,25
College or university (%),,,,,,,,,,,,,
1993,28.7,31.3,23.5,21.5,46.2,19.1,D,27,25.4,21,na,D,17.6
1998,31.5,33.6,28.1,26.8,43,35.1,22.2,27.6,24,26.3,na,36.3,21.4
2003,41.5,42.8,39.7,35,54.1,37.3,20,36.2,39.5,34.6,30.2,40.3,29.9
2008,45.3,46.3,44,40.2,53.6,39.5,36.4,43.3,46.6,39.1,46.1,53.4,43.7
2013,43.6,45.3,41.4,38.9,52.3,41.6,40.9,40.3,41.1,38.5,40.4,34,32.6
2018,41.1,43.3,38.5,35.9,50.9,38.2,D,36.6,43,35.1,37.1,D,24.2
2023,44.3,47.2,41.1,37.3,55.5,38.9,D,41.3,44.6,35.4,39.5,D,34.4
Private foundation (%),,,,,,,,,,,,,
1993,9.8,9.3,10.6,9.9,9.4,13.6,0,9,15.9,9.7,na,8.3,0
1998,9.8,9.5,10.3,9.7,10,8.7,5.6,10.8,10.4,9.5,na,11.3,9.5
2003,5.8,5.3,6.6,6.4,4.8,6.9,6.7,4.3,6.9,6.5,8.3,7.8,7.8
2008,5,4.7,5.5,5.5,4.3,5,D,4,3.9,5.7,D,0,10.3
2013,4.7,4.1,5.5,5.4,3.5,4.5,D,4.4,4.5,5.6,5.8,D,17.4
2018,4.5,4.1,5,5.3,3.1,4.2,0,5.3,4.6,5.6,4.4,0,3
2023,3.9,3.1,4.7,4.7,2.6,2.8,0,3.8,5.5,5.1,4.4,1.5,6.3
"Nonprofit, other than private foundation (%)",,,,,,,,,,,,,
1993,2.5,2.5,2.6,2.2,3.3,2.5,0,0.9,1.6,2.4,na,4.2,0
1998,3.1,2.8,3.4,2.6,4.2,1,0,2.5,3.2,2.7,na,0,2.4
2003,3.7,3,4.9,3.8,3.6,3.8,0,3.8,4.8,3.8,4.2,3.9,2.6
2008,3.1,2.6,3.8,2.8,3.5,2.9,D,1.9,4.6,2.8,D,4.1,4.6
2013,3.6,2.7,4.7,3.7,3.4,3.1,0,4.7,3.5,3.8,2.4,4.3,4.3
2018,3.1,2.4,3.8,3.5,2.3,4,D,2.8,5.6,3.4,3.1,D,6.1
2023,3.2,2.4,4.2,3.7,2.5,3.6,D,3.1,5.3,3.7,4.1,D,3.1
Other (%),,,,,,,,,,,,,
1993,10.4,10.1,10.9,10.3,10.4,11.7,D,9.7,7.1,10.5,na,D,11.8
1998,7.4,6.8,8.4,7,8.4,10.1,5.6,6.3,5.8,7.1,na,8.8,2.4
2003,8.8,8.8,8.7,8,10.4,6.9,6.7,8.9,8.1,7.9,7.3,6.5,13
2008,10.2,11,9.2,9.2,12,7.3,D,8.5,5.2,9.5,D,6.8,14.9
2013,9.4,10.1,8.5,7.9,12.1,9.2,0,8.9,5.4,8,4.3,8.5,10.9
2018,9,9.4,8.7,7.5,11.8,5,7.7,8.2,7.9,7.7,7.5,7.3,9.1
2023,8.4,8.3,8.5,8.1,8.9,6.3,10,7.4,6.6,8.6,7.6,11.8,0
Unknown (%),,,,,,,,,,,,,
1993,13.4,12.6,15.1,13.4,13.3,14.2,D,16.4,16.7,12.9,na,D,29.4
1998,11.9,10.6,13.9,11.6,12.4,10.6,16.7,13.7,20.1,10.8,na,16.3,19
2003,7.2,6.4,8.3,7.1,7.2,8.8,13.3,6.8,12.5,6.5,7.3,14.3,16.9
2008,7.2,6.6,8,7.1,7.5,9.7,D,8.1,7.5,6.7,D,5.5,9.2
2013,7.4,7.3,7.5,6.8,8.3,7.5,4.5,8.7,8.9,6.3,6.7,17,10.9
2018,12.2,11.8,12.6,10.7,14.5,11.7,0,13.6,10.2,10,12.6,23.6,18.2
2023,12.4,11.9,12.9,10.9,14.3,13.6,15,12,11.9,10.2,9.8,8.8,31.3
