Table 2-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"Postgraduation commitment of research doctorate recipients, by trend broad field of doctorate: Selected years, 1993–2023",,,,,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,,,,
Commitment status and year,All fields,Science and engineering,,,,,,,,,,,Non-science and engineering,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities and arts,Other non-science and engineering
All doctorate recipients (number),,,,,,,,,,,,,,,,,
1993,39800,26486,1235,5212,880,5698,721,1016,1146,3681,3420,3477,13314,1281,6689,4372,972
1998,42636,28636,1315,6011,927,5922,766,1285,1177,3800,3673,3760,14000,1175,6569,5308,948
2003,40762,26759,1226,5927,866,5279,682,1353,993,3289,3277,3867,14003,1036,6651,5226,1090
2008,48776,34765,1252,8145,1787,7863,865,1689,1400,4081,3357,4326,14011,1421,6561,4688,1341
2013,52703,39084,1391,8707,1843,9000,989,2109,1817,4595,3592,5041,13619,1551,4934,5662,1472
2018,55078,42144,1499,8782,2000,10164,1185,2473,2022,5144,3821,5054,12934,1473,4818,5139,1504
2023,57862,45533,1477,9575,2687,11403,1231,2435,2167,5460,3899,5199,12329,1560,4562,4453,1754
All postgraduation commitments (number),,,,,,,,,,,,,,,,,
1993,36546,24320,1120,4890,804,5165,658,931,1033,3388,3123,3208,12226,1173,6116,4057,880
1998,38244,25739,1176,5523,839,5335,706,1118,1058,3450,3099,3435,12505,1031,5792,4819,863
2003,36868,24504,1099,5534,775,4872,641,1232,926,3055,2825,3545,12364,881,5749,4776,958
2008,44018,31502,1145,7512,1624,7095,810,1486,1276,3699,2893,3962,12516,1234,5856,4227,1199
2013,47836,35631,1268,8068,1692,8149,927,1908,1649,4222,3105,4643,12205,1370,4441,5073,1321
2018,50338,38754,1373,8245,1815,9332,1121,2240,1882,4781,3306,4659,11584,1284,4393,4640,1267
2023,52109,41273,1308,8867,2402,10294,1134,2160,1984,5010,3338,4776,10836,1350,4046,3931,1509
Definite commitment for employment or postdoctoral training (%),,,,,,,,,,,,,,,,,
1993,67,65.8,62.9,75.9,67.9,55.7,66.6,72,59.7,67.4,68.1,63.2,69.3,79.2,73,60.5,71.6
1998,69.7,70.3,64.3,73,72.5,69.8,68.4,73.3,67.5,73.3,69.2,66.6,68.4,83.1,73.7,58.6,70
2003,71.3,71.2,68.2,72.5,72.8,64.6,74.9,73.7,74.7,73.2,73.6,72.9,71.5,83.3,75.7,64.2,72.3
2008,69.2,68.4,64.5,64.7,69.8,65.1,75.9,72.3,72.3,70.3,73.8,71.9,71.2,81.7,73.7,64.5,72.5
2013,62.6,62.7,62.2,56.7,68.7,59.5,67.6,63.7,68.5,63.2,72.3,66.5,62.4,76.3,65.8,54.9,65.7
2018,68.2,68.4,64.9,64.5,75.5,65.5,67,69.6,74.7,67,77.9,70.9,67.5,82.6,71,59.1,70.6
2023,73.6,73.8,74.5,68.2,78.2,73.6,77.8,74.4,77.5,73.3,80,75.4,73.1,85.9,76.3,65.8,72.4
No definite commitment for employment or postdoctoral training (%)a,,,,,,,,,,,,,,,,,
1993,33,34.2,37.1,24.1,32.1,44.3,33.4,28,40.3,32.6,31.9,36.8,30.7,20.8,27,39.5,28.4
1998,30.3,29.7,35.7,27,27.5,30.2,31.6,26.7,32.5,26.7,30.8,33.4,31.6,16.9,26.3,41.4,30
2003,28.7,28.8,31.8,27.5,27.2,35.4,25.1,26.3,25.3,26.8,26.4,27.1,28.5,16.7,24.3,35.8,27.7
2008,30.8,31.6,35.5,35.3,30.2,34.9,24.1,27.7,27.7,29.7,26.2,28.1,28.8,18.3,26.3,35.5,27.5
2013,37.4,37.3,37.8,43.3,31.3,40.5,32.4,36.3,31.5,36.8,27.7,33.5,37.6,23.7,34.2,45.1,34.3
2018,31.8,31.6,35.1,35.5,24.5,34.5,33,30.4,25.3,33,22.1,29.1,32.5,17.4,29,40.9,29.4
2023,26.4,26.2,25.5,31.8,21.8,26.4,22.2,25.6,22.5,26.7,20,24.6,26.9,14.1,23.7,34.2,27.6
