Table 9-12,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Psychology research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All psychology fields,Clinical psychology,Counseling and applied psychology,Research and experimental psychology,"Psychology, other"
Doctorate recipients reporting postgraduation status (number),3254,1034,1139,741,340
Definite postdoctoral training plans,48.1,76.9,39,30.5,29.4
Definite employment plans,32.6,13.2,41.6,41.4,42.1
Seeking employment or study,16.8,8.6,16.7,25.6,22.9
Other statusa,2.3,1,2.5,2.4,5.6
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,86.1,84.7,80.6,96.5,98
Other training or unknownc,13.9,15.3,19.4,3.5,2
Definite employment plans (%)d,,,,,
Academe,39.1,30.9,37.1,45.3,39.9
In tenure track faculty position (%),42.5,26.2,44.3,46.8,38.6
Not in tenure track position (%),54.6,64.3,52.3,52.5,59.6
Government,13.4,36,10.8,7.8,12.6
Industry or businesse,30,19.1,29.1,34.9,32.9
Nonprofit organization,9.2,9.6,7.8,9.4,12.6
Other or unknownf,8.4,4.4,15.2,2.6,2.1
Primary activityg,,,,,
Research and development,30,D,18.6,53.4,D
Teaching,22.2,8.7,21,28,25.9
Management or administration,4.1,D,6,2,D
Professional services and other,43.7,80.2,54.4,16.6,33.3
Secondary activityg,,,,,
Research and development,23.4,22.2,22.6,25.7,22.2
Teaching,11.7,15.1,12.8,9.8,8.9
Management or administration,13.8,13.5,15.5,12.5,11.1
Professional services and other,9.3,5.6,7.7,11.1,14.1
No secondary activity,41.8,43.7,41.4,40.9,43.7
Activity unknown,4.8,7.4,4.6,3.6,5.6
Postgraduation location (%)h,,,,,
United Statesi,97.6,D,97.2,95.3,D
Midwest,20,17.6,21.7,21.4,19.8
Northeast,24.5,30.1,18.1,24.2,27.6
South,28.5,23.3,35.9,27.4,23
West,24,27.9,21,21.2,25.9
Outside the United States,2.4,D,2.8,4.7,D
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),37,31.6,40.2,40.5,37.9
Male doctorate recipients reporting postgraduation status (number),757,209,251,231,66
Definite postdoctoral training plans,40,68.9,27.1,30.3,31.8
Definite employment plans,36.7,18.7,50.2,38.1,37.9
Seeking employment or study,20.6,10,21.1,28.1,25.8
Other statusa,2.4,1.4,1.6,3.5,4.5
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,84.5,79.9,76.5,97.1,100
Other training or unknownc,15.5,20.1,23.5,2.9,0
Definite employment plans (%)d,,,,,
Academe,39.2,D,33.3,46.6,D
In tenure track faculty position (%),42.2,D,40.5,48.8,D
Not in tenure track position (%),54.1,35.7,57.1,51.2,75
Government,14,33.3,14.3,D,D
Industry or businesse,32.7,20.5,31.7,38.6,36
Nonprofit organization,7.2,D,7.9,D,D
Other or unknownf,6.8,2.6,12.7,2.3,0
Primary activityg,,,,,
Research and development,28.5,D,19.8,51.2,D
Teaching,23.2,D,18.2,D,25
Management or administration,5.7,D,7.4,D,D
Professional services and other,42.6,73.5,54.5,13.1,41.7
Secondary activityg,,,,,
Research and development,27.8,32.4,26.4,28.6,25
Teaching,12.5,D,D,11.9,D
Management or administration,15.2,D,16.5,15.5,D
Professional services and other,9.5,D,D,13.1,D
No secondary activity,35,35.3,38,31,33.3
Activity unknown,5.4,12.8,4,4.5,4
Postgraduation location (%)h,,,,,
United Statesi,95.9,D,94.8,D,D
Midwest,21,D,20.6,D,D
Northeast,23.8,29,12.9,24.7,45.7
South,27.9,17.5,40.7,26.6,19.6
West,22.7,30.6,20.6,19,13
Outside the United States,4.1,D,5.2,D,D
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),34.4,34.4,31.4,37.3,37
Female doctorate recipients reporting postgraduation status (number),2496,825,888,510,273
Definite postdoctoral training plans,50.6,78.9,42.3,30.6,28.9
Definite employment plans,31.3,11.8,39.2,42.9,42.9
Seeking employment or study,15.7,8.2,15.4,24.5,22.3
Other statusa,2.3,0.8,2.7,2,5.9
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,86.5,85.7,81.4,96.2,97.5
Other training or unknownc,13.5,14.3,18.6,3.8,2.5
Definite employment plans (%)d,,,,,
Academe,38.9,D,38.5,44.7,D
In tenure track faculty position (%),42.4,D,45.5,45.9,D
Not in tenure track position (%),54.9,78.6,50.7,53.1,56.8
Government,13.2,37.1,9.5,D,D
Industry or businesse,29.1,18.6,28.2,33.3,32.5
Nonprofit organization,9.9,D,7.8,D,D
Other or unknownf,9,5.2,16.1,2.7,2.6
Primary activityg,,,,,
Research and development,30.5,D,18.1,54.2,D
Teaching,21.9,D,22.1,D,26.4
Management or administration,3.5,D,5.4,D,D
Professional services and other,44.2,82.6,54.4,17.9,31.8
Secondary activityg,,,,,
Research and development,21.9,18.5,21.1,24.5,21.8
Teaching,11.3,D,D,9,D
Management or administration,13.3,D,15.1,11.3,D
Professional services and other,9.3,D,D,10.4,D
No secondary activity,44.3,46.7,42.6,44.8,46.4
Activity unknown,4.6,5.2,4.9,3.2,6
Postgraduation location (%)h,,,,,
United Statesi,98.1,D,97.8,D,97.4
Midwest,19.7,D,22,D,D
Northeast,24.6,30.3,19.5,24,23
South,28.7,24.7,34.7,27.7,24
West,24.3,27.3,21.1,22.1,29.1
Outside the United States,1.9,D,2.2,D,2.6
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),37.7,30.9,42.5,41.9,38.3
