Table 5-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Research doctorate recipients who ever attended community college, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Demographic characteristic,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
Doctorate recipients reporting community college attendance,21.3,20,26,23,9.4,14.2,21.4,36.1,13.4,17.2,17.3,30.5,19.6,26.7,16,35.5,23.6,17.3,26.5
Sex,,,,,,,,,,,,,,,,,,,
Male,18.9,17.7,29.2,22.8,9.2,13.5,20.3,30.3,13.4,15.2,16.9,33.5,19.3,25.9,16.9,35.4,24.6,18.7,28.2
Female,24,22.9,23.3,23.2,10.1,16,22.8,38.4,13.4,20.4,18.2,29.6,19.8,27.3,14.9,35.5,22.5,16.3,25.5
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,30.8,30.1,38.6,29.4,20.3,27.6,29.7,44.8,26.1,30.1,26.8,33.2,28.3,33.1,28.7,39.3,28,21.2,34.8
Temporary visa holder,3.8,3.5,4.4,4,2.7,3.3,4.2,9.3,1.4,3.9,2.9,5.3,3.3,5.2,4.5,7.5,4.4,4.1,5.5
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,35.1,34.7,26.2,32.3,26.7,32.2,31.6,45.1,37.7,33.8,35,40.9,34,36.5,33.3,42.9,26.6,29.2,41.8
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,67.4,64.4,D,45.5,D,D,D,88.9,-,D,D,D,73.3,72.2,D,71.4,75,D,D
Asian,20.3,20.5,D,20.9,D,20,17.9,30.6,15.2,D,21,D,15.8,19.1,D,28.5,12.1,D,D
Black or African American,37.2,35.6,26.7,30,36.6,D,D,49.8,47.6,42.9,D,37.3,31.7,39.6,39.3,41.4,33.8,27.3,40.3
White,30.8,30.4,41.4,30.2,21.9,27.6,30.5,46.3,26.5,30.3,26.6,31.6,28.2,32,29.8,38.5,27.9,18.8,33.7
More than one race,34.9,32.8,30.8,33.5,28.6,37.4,24.1,30.5,29.3,37.5,27.9,35.3,30.4,44.6,42.9,45.3,45.8,37.5,44.4
Other race or race not reported,33.1,31.7,33.3,28.3,16.7,31.4,50,37.5,27.3,16.7,36.4,35.5,34.2,37.1,37.5,55,24.2,37.5,40
Ethnicity not reported,32.4,33.3,80,36,10,40.9,0,62.5,0,33.3,13.3,36.8,21.1,29.8,40,22.7,35.3,37.5,20
