Table 9-13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Social sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,,,,
(Number and percent),,,,,,,,
Characteristic,All social sciences fields,Anthropology,"Area, ethnic, cultural, gender, and group studies",Economics,Political science and government,Public policy analysis,"Sociology, demography, and population studies","Social sciences, other"
Doctorate recipients reporting postgraduation status (number),4605,349,420,1265,603,388,583,997
Definite postdoctoral training plans,22.4,29.5,23.3,17.6,28.9,16,27.4,21.1
Definite employment plans,53.8,35.8,42.1,68.3,48.6,57.5,53.2,48.5
Seeking employment or study,21.2,31.8,31.2,12.5,20.4,22.9,16.3,27.2
Other statusa,2.6,2.9,3.3,1.6,2.2,3.6,2.9,3
Definite postdoctoral training plans (%)b,,,,,,,,
Postdoc fellowship or research associateship,96.6,97.1,93.9,96.9,96.6,93.5,98.8,96.7
Other training or unknownc,3.4,2.9,6.1,3.1,3.4,6.5,1.3,3.3
Definite employment plans (%)d,,,,,,,,
Academe,53.2,60.8,76.3,43.6,61.4,36.3,65.8,54.3
In tenure track faculty position (%),55.5,38.2,35.6,74.8,56.1,33.3,56.4,48.7
Not in tenure track position (%),42.2,61.8,60.7,23.3,41.7,61.7,42.6,48.3
Government,12.4,7.2,4.5,16.2,9.6,17.5,7.1,12.6
Industry or businesse,20.7,16,5.1,29.9,17.7,15.7,13.5,20
Nonprofit organization,10,11.2,6.8,8.1,8.2,22,11.3,8.9
Other or unknownf,3.8,4.8,7.3,2.2,3.1,8.5,2.3,4.1
Primary activityg,,,,,,,,
Research and development,42.1,D,D,58,35.3,40.6,40,32.3
Teaching,34.7,46.2,61.7,19.6,47.9,15.1,44.3,43.3
Management or administration,3.9,D,D,0.8,2.4,13.7,4.7,4.9
Professional services and other,19.3,21,15.4,21.5,14.3,30.7,11,19.5
Secondary activityg,,,,,,,,
Research and development,33.1,42,45.1,25.9,42,19.8,36.7,37.5
Teaching,14.5,10.1,12.6,19.4,14,11.8,14.7,9
Management or administration,13.8,16.8,9.7,11.8,8,27.4,13.3,15.8
Professional services and other,8.8,5.9,6.3,11.4,7.3,9.9,6,7.9
No secondary activity,29.8,25.2,26.3,31.5,28.7,31.1,29.3,29.8
Activity unknown,3.1,4.8,1.1,2.7,2.4,4.9,3.2,3.5
Postgraduation location (%)h,,,,,,,,
United Statesi,84.1,83.3,89.5,75.6,87.4,93,89.8,86
Midwest,15,12.7,18.5,12.8,13.7,15.8,20.6,14.6
Northeast,22.2,26.8,25.8,19.7,28.1,19.3,25.3,18.6
South,27.9,24.1,18.9,27.1,29.1,38.9,25.1,30.5
