Table 8-8,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Health sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All health sciences fields,Nursing and nursing science,Pharmacy and pharmaceutical sciences,Public health,"Health sciences, other"
All doctorate recipients (number)a,2746,638,442,766,900
Sex (%),,,,,
Male,28.7,10.8,47.7,28.5,32.3
Female,71.3,89.2,52.3,71.5,67.7
Unknown,0,0,0,0,0
Citizenship status (%),,,,,
U.S. citizen or permanent resident,71.1,81,46.2,75.5,72.7
Temporary visa holder,22.7,12.4,47.7,21.5,18.7
Unknown,6.2,6.6,6.1,3,8.7
Marital status (%),,,,,
Never married,25.9,12.5,43.4,30.8,22.7
Married,47.9,60.8,33.7,47.9,45.8
Marriage-like relationship,6.6,3.8,6.3,9.1,6.4
"Separated, divorced, widowed",5.3,11.3,1.6,3.7,4.3
Unknown,14.3,11.6,14.9,8.5,20.8
Has dependent age 18 or younger (%),33.6,46.4,17,31.1,34.6
Has one or more functional limitations (%),12.6,11.3,13.4,12.1,13.8
Age at doctorate (median years),34.8,44.2,30.4,34.2,34.6
Bachelor's in same field as doctorate (%)b,46.4,90.8,40,26,34.4
Master's earned (%),80.9,88.8,50.8,90.9,80.9
Master's earned at same doctorate institution (%),32.1,27.7,34,34.7,32.6
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.4,18,7.7,10.9,11.3
From graduate school start,9,11.3,6.3,8.9,9.9
From doctoral program startc,5,5,5.3,5,5
Received tuition remission (%),72.1,54.9,89.3,76.7,72.2
Male doctorate recipients (number),789,69,211,218,291
Citizenship status (%),,,,,
U.S. citizen or permanent resident,62.6,75.4,45.5,67.9,68
Temporary visa holder,31.1,18.8,49.3,27.1,23.7
Unknown,6.3,5.8,5.2,5,8.2
Marital status (%),,,,,
Never married,31.1,21.7,39.3,35.8,23.7
Married,44.1,59.4,40.3,44.5,43
Marriage-like relationship,7,D,D,6.4,8.2
"Separated, divorced, widowed",2.9,D,D,3.2,3.4
Unknown,15,10.1,12.3,10.1,21.6
Has dependent age 18 or younger (%),29.2,43.5,21.2,27.4,33.3
Has one or more functional limitations (%),11.9,11.9,11,10.7,13.6
Age at doctorate (median years),32.9,42.3,30.8,33.7,33.7
Bachelor's in same field as doctorate (%)b,37.2,84.6,42.2,25.6,30.2
Master's earned (%),74.5,92.3,53.1,89.2,74.3
Master's earned at same doctorate institution (%),32.2,38.3,34.7,37.1,24.2
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,9.9,15.7,8,10.2,10.8
From graduate school start,7.8,9.5,6.2,8.3,9
From doctoral program startc,5,5.5,5.3,4.9,5
Received tuition remission (%),76,62.5,86.2,73.9,73.3
Female doctorate recipients (number),1957,569,231,548,609
Citizenship status (%),,,,,
U.S. citizen or permanent resident,74.6,81.7,46.8,78.5,74.9
Temporary visa holder,19.3,11.6,46.3,19.3,16.3
Unknown,6.1,6.7,6.9,2.2,8.9
Marital status (%),,,,,
Never married,23.9,11.4,47.2,28.8,22.2
Married,49.5,61,27.7,49.3,47.1
Marriage-like relationship,6.4,D,D,10.2,5.6
"Separated, divorced, widowed",6.3,D,D,3.8,4.8
Unknown,14,11.8,17.3,7.8,20.4
Has dependent age 18 or younger (%),35.3,46.8,13,32.5,35.3
Has one or more functional limitations (%),13,11.2,15.7,12.7,13.9
Age at doctorate (median years),35.8,44.3,30.1,34.3,35
Bachelor's in same field as doctorate (%)b,50.1,91.6,37.9,26.2,36.4
Master's earned (%),83.5,88.4,48.5,91.5,84
Master's earned at same doctorate institution (%),32.1,26.3,33.3,33.8,36.2
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,12.2,18.1,7.5,11,12
From graduate school start,9.3,11.5,6.3,9,10
From doctoral program startc,5,5,5,5,5
Received tuition remission (%),70.5,54,92.3,77.9,71.7
