Table 3-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Research doctorate recipients, by detailed field of doctorate, citizenship status, ethnicity, and race: 2023",,,,,,,,,,,
(Number),,,,,,,,,,,
Field of doctorate,All doctorate recipientsa,Temporary visa holders,U.S. citizens and permanent residents,,,,,,,,
,,,Total,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,,,,American Indian or Alaska Native,Asian,Black or African American,White,More than one race,Other race or race not reported,
All fields,57862,19393,35566,3449,115,3828,2725,23057,1296,459,637
Science and engineering,45973,16807,27010,2593,68,3248,1658,17585,1060,344,454
Agricultural sciences and natural resources,1278,454,778,63,2,46,34,578,27,9,19
"Agricultural, animal, plant, and veterinary sciences",856,335,497,32,0,32,25,372,16,7,13
Agronomy and crop science,76,36,38,1,0,2,0,34,0,1,0
Animal sciences,173,59,109,9,0,3,4,86,0,3,4
Food science and technology,178,105,65,2,0,8,7,43,3,0,2
Plant sciences,149,57,90,9,0,8,2,63,4,1,3
Soil sciences,86,18,65,3,0,4,5,48,3,1,1
Veterinary biomedical and clinical sciences,93,28,61,2,0,2,2,54,1,0,0
"Agricultural, animal, plant, and veterinary sciences nec",101,32,69,6,0,5,5,44,5,1,3
Natural resources and conservation,422,119,281,31,2,14,9,206,11,2,6
Environmental science,132,48,79,13,0,3,4,54,2,1,2
Environmental/ natural resources management and policy,63,20,40,5,2,4,1,26,2,0,0
Forestry,69,28,40,2,0,3,3,28,2,0,2
Natural resources conservation and research,81,17,52,4,0,3,1,41,2,0,1
Natural resources and conservation nec,77,6,70,7,0,1,0,57,3,1,1
Biological and biomedical sciences,9724,2352,7004,718,11,908,342,4549,328,74,74
"Biochemistry, biophysics, and molecular biology",1509,426,1031,117,0,139,39,661,53,10,12
Biochemistry,440,118,307,27,0,39,6,207,19,2,7
Biochemistry and molecular biology,311,93,203,25,0,31,15,119,12,0,1
Biophysics,254,82,163,14,0,19,4,120,3,2,1
Molecular biology,268,61,202,25,0,24,5,133,9,3,3
"Biochemistry, biophysics, and molecular biology nec",236,72,156,26,0,26,9,82,10,3,0
"Bioinformatics, biostatistics, and computational biology",735,301,411,21,0,102,19,245,16,7,1
Bioinformatics,181,71,105,7,0,27,5,60,3,3,0
Biostatistics,283,137,132,6,0,35,4,80,6,1,0
Computational biology,151,43,104,4,0,25,2,65,5,3,0
"Bioinformatics, biostatistics, and computational biology nec",120,50,70,4,0,15,8,40,2,0,1
"Biological and biomedical sciences, general",907,216,623,72,0,56,42,417,21,6,9
"Biology/ biological sciences, general",522,132,349,35,0,35,23,239,7,3,7
"Biomedical sciences, general",385,84,274,37,0,21,19,178,14,3,2
Cell/ cellular biology and anatomy,761,182,546,74,0,79,22,343,22,4,2
