Table 8-17,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Visual and performing arts research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,
"(Number, percent, and median years)",,,
Characteristic,All visual and performing arts fields,Performing arts,"Visual arts, media studies, and design"
All doctorate recipients (number)a,824,487,337
Sex (%),,,
Male,43.2,52.8,29.4
Female,56.8,47.2,70.6
Unknown,0,0,0
Citizenship status (%),,,
U.S. citizen or permanent resident,69.8,69.8,69.7
Temporary visa holder,22.5,19.7,26.4
Unknown,7.8,10.5,3.9
Marital status (%),,,
Never married,33.7,33.1,34.7
Married,37.3,34.9,40.7
Marriage-like relationship,11.4,12.7,9.5
"Separated, divorced, widowed",4.1,3.1,5.6
Unknown,13.5,16.2,9.5
Has dependent age 18 or younger (%),16.9,15.9,18.3
Has one or more functional limitations (%),19.5,21.1,17.5
Age at doctorate (median years),34.2,33.3,35
Bachelor's in same field as doctorate (%)b,69.7,73.5,64.4
Master's earned (%),93.8,92.6,95.6
Master's earned at same doctorate institution (%),35.9,32.2,40.9
Time to doctorate (median years),,,
Years since earning bachelor's degree,11.3,10.4,12.3
From graduate school start,9.3,8.8,10.3
From doctoral program startc,6.7,5.8,7.3
Received tuition remission (%),94.7,93.1,96.8
Male doctorate recipients (number),356,257,99
Citizenship status (%),,,
U.S. citizen or permanent resident,71.9,73.2,68.7
Temporary visa holder,19.7,16.3,28.3
Unknown,8.4,10.5,3
Marital status (%),,,
Never married,39,36.2,46.5
Married,32.6,32.3,33.3
Marriage-like relationship,12.6,D,D
"Separated, divorced, widowed",2.2,D,D
Unknown,13.5,16.3,6.1
Has dependent age 18 or younger (%),16.2,16.7,14.9
Has one or more functional limitations (%),19.9,20.6,18.5
Age at doctorate (median years),33.8,33.2,35.2
Bachelor's in same field as doctorate (%)b,71.6,76.3,60.4
Master's earned (%),93.5,93.4,93.8
Master's earned at same doctorate institution (%),34.1,31.9,39.3
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.3,10,11.8
From graduate school start,8.8,8.6,9.9
From doctoral program startc,6.3,5.8,7.3
Received tuition remission (%),94.3,93.6,95.8
Female doctorate recipients (number),468,230,238
Citizenship status (%),,,
U.S. citizen or permanent resident,68.2,66.1,70.2
Temporary visa holder,24.6,23.5,25.6
Unknown,7.3,10.4,4.2
Marital status (%),,,
Never married,29.7,29.6,29.8
Married,40.8,37.8,43.7
Marriage-like relationship,10.5,D,D
"Separated, divorced, widowed",5.6,D,D
Unknown,13.5,16.1,10.9
Has dependent age 18 or younger (%),17.5,15,19.8
Has one or more functional limitations (%),19.3,21.7,17.1
Age at doctorate (median years),34.4,33.3,34.8
Bachelor's in same field as doctorate (%)b,68.2,70.4,66.2
Master's earned (%),94.1,91.6,96.3
Master's earned at same doctorate institution (%),37.3,32.4,41.6
Time to doctorate (median years),,,
Years since earning bachelor's degree,12,11,12.6
From graduate school start,9.8,9.3,10.3
From doctoral program startc,6.8,6,7.3
Received tuition remission (%),94.9,92.5,97.2
