Table 5-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Research doctorate recipients who earned a master's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Demographic characteristic,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
Doctorate recipients reporting master's degree,73.2,68,77.9,44.6,74.7,74.4,68.9,80.9,68.8,76.4,50.3,89,89,93.5,87.8,96.6,91.2,93.8,95.3
Sex,,,,,,,,,,,,,,,,,,,
Male,71.5,67.6,80.6,45,73.4,75.3,72.6,74.5,67.4,74.7,52.2,87.1,87,92.5,87.9,96,90.9,93.5,95.3
Female,75,68.5,75.6,44.3,78.9,71.7,64.3,83.5,72.3,79.2,46.5,89.6,90.8,94.2,87.7,96.8,91.5,94.1,95.3
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,70.4,62.9,73.6,37.4,73.9,67,63.6,81.2,62.3,74.7,42.7,90.1,88.2,94.6,86.5,97.7,91.8,94.8,95.9
Temporary visa holder,79.9,77.6,87.1,67.3,76.2,81.4,80.8,83.3,75.4,79.8,62.6,91.7,91.9,94.8,90.4,98.3,94.6,96.6,97.6
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,70.4,62.6,75.4,33.1,75.6,71,68.4,80.4,68.9,74.6,43.8,87.3,89.2,94.8,D,97.9,92.1,D,93.4
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,84.2,D,D,D,D,D,D,D,-,D,D,88.9,D,D,D,95.2,100,D,D
Asian,67.6,D,77.8,D,70.9,D,D,D,D,D,D,91.8,D,D,D,96,92.7,97.4,94.5
Black or African American,85.4,77.5,D,41.9,D,75.5,66.7,90.6,D,89.3,52.2,94.3,93.7,97.7,D,D,91.7,100,98.2
White,69.4,61.7,72.6,36.8,74.1,65.3,62.6,80,62.8,72.5,42.1,89.8,87.6,94.3,85.6,97.6,91.8,94.6,95.7
More than one race,63.8,57.3,63,31.5,57.1,61.5,55.2,83.1,68.3,75,31.5,93.5,86.3,93.5,D,D,87.5,D,D
Other race or race not reported,69.6,62.3,100,37.7,75,63.9,75,75,63.6,66.7,38.2,80.6,92.1,90,66.7,90,90.9,87.5,100
Ethnicity not reported,76.4,70.1,100,42.9,66.7,72.7,50,87.5,20,70,75,85.7,80,92.1,83.3,100,90,88.9,83.3
Master's degree in the same field as doctorate,55.4,52.2,52.7,30.8,48.2,64.3,49.4,61,61.5,25.3,42.7,73.8,66.8,67.9,61.3,62.1,78.7,80.4,62
Sex,,,,,,,,,,,,,,,,,,,
Male,55.3,52.5,54.5,30,47.9,65.9,50.1,49.9,60.3,24.9,44.4,69.4,68.7,70.1,62.3,62.2,80.1,85.2,61.4
Female,55.5,51.9,51.3,31.4,49,59.8,48.6,65.4,64.5,26,39.3,75.2,65,66.5,60.1,62.1,77.2,76.8,62.5
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,53.6,48.7,49.4,26.1,48.8,59.4,48.1,62.7,56.8,26.5,38.2,75.5,63.6,69.2,60.1,63.1,80.6,81.9,62
Temporary visa holder,60.6,59.4,59.9,45.9,48.5,69.7,53.3,59,66.9,24.8,50.4,71.9,74.8,68.6,63.7,63.4,76.7,82.2,65.8
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,53.6,49,50.8,24.7,53.3,64.5,47.4,55.6,62.3,23.9,38.4,73.8,65.7,67.8,61.1,61.6,78.4,81.3,61
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,52.6,D,0,0,D,D,D,D,-,0,D,66.7,D,D,D,42.9,75,D,D
Asian,50,D,48.9,30.5,45.1,59.5,D,D,D,27.1,D,77.5,D,D,D,54.6,78.2,86.8,64.2
Black or African American,57.6,53.4,38.7,30,D,D,33.3,71.7,D,30.4,46.7,69.5,50.2,64.1,D,D,72.2,90.9,58.6
White,54.2,48.9,50.3,25.7,51.2,58.9,49.2,63.6,58.7,26.9,37.7,76.5,65.9,71.3,63.7,63.7,82.3,82.2,63.4
More than one race,48,42.9,33.3,20.4,38.1,55.2,34.5,59.3,58.5,25,28.8,76.3,57.8,71.1,73.3,D,77.8,D,D
Other race or race not reported,50.3,44.8,100,26.2,41.7,52.8,25,43.8,45.5,16.7,32.4,71,60.5,65.6,55.6,80,69.7,62.5,50
Ethnicity not reported,45.2,43.6,80,21.4,16.7,50,0,68.8,20,10,60,71.4,40,49.2,50,45.5,60,66.7,0
