Table 7-10,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Research doctorate recipients, by state or location of doctorate institution and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,
(Number),,,,,,,,,,,,,,,,,,,
State or location,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
United Statesa,57862,45973,1278,9724,2297,10724,1216,2746,2056,1704,5443,3793,4992,11889,1510,3988,3358,824,2209
Alabama,762,609,16,131,28,169,13,48,21,24,69,68,22,153,33,69,12,2,37
Alaska,35,32,3,4,0,1,9,0,2,0,4,4,5,3,0,2,1,0,0
Arizona,1044,826,21,132,40,203,40,44,33,27,119,49,118,218,29,71,45,38,35
Arkansas,219,176,19,42,11,34,5,6,7,5,25,10,12,43,13,12,5,0,13
California,6775,5703,92,1218,309,1217,188,170,248,249,760,511,741,1072,110,261,361,134,206
Colorado,1149,938,26,194,36,221,61,38,42,28,141,86,65,211,21,92,25,26,47
Connecticut,799,659,11,193,13,107,12,32,37,17,101,42,94,140,22,15,64,17,22
Delaware,261,237,8,33,9,97,5,7,12,8,21,9,28,24,1,0,12,4,7
District of Columbia,521,374,0,90,12,46,0,32,8,8,35,48,95,147,10,33,72,1,31
Florida,2426,1832,78,348,101,430,59,124,74,71,223,161,163,594,81,243,92,65,113
Georgia,1599,1273,54,303,71,334,19,73,46,53,118,83,119,326,62,100,102,10,52
Hawaii,164,112,4,16,1,9,15,7,7,4,12,11,26,52,5,26,13,4,4
Idaho,137,115,12,26,12,24,10,8,3,4,6,6,4,22,0,17,2,0,3
Illinois,2478,1908,38,338,121,454,21,90,117,57,233,181,258,570,82,119,224,59,86
Indiana,1656,1318,31,227,82,394,29,34,76,52,187,79,127,338,33,114,111,22,58
Iowa,741,609,42,141,26,154,7,35,44,15,69,35,41,132,37,58,13,7,17
Kansas,553,418,27,86,11,89,6,22,26,16,39,46,50,135,13,53,22,4,43
Kentucky,499,352,7,99,13,58,2,43,15,11,39,26,39,147,12,53,63,3,16
Louisiana,630,462,30,112,17,98,11,27,18,14,40,24,71,168,20,44,70,12,22
Maine,65,53,6,8,2,11,7,0,0,0,7,6,6,12,0,8,1,1,2
Maryland,1463,1225,27,308,118,280,26,99,54,42,123,40,108,238,33,68,70,10,57
