Table 5-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Research doctorate recipients who earned a bachelor's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Demographic characteristic,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
Doctorate recipients reporting bachelor's degree,98.3,98.3,97.1,98.2,98.5,98.7,98.3,96.3,98.8,98.1,98.7,98.2,98.8,98.2,98.3,98.2,98.2,98.3,98.3
Bachelor's degree in the same field as doctorate,60.6,64.3,48.4,64.2,38.8,78.4,49.8,46.4,80.6,14,77.2,70.9,55.2,46,42.3,25.7,71.3,69.7,38
Sex,,,,,,,,,,,,,,,,,,,
Male,63.4,66,50.8,62.3,39.7,80.1,50.6,37.2,80.5,14.5,77.6,66,58.9,49.2,41.7,22.8,71.1,71.6,36.7
Female,57.6,62.3,46.4,65.7,35.7,73.5,49,50.1,80.7,13.2,76.5,72.4,51.7,43.8,42.9,26.7,71.6,68.2,38.8
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,61.3,66.2,46,68.7,46.1,80,51.1,43.5,84.6,12.9,80.6,73.1,55.3,45.8,40.9,25,73.6,73.1,35.8
Temporary visa holder,61.5,63.2,53.8,52.6,35.1,78.9,48.9,57.7,78.8,15.3,73.3,62.7,56.6,50.2,44.5,34.7,67.5,64.9,46.1
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,61.7,68.6,39.3,72.6,44.4,83.5,50.9,31.4,86.9,16.9,81.1,78.3,59,40.1,52.8,17.4,66,70.8,35.3
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,49.5,59.3,0,81.8,0,D,D,D,-,0,D,77.8,46.7,33.3,0,D,62.5,D,0
Asian,60,64,48.9,64.1,40.7,78.6,46.4,D,79.5,15.9,D,70.3,50.5,37.7,35,D,D,68.4,27.5
Black or African American,48.1,59.1,35.5,D,42.9,D,D,49.8,81,D,79.3,66,44.6,31.1,27.9,D,D,D,33
White,63.1,67,47.7,68.8,48.1,80,51.6,45.1,86,13,80.7,73.6,57.4,50.4,43.9,27.9,76.3,74.6,37.9
More than one race,64.6,68,37,D,57.1,82.2,41.4,35.6,82.9,D,79.3,75.5,52.9,49.4,46.7,25,76.4,81.3,38.9
Other race or race not reported,61.2,65.6,66.7,70.5,50,80.6,50,43.8,72.7,0,74.3,74.2,52.6,48.9,33.3,30,63.6,87.5,35
Ethnicity not reported,45.9,51,40,60.7,50,59.1,100,37.5,60,10,68.8,57.1,35,33.3,33.3,13.6,55,55.6,0
