Table 8-13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Social sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2023",,,,,,,,
(Number and percent),,,,,,,,
Characteristic,All social sciences fields,Anthropology,"Area, ethnic, cultural, gender, and group studies",Economics,Political science and government,Public policy analysis,"Sociology, demography, and population studies","Social sciences, other"
All doctorate recipients (number)a,4992,379,452,1393,665,407,627,1069
Sex (%),,,,,,,,
Male,48.7,35.4,34.3,65.1,57.7,39.6,38.3,42.2
Female,51.2,64.6,65.5,34.8,42.3,60.4,61.7,57.8
Unknown,*,0,0.2,0.1,0,0,0,0
Citizenship status (%),,,,,,,,
U.S. citizen or permanent resident,61.4,78.1,69.9,35.1,65.9,77.4,78.8,67.1
Temporary visa holder,34.4,17.4,23.9,60.4,29.5,18.9,18,29.5
Unknown,4.2,4.5,6.2,4.5,4.7,3.7,3.2,3.5
Marital status (%),,,,,,,,
Never married,34.5,31.7,35,40.9,34.9,26.8,30.6,31.7
Married,40.9,39.6,37.4,36.5,40.8,49.1,42.3,44.6
Marriage-like relationship,10.8,14.2,12.2,9,10.1,9.3,14.5,10
"Separated, divorced, widowed",4.2,5,6.6,2,3.5,6.4,4.6,5.2
Unknown,9.7,9.5,8.8,11.6,10.8,8.4,8,8.4
Has dependent age 18 or younger (%),21.6,19.5,20.9,15.9,22,34.7,20.6,25.1
Has one or more functional limitations (%),15.8,19.5,24.8,9.2,15.6,12.8,19.9,17.9
Age at doctorate (median years),33.1,34,34.2,31.8,32.4,37,33.6,34.3
Bachelor's in same field as doctorate (%)b,55.2,62.2,30.3,63.7,69.4,38.2,66.3,44
Master's earned (%),89,89.8,90.7,84.1,86.8,92.4,93.1,91.8
Master's earned at same doctorate institution (%),46.2,53.8,45.9,40.9,56,37,62.5,38.4
Time to doctorate (median years),,,,,,,,
Years since earning bachelor's degree,10.2,11,11.1,9,9.6,13.5,10.3,11
From graduate school start,8.7,9,9,7.8,8,10.8,8.7,9
From doctoral program startc,6,7,6.8,5.8,6,5.7,6.8,6
Received tuition remission (%),89.6,93.7,91.7,93.1,95,66.8,92.1,86.8
Male doctorate recipients (number),2432,134,155,907,384,161,240,451
Citizenship status (%),,,,,,,,
U.S. citizen or permanent resident,56.2,75.4,64.5,36.9,65.1,70.2,71.7,65.4
Temporary visa holder,39.5,17.2,31.6,58.2,30.5,26.7,24.2,31.7
Unknown,4.3,7.5,3.9,4.9,4.4,3.1,4.2,2.9
Marital status (%),,,,,,,,
Never married,35.4,25.4,41.3,41.5,35.4,23.6,28.3,32.4
Married,42.1,47,38.7,36.2,42.2,53.4,45.4,48.1
Marriage-like relationship,9.3,10.4,9.7,8,10.2,10.6,12.9,8.2
"Separated, divorced, widowed",3.2,6,5.2,2.3,1.8,5.6,4.2,3.3
Unknown,9.9,11.2,5.2,12,10.4,6.8,9.2,8
Has dependent age 18 or younger (%),21.7,23.5,17.6,17.1,22.4,35.6,20.5,26.7
Has one or more functional limitations (%),14,16,20.3,9.1,14.6,15.4,18.8,17
Age at doctorate (median years),33.1,34.3,34.3,31.8,32.6,37.8,34.7,34.5
Bachelor's in same field as doctorate (%)b,58.9,63.9,30.9,64.8,70.7,39.7,62.7,51.3
Master's earned (%),87,89.3,91.3,83.4,84.9,93.6,92.4,88.5
Master's earned at same doctorate institution (%),43.6,47.2,44.4,39.6,54.4,32.2,58,37.4
Time to doctorate (median years),,,,,,,,
Years since earning bachelor's degree,10,11.2,11,9,9.8,13.9,10.3,11
From graduate school start,8.3,9,8.9,7.8,8,10.9,8.9,8.9
From doctoral program startc,5.9,6.8,6.9,5.8,6,5.3,7,6.1
Received tuition remission (%),89.2,90.9,94,93.4,94.6,60.1,90.5,84.3
Female doctorate recipients (number),2558,245,296,485,281,246,387,618
Citizenship status (%),,,,,,,,
U.S. citizen or permanent resident,66.4,79.6,72.6,31.8,66.9,82.1,83.2,68.3
Temporary visa holder,29.5,17.6,19.9,64.5,28.1,13.8,14.2,27.8
Unknown,4.1,2.9,7.4,3.7,5,4.1,2.6,3.9
Marital status (%),,,,,,,,
Never married,33.5,35.1,31.4,40,34.2,28.9,32,31.2
Married,39.7,35.5,36.8,37.3,38.8,46.3,40.3,42.1
Marriage-like relationship,12.2,16.3,13.5,10.7,10,8.5,15.5,11.3
"Separated, divorced, widowed",5.2,4.5,7.4,1.4,5.7,6.9,4.9,6.6
Unknown,9.4,8.6,10.8,10.5,11.4,9.3,7.2,8.7
Has dependent age 18 or younger (%),21.4,17.3,22.8,13.8,21.3,34.1,20.6,23.8
Has one or more functional limitations (%),17.5,21.4,27,9.3,17.1,11.1,20.5,18.6
Age at doctorate (median years),33,33.6,34.1,31.7,31.9,36.2,32.8,34
Bachelor's in same field as doctorate (%)b,51.7,61.3,30.1,61.9,67.7,37.1,68.6,38.6
Master's earned (%),90.8,90,90.3,85.5,89.3,91.6,93.4,94.2
Master's earned at same doctorate institution (%),48.6,57.3,46.4,43,58,40.3,65.2,39.1
Time to doctorate (median years),,,,,,,,
Years since earning bachelor's degree,10.3,11,11.2,9.2,9.3,13,10.2,11
From graduate school start,8.8,8.9,9.3,7.9,7.9,10.8,8.1,9.1
From doctoral program startc,6,7.1,6.8,5.8,6,5.8,6.8,6
Received tuition remission (%),90,95.2,90.7,92.4,95.7,71.2,93.1,88.7
