Table 4-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Research doctorate recipients' sources of financial support, by broad field of doctorate and sex: 2023",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Sex and financial resource,All fields,Science and engineering,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
All doctorate recipients reporting source of support (number),51181,40949,1118,8849,1998,9484,1108,2367,1850,1527,4901,3194,4553,10232,1290,3428,2893,720,1901
Fellowship or scholarship,67,66.6,67.3,72.1,54.8,61.8,74.6,59.8,63.8,64.9,62.6,62.7,80.8,68.9,72.6,51.1,83.7,88.8,68.5
Dissertation grant,18.3,16.1,18.2,15,6.8,8.9,17.5,21,7.4,13.8,8.5,23.6,41.2,27.2,17.2,14.8,40.8,41.9,30.1
Assistantship,,,,,,,,,,,,,,,,,,,
Teaching,68.5,69.3,53,56.2,76.3,65.4,78,46.3,92.6,70.7,88.4,70,82.8,65.5,70.8,38.3,86.2,89.6,70.1
Research,68.4,74.2,81.2,66.6,84.2,85,86.6,52.3,64.4,78,88.7,61.7,64.8,45.1,65,37.1,39.3,35.3,58.4
Other,8.3,7,7.5,4.1,4.7,5,8,7.2,5.7,6.3,4.1,20.5,11.6,13.6,8.2,14.4,14.8,14.9,13.4
Traineeship,4,4.8,2,11.5,1.5,2.6,1.5,6.5,1.6,2.5,2,6.7,2.3,0.8,0.5,0.6,1,1,1.2
Internship or clinical residency,12.2,14.3,5.6,4.6,40.8,18.3,10.7,6,19.8,24.6,6.5,39.6,5.5,3.8,3.9,2.7,3.9,6.3,4.5
Loan (any source),20.4,16.9,17.5,14.6,8.8,9.8,11.7,36.2,7.3,13.3,9.3,45.1,24.7,34.4,18.2,45,29.5,32.1,34.7
Personal sources,,,,,,,,,,,,,,,,,,,
Savings,53.5,51,54,52.6,46.6,44,49.5,61.7,44.5,51.2,40.6,67.7,60.4,63.7,62.8,67,60.1,64.6,63.6
Other earnings during graduate school,29.9,25,29.6,23,17.6,15.8,24,45.7,19.7,23.2,14.3,46.5,39.2,49.5,24.6,59.1,50,57.1,45.5
"Spouse's, partner's, or family's earnings or savings",40.5,38.7,34.7,41,32.4,33.3,36.7,45.8,33,36.2,30.9,57.7,44.4,47.8,48.2,46.2,49.3,50.7,47
Employer reimbursement or assistance,10.2,8.6,10.5,7.6,10.4,7.3,9.9,21.5,7.3,9.2,5.8,8.4,8.5,16.7,12.2,27.7,9.9,6,14.3
Foreign (non-U.S.) support,4.5,4.3,6.4,3.2,5.5,5.5,5.4,5.2,4.1,5.1,3,1.2,5.9,5,5.7,3.9,4.8,6.9,6.1
Other ,1.1,1,1.2,0.9,1.2,0.5,1.1,2,0.6,1.2,0.6,1.8,1.2,1.5,1.6,1.7,1.3,1.8,1.6
Male doctorate recipients reporting source of support (number),26872,22714,498,4011,1502,6976,610,678,1325,951,3227,734,2202,4158,711,920,1470,312,745
