Table 9-9,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Mathematics and statistics research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,
(Number and percent),,,,
Characteristic,All mathematics and statistics fields,Applied mathematics,Mathematics,Statistics
Doctorate recipients reporting postgraduation status (number),1881,469,782,630
Definite postdoctoral training plans,33.4,35.4,43.7,19.2
Definite employment plans,44.1,41.2,30.2,63.7
Seeking employment or study,20.4,20.5,23.9,16
Other statusa,1.9,2.8,2,1
Definite postdoctoral training plans (%)b,,,,
Postdoc fellowship or research associateship,97,96.4,97.4,96.7
Other training or unknownc,3,3.6,2.6,3.3
Definite employment plans (%)d,,,,
Academe,29.4,22.3,51.3,20
In tenure track faculty position (%),43.4,41.9,35.5,56.3
Not in tenure track position (%),53.7,51.2,63.6,40
Government,5.2,D,D,4.2
Industry or businesse,60.8,66.3,40.3,70.3
Nonprofit organization,2.4,D,D,3.2
Other or unknownf,2.2,2.6,1.7,2.2
Primary activityg,,,,
Research and development,51.4,51.6,35.4,60.5
Teaching,D,19.4,D,D
Management or administration,D,0,D,D
Professional services and other,23.4,29,14.6,25.9
Secondary activityg,,,,
Research and development,24.8,23.7,31.9,21.3
Teaching,3.6,D,D,4.4
Management or administration,5,D,D,5.4
Professional services and other,11.1,10.2,8.8,12.8
No secondary activity,55.5,59.1,51.3,56.2
Activity unknown,3.4,3.6,4.2,2.7
Postgraduation location (%)h,,,,
United Statesi,87.9,91.9,82.5,91.2
Midwest,14.7,12.3,17.8,12.8
Northeast,23.3,22.8,21.3,25.9
South,23.7,25.9,21.6,24.5
West,25.7,30.1,21.5,27.4
Outside the United States,12,8.1,17.5,8.6
Location unknown,0.1,0,0,0.2
Postgraduation location in same state as doctorate institution (%),26.1,31.2,21.8,27.4
Male doctorate recipients reporting postgraduation status (number),1351,326,618,407
Definite postdoctoral training plans,35.4,34.4,45,21.6
Definite employment plans,40.9,42,27.2,60.7
Seeking employment or study,22,21.5,25.4,17.2
Other statusa,1.6,1.8,2.3,0.5
Definite postdoctoral training plans (%)b,,,,
Postdoc fellowship or research associateship,96.4,94.6,97.1,96.6
Other training or unknownc,3.6,5.4,2.9,3.4
Definite employment plans (%)d,,,,
Academe,28.3,16.8,D,D
In tenure track faculty position (%),39.7,30.4,D,D
Not in tenure track position (%),58.3,69.6,63.9,44
Government,5.8,D,D,4
Industry or businesse,61.4,71.5,40.5,70
Nonprofit organization,2,D,D,D
Other or unknownf,2.5,2.9,1.8,2.8
Primary activityg,,,,
Research and development,55,57.9,38.5,64.4
Teaching,D,14.3,47.8,D
Management or administration,D,0,0,D
Professional services and other,21.2,27.8,13.7,22.6
Secondary activityg,,,,
Research and development,22.7,D,D,18.4
Teaching,3.9,D,3.7,D
Management or administration,5.6,5.3,D,D
Professional services and other,12,10.5,9.3,14.6
No secondary activity,55.7,60.9,50.9,56.1
Activity unknown,3.4,2.9,4.2,3.2
Postgraduation location (%)h,,,,
United Statesi,86.4,91.2,80,91.3
Midwest,14.4,13.3,16.1,12.8
Northeast,22.6,20.5,22.9,23.9
South,22.6,24.9,19.5,25.1
West,26.1,31.7,21.1,28.7
Outside the United States,13.5,8.8,20,8.4
Location unknown,0.1,0,0,0.3
Postgraduation location in same state as doctorate institution (%),25.8,32.5,20.2,28.4
Female doctorate recipients reporting postgraduation status (number),529,143,163,223
Definite postdoctoral training plans,28.4,37.8,38.7,14.8
Definite employment plans,52.6,39.2,41.7,69.1
Seeking employment or study,16.4,18.2,18.4,13.9
Other statusa,2.5,4.9,1.2,1.8
Definite postdoctoral training plans (%)b,,,,
Postdoc fellowship or research associateship,98.7,D,98.4,97
Other training or unknownc,1.3,D,1.6,3
Definite employment plans (%)d,,,,
Academe,31.7,35.7,D,D
In tenure track faculty position (%),50,55,D,D
Not in tenure track position (%),45.5,30,63.2,33.3
Government,4,D,D,4.5
Industry or businesse,59.7,53.6,39.7,70.8
Nonprofit organization,3.2,D,0,D
Other or unknownf,1.4,1.8,1.5,1.3
Primary activityg,,,,
Research and development,44.2,35.8,27.7,54.3
Teaching,D,32.1,D,14.6
Management or administration,D,0,D,0
Professional services and other,27.9,32.1,16.9,31.1
Secondary activityg,,,,
Research and development,29,D,D,25.8
Teaching,3,D,D,D
Management or administration,3.7,D,D,D
Professional services and other,9.3,9.4,7.7,9.9
No secondary activity,55,54.7,52.3,56.3
Activity unknown,3.2,5.4,4.4,1.9
Postgraduation location (%)h,,,,
United Statesi,91.8,93.6,91.6,90.9
Midwest,15.4,10,23.7,12.8
Northeast,25,28.2,16,29.4
South,26.4,28.2,29,23.5
West,24.8,26.4,22.9,25.1
Outside the United States,8.2,6.4,8.4,9.1
Location unknown,0,0,0,0
Postgraduation location in same state as doctorate institution (%),26.9,28.2,27.5,25.7
