Table 8-9,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Mathematics and statistics research doctorate recipients, statistical profiles by sex and major field of doctorate: 2023",,,,
"(Number, percent, and median years)",,,,
Characteristic,All mathematics and statistics fields,Applied mathematics,Mathematics,Statistics
All doctorate recipients (number)a,2056,490,890,676
Sex (%),,,,
Male,72,69.8,79,64.3
Female,28,30.2,20.9,35.7
Unknown,*,0,0.1,0
Citizenship status (%),,,,
U.S. citizen or permanent resident,45.2,49,55.6,28.7
Temporary visa holder,51,48.8,39.4,67.9
Unknown,3.8,2.2,4.9,3.4
Marital status (%),,,,
Never married,54,56.3,53.1,53.6
Married,24.9,26.1,21.3,28.7
Marriage-like relationship,9,8.8,9.7,8.3
"Separated, divorced, widowed",1.5,1.6,1.5,1.3
Unknown,10.6,7.1,14.4,8.1
Has dependent age 18 or younger (%),9.4,12.7,5.9,11.3
Has one or more functional limitations (%),11.1,10,12.4,10.5
Age at doctorate (median years),29.2,29.5,28.8,29.6
Bachelor's in same field as doctorate (%)b,80.6,78.9,87,73.7
Master's earned (%),68.8,71.4,63.1,74
Master's earned at same doctorate institution (%),53.2,56.5,54.1,49.8
Time to doctorate (median years),,,,
Years since earning bachelor's degree,7,7,6.3,7.3
From graduate school start,6,6.3,5.9,6.1
From doctoral program startc,5.3,5.3,5.8,5
Received tuition remission (%),93.8,91.6,95.4,93.5
Male doctorate recipients (number),1480,342,703,435
Citizenship status (%),,,,
U.S. citizen or permanent resident,46.8,50,54.6,31.5
Temporary visa holder,48.9,47.1,39.8,64.8
Unknown,4.4,2.9,5.5,3.7
Marital status (%),,,,
Never married,56.6,60.5,56,54.5
Married,23,22.8,20.5,27.1
Marriage-like relationship,8.2,D,8,D
"Separated, divorced, widowed",1.1,D,1,D
Unknown,11.1,7.9,14.5,8
Has dependent age 18 or younger (%),7.9,9.8,4.8,11.1
Has one or more functional limitations (%),10,9.6,10.9,9
Age at doctorate (median years),29.2,29.4,28.7,29.6
Bachelor's in same field as doctorate (%)b,80.5,78.5,86.3,73.2
Master's earned (%),67.4,69.2,62.5,73.4
Master's earned at same doctorate institution (%),51.3,51.3,53.1,49
Time to doctorate (median years),,,,
Years since earning bachelor's degree,6.8,6.9,6.3,7.2
From graduate school start,6,6.3,5.9,6.1
From doctoral program startc,5.3,5.3,5.8,5
Received tuition remission (%),93.9,91.7,94.8,94.4
Female doctorate recipients (number),575,148,186,241
Citizenship status (%),,,,
U.S. citizen or permanent resident,41.2,46.6,59.7,23.7
Temporary visa holder,56.5,52.7,37.6,73.4
Unknown,2.3,0.7,2.7,2.9
Marital status (%),,,,
Never married,47.5,46.6,42.5,51.9
Married,29.7,33.8,24.2,31.5
Marriage-like relationship,11.1,D,16.1,D
"Separated, divorced, widowed",2.3,D,3.2,D
Unknown,9.4,5.4,14,8.3
Has dependent age 18 or younger (%),13.3,19.3,10,11.8
Has one or more functional limitations (%),14,10.8,17.7,13.4
Age at doctorate (median years),29.4,29.6,29,29.7
Bachelor's in same field as doctorate (%)b,80.7,79.9,89.8,74.7
Master's earned (%),72.3,76.4,65.1,75.1
Master's earned at same doctorate institution (%),57.8,67.3,58.3,51.2
Time to doctorate (median years),,,,
Years since earning bachelor's degree,7.2,7.3,7,7.4
From graduate school start,6.1,6.3,6,6.3
From doctoral program startc,5.3,5.3,5.8,5
Received tuition remission (%),93.5,91.5,97.5,92
