Table 9-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Non-science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2023",,,,,,,
(Number and percent),,,,,,,
Characteristic,All fields,Non-science and engineering,,,,,
,,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
Doctorate recipients reporting postgraduation status (number),52109,10438,1303,3515,2950,726,1944
Definite postdoctoral training plans,26.9,11.1,8,6.5,16.7,10.2,13.3
Definite employment plans,46.6,61.3,77.6,69.3,49.9,49.6,57.8
Seeking employment or study,23.5,24.6,11.8,21.6,29.9,36.4,26.2
Other statusa,2.8,2.8,2.5,2.6,3.2,3.4,2.7
Definite postdoctoral training plans (%)b,,,,,,,
Postdoc fellowship or research associateship,94.5,94.1,91.3,93,95.5,95.9,93.1
Other training or unknownc,5.5,5.9,8.7,7,4.5,4.1,6.9
Definite employment plans (%)d,,,,,,,
Academe,35.8,62.1,77.6,51.8,67.2,70,61
In tenure track faculty position (%),44.5,45.1,84.2,27.8,33.3,30.2,54.7
Not in tenure track position (%),53,53.1,14.9,69.6,64.5,68.3,44.1
Government,7,4.8,D,4.4,3.9,D,9.2
Industry or businesse,45.1,11,14.2,9,8.7,12.5,15.1
Nonprofit organization,6.4,8,D,7.6,11.5,D,8.8
Other or unknownf,5.6,14.1,2.4,27.3,8.6,6.7,5.9
Primary activityg,,,,,,,
Research and development,47.5,19,43.8,11.7,10.4,10.2,26.1
Teaching,24.9,48.4,39.6,42.5,63.9,62.9,44.2
Management or administration,5.3,12.7,4.3,23.3,5.8,8.8,7.8
Professional services and other,22.3,19.9,12.3,22.5,19.9,18.1,21.9
Secondary activityg,,,,,,,
Research and development,23.4,33.2,40.4,24.4,37.8,38.6,37.9
Teaching,8.8,16.1,31.6,13.9,10.4,9.1,16.1
Management or administration,13.7,12,6.1,15.5,9.8,9.4,13.2
Professional services and other,9.6,7,3,9.1,6.4,7.6,6.8
No secondary activity,44.5,31.8,18.9,37,35.6,35.4,26
Activity unknown,3.7,4.2,2.8,4.5,4,5,5
Postgraduation location (%)h,,,,,,,
United Statesi,92,91.1,84.1,95.6,89.5,89.4,90.8
Midwest,16.1,19.8,17.3,22.6,18.9,19.1,17.7
Northeast,22,18.8,16.3,15,22.8,27.9,19.3
South,27.3,34.6,33.5,39.6,30.8,23,34.7
West,26.1,17.3,16.6,17.8,16.2,18.9,17.8
Outside the United States,7.9,8.8,15.7,4.3,10.3,10.6,9
Location unknown,0.1,0.1,0.2,0.1,0.2,0,0.1
Postgraduation location in same state as doctorate institution (%),38.7,43.8,18.2,61.8,39.3,40.6,36.8
Male doctorate recipients reporting postgraduation status (number),27420,4245,715,955,1501,313,761
Definite postdoctoral training plans,26.8,11.8,7.6,6.6,17.7,8.6,12.2
Definite employment plans,47.1,60.7,77.5,70.4,49.4,49.2,59.8
Seeking employment or study,23.3,24.6,12,20.2,30.6,37.1,25.1
Other statusa,2.7,2.7,2.8,2.8,2.2,4.5,2.9
Definite postdoctoral training plans (%)b,,,,,,,
Postdoc fellowship or research associateship,95.3,95.2,90.7,96.8,97,96.3,91.4
Other training or unknownc,4.7,4.8,9.3,3.2,3,3.7,8.6
Definite employment plans (%)d,,,,,,,
Academe,29.7,62.5,75.3,51.8,62.5,68.2,60.9
In tenure track faculty position (%),46.4,47.6,85.6,24.1,31,24.8,56.3
Not in tenure track position (%),50.8,50.6,13.7,72.7,67,74.3,41.9
Government,7,5.5,D,5.2,5,D,9.5
Industry or businesse,54.2,11.8,15.5,8,8.8,16.2,16.5
Nonprofit organization,4.9,8,D,7.3,13.3,D,7.3
Other or unknownf,4.2,12.1,2,27.7,10.4,7.1,5.9
Primary activityg,,,,,,,
Research and development,55.2,20.8,45.6,12,9.6,10.2,24.6
Teaching,20,48.5,36.8,37.9,64.6,67.3,46.2
Management or administration,3.7,11.1,3.7,27.1,4.5,7.5,8.6
