Table 9-6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,,,,,,,
(Number and percent),,,,,,,,,,,
Characteristic,All engineering fields,"Aerospace, aeronautical, astronautical, and space engineering","Biological, biomedical, and biosystems engineering",Chemical and petroleum engineering,"Civil, environmental, and transportation engineering",Electrical and computer engineering,Engineering technologies,Industrial engineering and operations research,Materials and mining engineering,Mechanical engineering,"Engineering, other"
Doctorate recipients reporting postgraduation status (number),9654,522,1207,1136,1151,1910,381,563,821,1385,578
Definite postdoctoral training plans,22.2,20.3,30.3,21.6,26.4,14.2,21,14.2,27,23,25.1
Definite employment plans,51.1,58,35.5,51.4,45.1,63.2,49.6,61.6,48.1,49.3,48.8
Seeking employment or study,24.6,20.3,30,25.4,25.8,21.2,26.8,22.6,23.3,25.9,24.4
Other statusa,2,1.3,4.1,1.7,2.6,1.4,2.6,1.6,1.6,1.7,1.7
Definite postdoctoral training plans (%)b,,,,,,,,,,,
Postdoc fellowship or research associateship,95.9,100,92.3,98.8,97.7,93,97.5,90,98.2,96.9,95.9
Other training or unknownc,4.1,0,7.7,1.2,2.3,7,2.5,10,1.8,3.1,4.1
Definite employment plans (%)d,,,,,,,,,,,
Academe,11.8,D,10.3,5.3,17.7,9.4,D,22.5,4.8,12.7,16
In tenure track faculty position (%),43.9,36.2,11.4,45.2,43.5,65.8,D,51.3,D,37.9,35.6
Not in tenure track position (%),52.8,D,88.6,51.6,51.1,32.5,54.2,43.6,D,59.8,57.8
Government,6.5,17.8,3,2.7,10.4,4.4,4.2,8.1,6.6,5,12.1
Industry or businesse,76.9,57.8,81.6,89.6,66.5,81.7,80.4,64.3,85.3,76.3,65.6
Nonprofit organization,3.3,D,3.7,1.4,3.3,3,D,4.3,1.8,4.1,5
Other or unknownf,1.5,2.3,1.4,1,2.1,1.5,0.5,0.9,1.5,1.9,1.4
Primary activityg,,,,,,,,,,,
Research and development,67.2,74.7,68.1,75.3,32.3,76.1,63.4,54.3,75.7,71.5,63.8
Teaching,6.7,D,3.1,3.2,12.5,5.8,6.5,14.5,D,D,8.1
Management or administration,1.6,D,1.9,1.6,2,0.6,4.3,3,D,D,3
Professional services and other,24.5,17.5,26.9,20,53.2,17.4,25.8,28.2,20.8,20.4,25.1
Secondary activityg,,,,,,,,,,,
Research and development,16,14,10,D,31.7,14,19.4,22.8,D,14.2,17.3
Teaching,3.4,5.5,3.1,D,3.6,2.6,6.5,7.4,D,3.7,5.2
Management or administration,13.9,9.6,18.6,20,12.9,9.6,8.6,13.9,17.9,13.6,17
Professional services and other,12.5,15.4,12.4,12.6,11.4,11.5,12.4,13.4,12.9,12.7,13.7
No secondary activity,54.3,55.5,56,54.9,40.4,62.3,53.2,42.4,57.5,55.9,46.9
Activity unknown,3.4,3.6,2.1,2.4,3.3,3.5,1.6,2.9,4.1,5.1,3.9
Postgraduation location (%)h,,,,,,,,,,,
United Statesi,92.8,95.6,96.2,92.2,90.8,91.5,89.2,91.6,92.9,93.7,95.1
Midwest,14.3,14.9,14,15.3,15.3,9.8,14.1,14.3,12.3,19.8,16.2
Northeast,19.5,15.9,32.1,23.9,15.4,14.2,13.4,23.2,19.6,18.9,18.7
South,24.8,30.1,22.5,22,33,23.6,25.7,30.4,20.1,21.5,25.5
West,34,33.7,27.4,31,26.5,43.6,35.7,23,40.5,33.5,34.7
Outside the United States,7.1,4.4,3.8,7.8,9.2,8.5,10.8,8.2,7.1,6.3,4.7
Location unknown,*,0,0,0,0,0.1,0,0.2,0,0,0.2
Postgraduation location in same state as doctorate institution (%),37,34,43.9,32.4,42.6,34.9,32.7,38.4,35,37.2,35.6
Male doctorate recipients reporting postgraduation status (number),7113,440,686,813,780,1562,300,393,583,1141,415
Definite postdoctoral training plans,21.7,20.2,28.6,21.9,26,13.8,20.7,16,27.6,23.8,24.6
Definite employment plans,52.3,58.4,35.1,51.5,48.2,64.2,50,60.1,47.2,48.5,51.3
Seeking employment or study,24,19.8,31.9,24.7,23.1,20.6,26.7,22.4,23.7,26.2,22.9
Other statusa,2,1.6,4.2,1.8,2.6,1.4,2.7,1.5,1.5,1.6,1.2
Definite postdoctoral training plans (%)b,,,,,,,,,,,
Postdoc fellowship or research associateship,96.1,D,91.3,100,97.5,93.1,96.8,93.7,98.1,96.3,96.1
Other training or unknownc,3.9,D,8.7,0,2.5,6.9,3.2,6.3,1.9,3.7,3.9
Definite employment plans (%)d,,,,,,,,,,,
Academe,10.8,14,12,D,17.8,9.1,8.7,19.9,D,11.8,D
In tenure track faculty position (%),42.9,30.6,D,D,44.8,64.8,38.5,51.1,D,32.3,D
Not in tenure track position (%),53.3,66.7,D,40,49.3,34.1,53.8,42.6,D,64.6,56
Government,6.6,18.7,2.5,2.6,9.3,4.6,D,8.1,6.5,4.9,D
