SESTAT DATA DICTIONARY/FILE LAYOUT FOR EPSD08.DAT


SAS NAME          LENGTH   FORMAT   START     END     TYPE        LABEL
--------          ------   ------   -----    -----   ---------    ------------------------------
ACADADJF           0001    $CHAR1.  00001    00001   Character    E_JOB_EMPLR_ACAD_POSITION_ADJUNCT                 
ACADADMN           0001    $CHAR1.  00002    00002   Character    E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB               
ACADNA             0001    $CHAR1.  00003    00003   Character    E_JOB_EMPLR_ACAD_POSITION_NA                      
ACADOTHP           0001    $CHAR1.  00004    00004   Character    E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB               
ACADPDOC           0001    $CHAR1.  00005    00005   Character    E_JOB_EMPLR_ACAD_POSITION_POSTDOC                 
ACADRCHF           0001    $CHAR1.  00006    00006   Character    E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY        
ACADTCHF           0001    $CHAR1.  00007    00007   Character    E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY           
ACTCAP             0001    $CHAR1.  00008    00008   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER              
ACTDED             0001    $CHAR1.  00009    00009   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN            
ACTMGT             0001    $CHAR1.  00010    00010   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES             
ACTRD              0001    $CHAR1.  00011    00011   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV             
ACTRDT             0001    $CHAR1.  00012    00012   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH       
ACTRES             0001    $CHAR1.  00013    00013   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH                 
ACTTCH             0001    $CHAR1.  00014    00014   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH                 
AGEP               0003    3.0      00015    00017   Numeric      U_DEM_AGE_PUB                                     
BA03Y5P            0005    5.0      00018    00022   Numeric      J_ED_BA_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB     
BTHUS              0002    $CHAR2.  00023    00024   Character    U_DEM_BIRTH_PLACE_REGION_US_NONUS                 
CH1218IN           0001    $CHAR1.  00025    00025   Character    W_DEM_CHILDREN_IND_12_18                          
CH19IN             0001    $CHAR1.  00026    00026   Character    W_DEM_CHILDREN_IND_19                             
CH25IN             0001    $CHAR1.  00027    00027   Character    W_DEM_CHILDREN_IND_2_5                            
CH611IN            0001    $CHAR1.  00028    00028   Character    W_DEM_CHILDREN_IND_6_11                           
CH6IN              0001    $CHAR1.  00029    00029   Character    W_DEM_CHILDREN_IND_UNDER_6                        
CHTOTPB            0002    $CHAR2.  00030    00031   Character    W_DEM_CHILDREN_TOTAL_PUB                          
CHU2IN             0001    $CHAR1.  00032    00032   Character    W_DEM_CHILDREN_IND_UNDER_2                        
CHUN12             0001    $CHAR1.  00033    00033   Character    W_DEM_CHILDREN_UNDER_12_IND                       
COHORT             0001    $CHAR1.  00034    00034   Character    Z_SURVEY_COHORT                                   
CTZUS              0001    $CHAR1.  00035    00035   Character    V_DEM_US_CITIZENSHIP_STATUS                       
CTZUSIN            0001    $CHAR1.  00036    00036   Character    V_DEM_CITIZENSHIP_US_CITIZEN                      
DGRDG              0001    $CHAR1.  00037    00037   Character    O_ED_HD_DEGREE_TYPE                               
EMSECPB            0001    $CHAR1.  00038    00038   Character    E_JOB_EMPLR_SECTOR_CD_PUB                         
EMSIZE             0001    $CHAR1.  00039    00039   Character    E_JOB_EMPLR_SIZE                                  
EMSMI              0001    $CHAR1.  00040    00040   Character    D_JOB_SAME_EMPLOYER_JOB                           
GENDER             0001    $CHAR1.  00041    00041   Character    U_DEM_GENDER                                      
GOVSUP             0001    $CHAR1.  00042    00042   Character    I_JOB_GOV_AGCY_SUPPORT_IND                        
HD03Y5P            0005    5.0      00043    00047   Numeric      O_ED_HD_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB     
HRSWKP             0003    3.0      00048    00050   Numeric      B_PRINCIPAL_JOB_WKLY_HRS_PUB                      
JOBSATIS           0001    $CHAR1.  00051    00051   Character    F_JOB_SATISFACTION_OVERALL                        
LFSTAT             0001    $CHAR1.  00052    00052   Character    A_JOB_STATUS_LABOR_FORCE_STAT                     
LOOKWK             0001    $CHAR1.  00053    00053   Character    A_JOB_STATUS_LOOKING_FOR_WRK_IND                  
LWYRP              0005    5.0      00054    00058   Numeric      C_JOB_LAST_WRKD_PUB_YR                            
MGRNAT             0001    $CHAR1.  00059    00059   Character    F_JOB_MGR_TECH_EXPERTSE_PHYS_SCI                  
MGROTH             0001    $CHAR1.  00060    00060   Character    F_JOB_MGR_TECH_EXPERTSE_OTHER                     
MGRSOC             0001    $CHAR1.  00061    00061   Character    F_JOB_MGR_TECH_EXPERTSE_SOCIAL_SCI                
MINRTY             0001    $CHAR1.  00062    00062   Character    U_DEM_RACE_MINORITY_IND                           
MR03Y5P            0005    5.0      00063    00067   Numeric      M_ED_MR_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB     
MRADV              0001    $CHAR1.  00068    00068   Character    M_ED_MR_DEGREE_REAS_ADVANCEMT                     
MRCAR              0001    $CHAR1.  00069    00069   Character    M_ED_MR_DEGREE_REAS_BEGIN_CAREER                  
MRCHG              0001    $CHAR1.  00070    00070   Character    M_ED_MR_DEGREE_REAS_CHG_FLD                       
MRDG               0001    $CHAR1.  00071    00071   Character    M_ED_MR_DEGREE_TYPE                               
MRINT              0001    $CHAR1.  00072    00072   Character    M_ED_MR_DEGREE_REAS_PERSONL                       
MRLIC              0001    $CHAR1.  00073    00073   Character    M_ED_MR_DEGREE_REAS_LICENSING                     
