sas_name,SESTAT_NAME,DESCRIPTION,source,question,domain,SAS_FMT
ACADADJF,E_JOB_EMPLR_ACAD_POSITION_ADJUNCT,Academic position: adjunct faculty,A18.5,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Adjunct faculty"")","Working during the week of October 1, 2003 and employer is a postsecondary institution",$MRKALL.
ACADADMN,E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB,Academic position: dean or president,RECODE,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Dean (any level), department head or chair"" or ""President, Provost or Chancellor (any level)"")","Educational Institution as Principal Employer, Working week of October 1, 2003",$MRKACD.
ACADNA,E_JOB_EMPLR_ACAD_POSITION_NA,Academic position: not applicable,RECODE,Derived after data collection from reported information,"Working during the week of October 1, 2003 and employer is a postsecondary institution",$MRKALL.
ACADOTHP,E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB,"Academic position: research assistant, teaching assistant or other",RECODE,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution?(Marked ""Teaching assistant"", ""Research assistant"" or ""Other"")","Educational Institution as Principal Employer, Working week of October 1, 2003",$MRKOTH.
ACADPDOC,E_JOB_EMPLR_ACAD_POSITION_POSTDOC,Academic position: postdoc,A18.6,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Postdoc"")","Working during the week of October 1, 2003 and employer is a postsecondary institution",$MRKALL.
ACADRCHF,E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY,Academic position: research faculty,A18.3,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Research faculty, scientist, associate or fellow"")","Working during the week of October 1, 2003 and employer is a postsecondary institution",$MRKALL.
ACADTCHF,E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY,Academic position: teaching faculty,A18.4,"During the week of [survey reference date], what type of academic position(s) did you hold at this institution? (Marked ""Teaching faculty"")","Working during the week of October 1, 2003 and employer is a postsecondary institution",$MRKALL.
ACADV,N_ED_REF_WK_ENROLL_REAS_ADVANCEMT,Reason for taking courses during reference week: increase advancement opportunities,D12.6,"For which of the following reasons were you taking classes or enrolled (Response to ""To increase opportunities for promotion, advancement or higher salary"")","Took courses/enrolled in college/university during the week of October 1, 2003",$YESNO.
ACCAR,N_ED_REF_WK_ENROLL_REAS_BEGIN_CAREER,Reason for taking courses during reference week: further education before career,D12.1,"For which of the following reasons were you taking classes or enrolled? (Response to ""To gain further education before beginning a career"")","Took courses/enrolled in college/university during the week of October 1, 2003",$YESNO.
ACCCEP,N_ED_REF_WK_EMP_ASSISTANCE,School related costs for course taking paid by employer,D13,Were ANY of your school-related costs for taking courses paid for by an employer?,Took courses/enrolled in college/university during reference week,$YESNO.
ACCHG,N_ED_REF_WK_ENROLL_REAS_CHG_FLD,Reason for taking courses during reference week:  change academic/occupational field,D12.3,"For which of the following reasons were you taking classes or enrolled? (Response to ""To change my academic or occupational field"")","Took courses/enrolled in college/university during the week of October 1, 2003",$YESNO.
ACFPT,N_ED_REF_WK_ENROLL_FT_PT_IND,Taking courses/enrolled during reference week: enrollment status,D09,Were you taking courses as a... (Response to: part-time/full-time/not enrolled but taking courses),"Took courses/enrolled in college/university during the week of October 1, 2003",$FULPTSN.
ACINT,N_ED_REF_WK_ENROLL_REAS_PERSONL,Reason for taking courses during reference week: leisure/personal interest,D12.8,"For which of the following reasons were you taking classes or enrolled?  (Response to ""For leisure or personal interest"")","Took courses/enrolled in college/university during the week of October 1, 2003",$YESNO.
ACLIC,N_ED_REF_WK_ENROLL_REAS_LICENSING,Reason for taking courses during reference week: licensure/certification,D12.5,"For which of the following reasons were you taking classes or enrolled? (Response to ""For licensure or certification"")","Took courses/enrolled in college/university during the week of October 1, 2003",$YESNO.
ACOTP,N_ED_REF_WK_ENROLL_REAS_OTHR_PUB,"Reason for taking courses during reference week: graduate school, required by employer or other",RECODE,"For which of the following reasons were you taking classes or enrolled? (Responded to ""Graduate School"", ""Employer required"" or ""Other"")",Took courses/enrolled in college/university during reference week,$MRKAC.
ACSIN,N_ED_REF_WK_ENROLL_IND_REV,Taking courses and/or enrolled during reference week indicator,D08,"During the week of [survey reference week], were you enrolled in or taking courses at a college or university?",All respondents,$YESNO.
ACSKL,N_ED_REF_WK_ENROLL_REAS_ACQ_SKILL,Reason for taking courses during reference week: gain further skills in field,D12.4,"For which of the following reasons were you taking classes or enrolled? (Response to ""To gain FURTHER skills or knowledge in my academic or occupational field"")","Took courses/enrolled in college/university during the week of October 1, 2003",$YESNO.
ACTCAP,F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER,Primary/secondary work activity on principal job: computer applications,RECODE,Derived within SESTAT from reported information.,"Working during the week of October 1, 2003",$YESNO.
ACTDED,F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN,Primary/secondary work activity on principal job: development or design,RECODE,Derived within SESTAT from reported information.,"Working during the week of October 1, 2003",$YESNO.
ACTMGT,F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES,Primary/secondary work activity on principal job: management/sales,RECODE,Derived within SESTAT from reported information.,"Working during the week of October 1, 2003",$YESNO.
ACTRD,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV,Primary/secondary work activity on principal job: basic research/applied research/development/design,RECODE,Derived within SESTAT from reported information.,"Working during the week of October 1, 2003",$YESNO.
ACTRDT,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH,Primary/secondary work activity on principal job: basic research/applied research/development/design/teaching,RECODE,Derived within SESTAT from reported information.,"Working during the week of October 1, 2003",$YESNO.
