SESTAT DATA DICTIONARY/FILE LAYOUT FOR EPSDR06.DAT


SAS NAME          LENGTH   FORMAT   START     END     TYPE        LABEL
--------          ------   ------   -----    -----   ---------    ------------------------------
ACADADJF           0001    $CHAR1.  00001    00001   Character    E_JOB_EMPLR_ACAD_POSITION_ADJUNCT                 
ACADADMN           0001    $CHAR1.  00002    00002   Character    E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB               
ACADNA             0001    $CHAR1.  00003    00003   Character    E_JOB_EMPLR_ACAD_POSITION_NA                      
ACADOTHP           0001    $CHAR1.  00004    00004   Character    E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB               
ACADPDOC           0001    $CHAR1.  00005    00005   Character    E_JOB_EMPLR_ACAD_POSITION_POSTDOC                 
ACADRCHF           0001    $CHAR1.  00006    00006   Character    E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY        
ACADTCHF           0001    $CHAR1.  00007    00007   Character    E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY           
ACTCAP             0001    $CHAR1.  00008    00008   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER              
ACTDED             0001    $CHAR1.  00009    00009   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN            
ACTMGT             0001    $CHAR1.  00010    00010   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES             
ACTRD              0001    $CHAR1.  00011    00011   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV             
ACTRDT             0001    $CHAR1.  00012    00012   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH       
ACTRES             0001    $CHAR1.  00013    00013   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH                 
ACTTCH             0001    $CHAR1.  00014    00014   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH                 
AGEP               0003    3.0      00015    00017   Numeric      U_DEM_AGE_PUB                                     
BA03Y5P            0020    20.5     00018    00037   Numeric      J_ED_BA_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB     
BTHUS              0002    $CHAR2.  00038    00039   Character    U_DEM_BIRTH_PLACE_REGION_US_NONUS                 
CH1218IN           0001    $CHAR1.  00040    00040   Character    W_DEM_CHILDREN_IND_12_18                          
CH19IN             0001    $CHAR1.  00041    00041   Character    W_DEM_CHILDREN_IND_19                             
CH25IN             0001    $CHAR1.  00042    00042   Character    W_DEM_CHILDREN_IND_2_5                            
CH611IN            0001    $CHAR1.  00043    00043   Character    W_DEM_CHILDREN_IND_6_11                           
CH6IN              0001    $CHAR1.  00044    00044   Character    W_DEM_CHILDREN_IND_UNDER_6                        
CHTOTPB            0002    $CHAR2.  00045    00046   Character    W_DEM_CHILDREN_TOTAL_PUB                          
CHU2IN             0001    $CHAR1.  00047    00047   Character    W_DEM_CHILDREN_IND_UNDER_2                        
CHUN12             0001    $CHAR1.  00048    00048   Character    W_DEM_CHILDREN_UNDER_12_IND                       
COHORT             0001    $CHAR1.  00049    00049   Character    Z_SURVEY_COHORT                                   
CTZUS              0001    $CHAR1.  00050    00050   Character    V_DEM_US_CITIZENSHIP_STATUS                       
CTZUSIN            0001    $CHAR1.  00051    00051   Character    V_DEM_CITIZENSHIP_US_CITIZEN                      
DGRDG              0001    $CHAR1.  00052    00052   Character    O_ED_HD_DEGREE_TYPE                               
EMSECPB            0001    $CHAR1.  00053    00053   Character    E_JOB_EMPLR_SECTOR_CD_PUB                         
EMSIZE             0001    $CHAR1.  00054    00054   Character    E_JOB_EMPLR_SIZE                                  
EMSMI              0001    $CHAR1.  00055    00055   Character    D_JOB_SAME_EMPLOYER_JOB                           
GENDER             0001    $CHAR1.  00056    00056   Character    U_DEM_GENDER                                      
GOVSUP             0001    $CHAR1.  00057    00057   Character    I_JOB_GOV_AGCY_SUPPORT_IND                        
HD03Y5P            0005    5.0      00058    00062   Numeric      O_ED_HD_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB     
HRSWKP             0003    3.0      00063    00065   Numeric      B_PRINCIPAL_JOB_WKLY_HRS_PUB                      
ICCOMM             0001    $CHAR1.  00066    00066   Character    F_JOB_INT_COLLAB_EMAIL_TELEPHONE                  
ICOLLAB            0001    $CHAR1.  00067    00067   Character    F_JOB_INT_COLLAB_IND                              
ICTRLA             0001    $CHAR1.  00068    00068   Character    F_JOB_INT_COLLAB_TRAVEL_ABROAD                    
ICTRLH             0001    $CHAR1.  00069    00069   Character    F_JOB_INT_COLLAB_TRAVEL_HERE                      
ICWBVT             0001    $CHAR1.  00070    00070   Character    F_JOB_INT_COLLAB_WEB_VIRTUAL                      
JOBSATIS           0001    $CHAR1.  00071    00071   Character    F_JOB_SATISFACTION_OVERALL                        
LFSTAT             0001    $CHAR1.  00072    00072   Character    A_JOB_STATUS_LABOR_FORCE_STAT                     
LOOKWK             0001    $CHAR1.  00073    00073   Character    A_JOB_STATUS_LOOKING_FOR_WRK_IND                  
LWYRP              0005    5.0      00074    00078   Numeric      C_JOB_LAST_WRKD_PUB_YR                            
MINRTY             0001    $CHAR1.  00079    00079   Character    U_DEM_RACE_MINORITY_IND                           
MR03Y5P            0005    5.0      00080    00084   Numeric      M_ED_MR_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB     
MRADV              0001    $CHAR1.  00085    00085   Character    M_ED_MR_DEGREE_REAS_ADVANCEMT                     
MRCAR              0001    $CHAR1.  00086    00086   Character    M_ED_MR_DEGREE_REAS_BEGIN_CAREER                  
MRCHG              0001    $CHAR1.  00087    00087   Character    M_ED_MR_DEGREE_REAS_CHG_FLD                       
MRDG               0001    $CHAR1.  00088    00088   Character    M_ED_MR_DEGREE_TYPE                               
