Table A-5,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Doctoral SED-CIP codes in broad, major, and detailed fields: 2023",,,,
(Field),,,,
SED-CIP Code,SED-CIP Title,Broad field,Major field,Detailed field
01.1102,Agronomy and Crop Science,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Agronomy and crop science
01.0901,"Animal Sciences, General",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.0902,Agricultural Animal Breeding,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.0903,Animal Health,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.0904,Animal Nutrition,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.0905,Dairy Science,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.0906,Livestock Management,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.0907,Poultry Science,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.0999,"Animal Sciences, Other",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences
01.1001,Food Science,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology
01.1002,Food Technology and Processing,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology
01.1003,Brewing Science,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology
01.1004,Viticulture and Enology,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology
01.1005,Zymology/ Fermentation Science,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology
01.1099,"Food Science and Technology, Other",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology
01.1101,"Plant Sciences, General",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences
01.1103,Horticultural Science,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences
01.1104,Agricultural and Horticultural Plant Breeding,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences
01.1105,Plant Protection and Integrated Pest Management,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences
01.1106,Range Science and Management,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences
01.1199,"Plant Sciences, Other",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences
01.1201,"Soil Science and Agronomy, General",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences
01.1202,Soil Chemistry and Physics,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences
01.1203,Soil Microbiology,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences
01.1203b,Soil Chemistry and Microbiology,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences
01.1299,"Soil Sciences, Other",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences
01.1302,Pre-Veterinary Studies,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.1399,"Agriculture/ Veterinary Preparatory Programs, Other",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8001,Veterinary Medicine,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8101,"Veterinary Sciences/ Veterinary Clinical Sciences, General",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8102,Comparative and Laboratory Animal Medicine,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8103,Large Animal/ Food Animal and Equine Surgery and Medicine,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8104,Small/ Companion Animal Surgery and Medicine,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8105,Veterinary Anatomy,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8106,Veterinary Infectious Diseases,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8107,Veterinary Microbiology and Immunobiology,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8108,Veterinary Pathology and Pathobiology,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8109,Veterinary Physiology,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8110,"Veterinary Preventive Medicine, Epidemiology, and Public Health",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8111,Veterinary Toxicology and Pharmacology,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
01.8199,"Veterinary Biomedical and Clinical Sciences, Other",Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences
