Table A-4,Unnamed: 1,Unnamed: 2
"SED field of doctorate taxonomy, by SED-CIP series/codes: 2023",,
(Field),,
Field of doctorate,Field levela,SED-CIP series/ codes
Science and engineering,Area,see below
Agricultural sciences and natural resources,Broad,"Most of 01, 03 (see below)"
"Agricultural, animal, plant, and veterinary sciences",Major,01
Agronomy and crop science,Detailed,01.1102
Animal sciences,Detailed,01.09
Food science and technology,Detailed,01.10
Plant sciences,Detailed,01.11 except 01.1102
Soil sciences,Detailed,01.12
Veterinary biomedical and clinical sciences,Detailed,"01.80, 01.81, 01.83, 01.1302, 01.1399"
"Agricultural, animal, plant, and veterinary sciences nec",Detailed,"all other 01 except 01.0103, 01.05, 01.82"
Natural resources and conservation,Major,all 03 except 03.0204
Environmental science,Detailed,03.0104
Environmental/ natural resources management and policy,Detailed,all 03.02 except 03.0204
Forestry,Detailed,03.05
Natural resources conservation and research,Detailed,all 03.01 except 03.0104
Natural resources and conservation nec,Detailed,"03.03, 03.06, 03.99"
Biological and biomedical sciences,Broad,26
"Biochemistry, biophysics, and molecular biology",Major,26.02
Biochemistry,Detailed,26.0202
Biochemistry and molecular biology,Detailed,26.0210
Biophysics,Detailed,"26.0203, 26.0203b, 26.0206"
Molecular biology,Detailed,26.0204
"Biochemistry, biophysics, and molecular biology nec",Detailed,all other 26.02
"Bioinformatics, biostatistics, and computational biology",Major,26.11
Bioinformatics,Detailed,26.1103
Biostatistics,Detailed,26.1102
Computational biology,Detailed,26.1104
"Bioinformatics, biostatistics, and computational biology nec",Detailed,all other 26.11
"Biological and biomedical sciences, general",Major,26.01
"Biology/ biological sciences, general",Detailed,"26.0101, 26.0101b"
"Biomedical sciences, general",Detailed,26.0102
Cell/ cellular biology and anatomy,Major,26.04
Cell/ cellular and molecular biology,Detailed,26.0406
Developmental biology and embryology,Detailed,26.0404
Cell/ cellular biology and anatomy nec,Detailed,all other 26.04
"Ecology, evolutionary biology, and epidemiology",Major,26.13 except 26.1302
Ecology,Detailed,26.1301
Ecology and evolutionary biology,Detailed,"26.1310, 26.1399b"
Epidemiology,Detailed,26.1309
Epidemiology and biostatistics,Detailed,26.1311
Evolutionary biology,Detailed,26.1303
"Ecology, evolutionary biology, and epidemiology nec",Detailed,all other 26.13 except 26.1302
Genetics and genomics,Major,26.08
"Genetics, general",Detailed,26.0801
Genome sciences and genomics,Detailed,26.0807
Human/ medical genetics,Detailed,26.0806
Molecular genetics,Detailed,26.0802
Genetics and genomics nec,Detailed,all other 26.08
Microbiology and immunology,Major,26.05
Immunology,Detailed,26.0507
Microbiology and immunology,Detailed,26.0508
"Microbiology, general",Detailed,26.0502
Virology,Detailed,26.0504
Microbiology and immunology nec,Detailed,all other 26.05
Neurobiology and neurosciences,Major,26.15
Cognitive neuroscience,Detailed,26.1599b
Neurobiology,Detailed,"26.1503, 26.1504"
Neuroscience,Detailed,26.1501
Neurobiology and neurosciences nec,Detailed,all other 26.15
Pharmacology and toxicology,Major,26.10
Pharmacology,Detailed,26.1001
Toxicology,Detailed,"26.1004, 26.1005, 26.1006"
Pharmacology and toxicology nec,Detailed,all other 26.10
"Physiology, oncology, and cancer biology",Major,26.09
Biomechanics,Detailed,26.0913
Exercise physiology and kinesiology,Detailed,26.0908
Oncology and cancer biology,Detailed,26.0911
"Physiology, general",Detailed,26.0901
"Physiology, oncology, and cancer biology nec",Detailed,all other 26.09
"Biological and biomedical sciences, other",Major,all other 26
Botany and plant biology,Detailed,26.0301
Entomology,Detailed,"26.0702, 26.0702b, 26.0702c"
Plant pathology and phytopathology,Detailed,"26.0305, 26.0305b"
Plant physiology and biology nec,Detailed,"all 26.03 except 26.0301, 26.0305"
Zoology and animal biology,Detailed,all 26.07 except 26.0702
Biological and biomedical sciences nec,Detailed,"26.1201, 26.1401, 26.9999"
Computer and information sciences,Broad,11
Computer science,Major,11.07
Computer science,Detailed,11.07
"Computer and information sciences, other",Major,all 11 except 11.07
Artificial intelligence,Detailed,11.0102
"Computer and information sciences, general",Detailed,11.0101
Computer systems networking and telecommunications,Detailed,"11.09, 11.10"
Informatics and information technology ,Detailed,"11.0103, 11.0104, 11.0105"
Information sciences/ studies,Detailed,11.04
Computer and information sciences nec,Detailed,"11.0199, 11.02, 11.03, 11.05, 11.06, 11.08, 11.99"
Engineering,Broad,"14, most 15 (see below)"
"Aerospace, aeronautical, astronautical, and space engineering",Major,"14.02, 15.0801, 49.0101, 14.1901b"
"Aerospace, aeronautical, astronautical, and space engineering, general",Detailed,14.0201
Mechanical and aerospace engineering,Detailed,14.1901b
