Table B-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Comparison of the broad and major fields, trend broad and major fields, and historical broad and major fields",,,,,
(Crosswalk),,,,,
Broad and major fields (Cycle 2023 data tables),,Trend broad and major fields (Cycle 2023 data tables),,Historical broad and major fields (Cycles 2021–22 data tables),
All fields,Level,All fields,Level,All fields,Level
Science and engineering,Area,Science and engineering,Area,na,Area
na,-,na,-,Life sciences,Broad
Agricultural sciences and natural resources,Broad,Agricultural sciences and natural resourcesa,Broad,Agricultural sciences and natural resources,Major
"Agricultural, animal, plant, and veterinary sciences",Major,Agricultural sciencesa,Major,na,-
Natural resources and conservation,Major,Natural resources and conservation,Major,na,-
Biological and biomedical sciences,Broad,Biological and biomedical sciences,Broad,Biological and biomedical sciences,Major
"Biochemistry, biophysics, and molecular biology",Major,Biochemistry and biophysics,Major,na,-
"Bioinformatics, biostatistics, and computational biology",Major,"Bioinformatics, biostatistics, and computational biology",Major,na,-
"Biological and biomedical sciences, general",Major,"Biology and biomedical sciences, general",Major,na,-
Cell/ cellular biology and anatomy,Major,"Cellular and developmental biology, and anatomy",Major,na,-
"Ecology, evolutionary biology, and epidemiology",Major,"Ecology, evolutionary biology, and epidemiology",Major,na,-
Genetics and genomics,Major,Genetics and genomics,Major,na,-
Microbiology and immunology,Major,Microbiology and immunology,Major,na,-
na,-,Molecular biology,Major,na,-
Neurobiology and neurosciences,Major,Neurobiology and neurosciences,Major,na,-
Pharmacology and toxicology,Major,Pharmacology and toxicology,Major,na,-
"Physiology, oncology, and cancer biology",Major,"Physiology, pathology, and cancer biology",Major,na,-
"Biological and biomedical sciences, other",Major,"Biology and biomedical sciences, other",Major,na,-
Computer and information sciences,Broad,Computer and information sciences,Broad,Computer and information sciences,Major
Computer science,Major,Computer science,Major,na,-
"Computer and information sciences, other",Major,"Computer and information sciences, other",Major,na,-
Engineering,Broad,Engineering,Broad,Engineering,Broad
"Aerospace, aeronautical, astronautical and space engineering",Major,"Aerospace, aeronautical, and astronautical engineering",Major,"Aerospace, aeronautical, and astronautical engineering",Major
"Biological, biomedical, and biosystems engineering",Major,Bioengineering and biomedical engineering,Major,Bioengineering and biomedical engineering,Major
Chemical and petroleum engineering,Major,Chemical and petroleum engineering,Major,Chemical engineering,Major
"Civil, environmental, and transportation engineering",Major,"Civil, environmental, and transportation engineering",Major,Civil engineering,Major
Electrical and computer engineering,Major,Electrical and computer engineering,Major,"Electrical, electronics, and communications engineering",Major
