varnumber,varname,codevalue,valuelabel,frequency,percent
35000,CIPCODE,99.0,Grand total,20579,6.79
35000,CIPCODE,1.0,"Agriculture, General",267,0.09
35000,CIPCODE,1.0101,"Agricultural Business and Management, General",224,0.07
35000,CIPCODE,1.0102,Agribusiness/Agricultural Business Operations,285,0.09
35000,CIPCODE,1.0103,Agricultural Economics,108,0.04
35000,CIPCODE,1.0104,Farm/Farm and Ranch Management,95,0.03
35000,CIPCODE,1.0105,Agricultural/Farm Supplies Retailing and Wholesaling,28,0.01
35000,CIPCODE,1.0106,Agricultural Business Technology/Technician,12,0.0
35000,CIPCODE,1.0199,"Agricultural Business and Management, Other",20,0.01
35000,CIPCODE,1.0201,"Agricultural Mechanization, General",47,0.02
35000,CIPCODE,1.0204,Agricultural Power Machinery Operation,14,0.0
35000,CIPCODE,1.0205,Agricultural Mechanics and Equipment/Machine Technology/Technician,76,0.03
35000,CIPCODE,1.0299,"Agricultural Mechanization, Other",8,0.0
35000,CIPCODE,1.0301,"Agricultural Production Operations, General",132,0.04
35000,CIPCODE,1.0302,Animal/Livestock Husbandry and Production,98,0.03
35000,CIPCODE,1.0303,Aquaculture,39,0.01
35000,CIPCODE,1.0304,Crop Production,87,0.03
35000,CIPCODE,1.0306,Dairy Husbandry and Production,15,0.0
35000,CIPCODE,1.0307,Horse Husbandry/Equine Science and Management,74,0.02
35000,CIPCODE,1.0308,Agroecology and Sustainable Agriculture,149,0.05
35000,CIPCODE,1.0399,"Agricultural Production Operations, Other",12,0.0
35000,CIPCODE,1.0401,Agricultural and Food Products Processing,43,0.01
35000,CIPCODE,1.0504,Dog/Pet/Animal Grooming,13,0.0
35000,CIPCODE,1.0505,Animal Training,9,0.0
35000,CIPCODE,1.0507,Equestrian/Equine Studies,89,0.03
35000,CIPCODE,1.0508,Taxidermy/Taxidermist,2,0.0
35000,CIPCODE,1.0599,"Agricultural and Domestic Animal Services, Other",9,0.0
35000,CIPCODE,1.0601,"Applied Horticulture/Horticulture Operations, General",334,0.11
35000,CIPCODE,1.0603,Ornamental Horticulture,33,0.01
35000,CIPCODE,1.0604,Greenhouse Operations and Management,29,0.01
35000,CIPCODE,1.0605,Landscaping and Groundskeeping,193,0.06
35000,CIPCODE,1.0606,Plant Nursery Operations and Management,54,0.02
35000,CIPCODE,1.0607,Turf and Turfgrass Management,91,0.03
35000,CIPCODE,1.0608,Floriculture/Floristry Operations and Management,49,0.02
35000,CIPCODE,1.0609,Public Horticulture,1,0.0
35000,CIPCODE,1.061,Urban and Community Horticulture,4,0.0
