SESTAT DATA DICTIONARY/FILE LAYOUT FOR EPSD15.DAT

SAS NAME          LENGTH   FORMAT   START    END     TYPE         LABEL
--------          ------   ------   -----    -----   ---------    ------------------------------
ACADADJF           0001    $CHAR1.  00001    00001   Character    E_JOB_EMPLR_ACAD_POSITION_ADJUNCT
ACADADMN           0001    $CHAR1.  00002    00002   Character    E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB
ACADNA             0001    $CHAR1.  00003    00003   Character    E_JOB_EMPLR_ACAD_POSITION_NA
ACADOTHP           0001    $CHAR1.  00004    00004   Character    E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB
ACADPDOC           0001    $CHAR1.  00005    00005   Character    E_JOB_EMPLR_ACAD_POSITION_POSTDOC
ACADRCHF           0001    $CHAR1.  00006    00006   Character    E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY
ACADTCHF           0001    $CHAR1.  00007    00007   Character    E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY
ACADV              0001    $CHAR1.  00008    00008   Character    N_ED_REF_WK_ENROLL_REAS_ADVANCEMT
ACCAR              0001    $CHAR1.  00009    00009   Character    N_ED_REF_WK_ENROLL_REAS_BEGIN_CAREER
ACCCEP             0001    $CHAR1.  00010    00010   Character    N_ED_REF_WK_EMP_ASSISTANCE
ACCHG              0001    $CHAR1.  00011    00011   Character    N_ED_REF_WK_ENROLL_REAS_CHG_FLD
ACDRG              0001    $CHAR1.  00012    00012   Character    N_ED_REF_WK_WORK_DEGREE
ACFPT              0001    $CHAR1.  00013    00013   Character    N_ED_REF_WK_ENROLL_FT_PT_IND
ACINT              0001    $CHAR1.  00014    00014   Character    N_ED_REF_WK_ENROLL_REAS_PERSONL
ACLIC              0001    $CHAR1.  00015    00015   Character    N_ED_REF_WK_ENROLL_REAS_LICENSING
ACOTP              0001    $CHAR1.  00016    00016   Character    N_ED_REF_WK_ENROLL_REAS_OTHR_PUB
ACSIN              0001    $CHAR1.  00017    00017   Character    N_ED_REF_WK_ENROLL_IND_REV
ACSKL              0001    $CHAR1.  00018    00018   Character    N_ED_REF_WK_ENROLL_REAS_ACQ_SKILL
ACTCAP             0001    $CHAR1.  00019    00019   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER
ACTDED             0001    $CHAR1.  00020    00020   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN
ACTMGT             0001    $CHAR1.  00021    00021   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES
ACTRD              0001    $CHAR1.  00022    00022   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV
ACTRDT             0001    $CHAR1.  00023    00023   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH
ACTRES             0001    $CHAR1.  00024    00024   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH
ACTTCH             0001    $CHAR1.  00025    00025   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH
AGEGRP             0003    3.0      00026    00028   Numeric      U_DEM_AGE_GROUP_5_YR_GROUPING_PUB
BAAYR5P            0006    6.0      00029    00034   Numeric      J_ED_BA_DEGREE_AWARD_YR_5_YR_GROUPING_PUB
BADGRUS            0001    $CHAR1.  00035    00035   Character    J_ED_BA_SCHOOL_REGION_US_NONUS
BAPBPR             0001    $CHAR1.  00036    00036   Character    J_ED_BA_SCHOOL_PUBLIC_OR_PRIVTE
BARGNP             0002    $CHAR2.  00037    00038   Character    J_ED_BA_SCHOOL_REGION_PUB
BTHUS              0002    $CHAR2.  00039    00040   Character    U_DEM_BIRTH_PLACE_REGION_US_NONUS
CH1218IN           0001    $CHAR1.  00041    00041   Character    W_DEM_CHILDREN_IND_12_18
CH19IN             0001    $CHAR1.  00042    00042   Character    W_DEM_CHILDREN_IND_19
CH25IN             0001    $CHAR1.  00043    00043   Character    W_DEM_CHILDREN_IND_2_5
CH611IN            0001    $CHAR1.  00044    00044   Character    W_DEM_CHILDREN_IND_6_11
CH6IN              0001    $CHAR1.  00045    00045   Character    W_DEM_CHILDREN_IND_UNDER_6
CHCHG              0001    $CHAR1.  00046    00046   Character    D_JOB_CHG_REAS_CAREER_CHG
CHCON              0001    $CHAR1.  00047    00047   Character    D_JOB_CHG_REAS_WRKNG_CONDS
CHFAM              0001    $CHAR1.  00048    00048   Character    D_JOB_CHG_REAS_FAMILY
CHLAY              0001    $CHAR1.  00049    00049   Character    D_JOB_CHG_REAS_LAID_OFF
CHLOC              0001    $CHAR1.  00050    00050   Character    D_JOB_CHG_REAS_LOCATN
CHLVIN             0001    $CHAR1.  00051    00051   Character    W_DEM_CHILDREN_IN_HOUSEHOLD
CHOT               0001    $CHAR1.  00052    00052   Character    D_JOB_CHG_REAS_OTHR
CHPAY              0001    $CHAR1.  00053    00053   Character    D_JOB_CHG_REAS_PAY_OR_PROMOT
CHRET              0001    $CHAR1.  00054    00054   Character    D_JOB_CHG_REAS_RETIRED
CHSCH              0001    $CHAR1.  00055    00055   Character    D_JOB_CHG_REAS_SCHOOL_RELTD
CHTOTPB            0002    $CHAR2.  00056    00057   Character    W_DEM_CHILDREN_TOTAL_PUB
CHU2IN             0001    $CHAR1.  00058    00058   Character    W_DEM_CHILDREN_IND_UNDER_2
CHUN12             0001    $CHAR1.  00059    00059   Character    W_DEM_CHILDREN_UNDER_12_IND
COHORT             0001    $CHAR1.  00060    00060   Character    Z_SURVEY_COHORT
CTZFOR             0001    $CHAR1.  00061    00061   Character    V_DEM_NON_US_CITIZEN
CTZN               0001    $CHAR1.  00062    00062   Character    V_DEM_CITIZENSHIP_STATUS
CTZN_DRF           0001    $CHAR1.  00063    00063   Character    V_DEM_CITIZENSHIP_STATUS_DRF
