sas_name,SESTAT_NAME,DESCRIPTION,source,question,domain,SAS_FMT
ACADADJF,E_JOB_EMPLR_ACAD_POSITION_ADJUNCT,Academic position: adjunct faculty,A16.5,"During the week of February 1, 2013, what type of academic position(s) did you hold at this institution? (Marked ""Adjunct faculty"")","Working during the week of February 1, 2013 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADADMN,E_JOB_EMPLR_ACAD_POSITION_ADMIN_PUB,Academic position: dean or president,RECODE,"During the week of February 1, 2013, what type of academic position(s) did you hold at this institution? (Marked 'Dean (any level), department head or chair' or 'President, Provost or Chancellor (any level)')","Working during the week of February 1, 2013 and employer is a postsecondary institution (SDR only)",$MRKACD.
ACADNA,E_JOB_EMPLR_ACAD_POSITION_NA,Academic position: not applicable,A16.0,Derived after data collection from reported information,"Working during the week of February 1, 2013 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADOTHP,E_JOB_EMPLR_ACAD_POSITION_OTHER_PUB,"Academic position: research assistant, teaching assistant or other",RECODE,"During the week of February 1, 2013, what type of academic position(s) did you hold at this institution?(Marked 'Teaching assistant', 'Research assistant' or 'Other')","Working during the week of February 1, 2013 and employer is a postsecondary institution (SDR only)",$MRKOTH.
ACADPDOC,E_JOB_EMPLR_ACAD_POSITION_POSTDOC,Academic position: postdoc,A16.6,"During the week of February 1, 2013, what type of academic position(s) did you hold at this institution? (Marked ""Postdoc (e.g., postdoctoral fellow or associate)"")","Working during the week of February 1, 2013 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADRCHF,E_JOB_EMPLR_ACAD_POSITION_RESEARCH_FACULTY,Academic position: research faculty,A16.3,"During the week of February 1, 2013, what type of academic position(s) did you hold at this institution? (Marked ""Research faculty, scientist, associate or fellow"")","Working during the week of February 1, 2013 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADTCHF,E_JOB_EMPLR_ACAD_POSITION_TEACH_FACULTY,Academic position: teaching faculty,A16.4,"During the week of February 1, 2013, what type of academic position(s) did you hold at this institution? (Marked ""Teaching faculty"")","Working during the week of February 1, 2013 and employer is a postsecondary institution (SDR only)",$MRKALL.
ACADV,N_ED_REF_WK_ENROLL_REAS_ADVANCEMT,Reason for taking courses during reference week: increase advancement opportunities,D11.6,"For which of the following reasons were you taking courses or enrolled? (Response to ""To increase opportunities for promotion, advancement or higher salary"")","Took courses/enrolled in college/university during the week of February 1, 2013",$YESNO.
ACCAR,N_ED_REF_WK_ENROLL_REAS_BEGIN_CAREER,Reason for taking courses during reference week: further education before career,D11.1,"For which of the following reasons were you taking classes or enrolled? (Response to ""To gain further education before beginning a career"")","Took courses/enrolled in college/university during the week of February 1, 2013",$YESNO.
ACCCEP,N_ED_REF_WK_EMP_ASSISTANCE,School related costs for course taking paid by employer,D12,Were any of your school-related costs for taking courses paid for by an employer?,Took courses/enrolled in college/university during reference week,$YESNO.
ACCHG,N_ED_REF_WK_ENROLL_REAS_CHG_FLD,Reason for taking courses during reference week:  change academic/occupational field,D11.3,"For which of the following reasons were you taking classes or enrolled? (Response to ""To change your academic or occupational field"")","Took courses/enrolled in college/university during the week of February 1, 2013",$YESNO.
ACDRG,N_ED_REF_WK_WORK_DEGREE,Type of degree working on during reference week,D09,Toward what degree were you working?,"Took courses/enrolled in college/university during the week of February 1, 2013",$DEGREE.
ACFPT,N_ED_REF_WK_ENROLL_FT_PT_IND,Taking courses/enrolled during reference week: enrollment status,D08,Were you taking courses or enrolled as ... (Response to: full-time/part-time/not enrolled but taking courses),"Took courses/enrolled in college/university during the week of February 1, 2013",$FULPTSN.
ACINT,N_ED_REF_WK_ENROLL_REAS_PERSONL,Reason for taking courses during reference week: leisure/personal interest,D11.8,"For which of the following reasons were you taking classes or enrolled?  (Response to ""For leisure or personal interest"")","Took courses/enrolled in college/university during the week of February 1, 2013",$YESNO.
ACLIC,N_ED_REF_WK_ENROLL_REAS_LICENSING,Reason for taking courses during reference week: licensure/certification,D11.5,"For which of the following reasons were you taking classes or enrolled? (Response to ""For licensure or certification"")","Took courses/enrolled in college/university during the week of February 1, 2013",$YESNO.
ACOTP,N_ED_REF_WK_ENROLL_REAS_OTHR_PUB,"Reason for taking courses during reference week: graduate school, required by employer or other",RECODE,"For which if the following reasons were you taking classes or enrolled? (Responsed to 'Graduate School', 'Employer required' or 'Other')?","Took courses/enrolled in college/university during the week of February 1, 2013",$MRKAC.
ACSIN,N_ED_REF_WK_ENROLL_IND_REV,Taking courses and/or enrolled during reference week indicator,D07,"During the week of February 1, 2013, were you enrolled in or taking courses at a college or university?",All respondents,$YESNO.
ACSKL,N_ED_REF_WK_ENROLL_REAS_ACQ_SKILL,Reason for taking courses during reference week: gain further skills in field,D11.4,"For which of the following reasons were you taking classes or enrolled? (Response to ""To gain further skills or knowledge in your academic or occupational field"")","Took courses/enrolled in college/university during the week of February 1, 2013",$YESNO.
ACTCAP,F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER,Primary/secondary work activity on principal job: computer applications,RECODE,Derived within SESTAT from reported information.,"Working during the week of February 1, 2013",$YESNO.
ACTDED,F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN,Primary/secondary work activity on principal job: development or design,RECODE,Derived within SESTAT from reported information.,"Working during the week of February 1, 2013",$YESNO.
ACTMGT,F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES,Primary/secondary work activity on principal job: management/sales,RECODE,Derived within SESTAT from reported information.,"Working during the week of February 1, 2013",$YESNO.
ACTRD,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV,Primary/secondary work activity on principal job: basic research/applied research/development/design,RECODE,Derived within SESTAT from reported information.,"Working during the week of February 1, 2013",$YESNO.
ACTRDT,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH,Primary/secondary work activity on principal job: basic research/applied research/development/design/teaching,RECODE,Derived within SESTAT from reported information.,"Working during the week of February 1, 2013",$YESNO.
ACTRES,F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH,Primary/secondary work activity on principal job: basic or applied research,RECODE,Derived within SESTAT from reported information.,"Working during the week of February 1, 2013",$YESNO.
ACTTCH,F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH,Primary/secondary work activity on principal job: teaching,RECODE,Derived within SESTAT from reported information.,"Working during the week of February 1, 2013",$YESNO.
AGEP,U_DEM_AGE_PUB,Age (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,AGE13SD.
BA03Y5P,J_ED_BA_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of first bachelor's degree (5-year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,All respondents,B5Y13SD.
BTHUS,U_DEM_BIRTH_PLACE_REGION_US_NONUS,Place of birth (U.S./Non-U.S.),RECODE,Derived within SESTAT from reported information.,All respondents,$USNONUS.
CH1218IN,W_DEM_CHILDREN_IND_12_18,Children living in household indicator: ages 12-18,RECODE,Derived within SESTAT from reported information.,"Children living in the household on February 1, 2013",$YESNO.
CH19IN,W_DEM_CHILDREN_IND_19,Children living in household indicator: age 19 or older,RECODE,Derived within SESTAT from reported information.,"Children living in the household on February 1, 2013",$YESNO.
CH25IN,W_DEM_CHILDREN_IND_2_5,Children living in household indicator: ages 2-5,RECODE,Derived within SESTAT from reported information.,"Children living in the household on February 1, 2013",$YESNO.
CH611IN,W_DEM_CHILDREN_IND_6_11,Children living in household indicator: ages 6-11,RECODE,Derived within SESTAT from reported information.,"Children living in the household on February 1, 2013",$YESNO.
CH6IN,W_DEM_CHILDREN_IND_UNDER_6,Children living in household indicator: under age 6,RECODE,Derived within SESTAT from reported information.,"Children living in the household on February 1, 2013",$YESNO.
CHTOTPB,W_DEM_CHILDREN_TOTAL_PUB,Total number of children (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$CHTOTP.
CHU2IN,W_DEM_CHILDREN_IND_UNDER_2,Children living in household indicator: under age 2,RECODE,Derived within SESTAT from reported information.,"Children living in the household on February 1, 2013",$YESNO.
CHUN12,W_DEM_CHILDREN_UNDER_12_IND,Children living in household indicator: under age 12,RECODE,Derived within SESTAT from reported information.,"Children living in the household on February 1, 2013",$YESNO.
COHORT,Z_SURVEY_COHORT,Survey cohort,SYSTEM,Data item developed by survey contractors; describes the original survey where respondent entered SESTAT system,All respondents,$COHORT.
CTZUS,V_DEM_US_CITIZENSHIP_STATUS,Type of US citizen,E08,Were you a U.S. citizen?,U.S. citizens,$USCTZ.
CTZUSIN,V_DEM_CITIZENSHIP_US_CITIZEN,U.S. citizenship status,E07,"On February 1, 2013 were you a... (Response to US or Non-US citizen)",All respondents,$YESNO.
DGRDG,O_ED_HD_DEGREE_TYPE,Highest degree type,SYSTEM,Derived within SESTAT from reported information.,All respondents,$DEGREE.
EMSECPB,E_JOB_EMPLR_SECTOR_CD_PUB,Employer sector (recoded for public use),RECODE,Derived within SESTAT from reported information.,All respondents,$EMSECP.
EMSIZE,E_JOB_EMPLR_SIZE,Employer size,A11,"Counting all locations where this employer operates, how many people worked for your principal employer?  Your best estimate is fine.","Working during the week of February 1, 2013",$EMP2SIZ.
EMSMI,D_JOB_SAME_EMPLOYER_JOB,"Employment status (same job/employer?), current and previous reference weeks",B02,"During these two time periods - the week of October 1, 2010, and the week of February 1, 2013 -- were you working for…","Working during the weeks of October 1, 2010 and February 1, 2013 (working respondents in NSCG and SDR only)",$SAMEDIF.
FSDED,I_JOB_GOV_AGCY_SUPP_EDUC,Federal agency supporting work: Education,A43.02,"Which Federal agencies or departments were supporting your work? (Marked ""Dept. of Education"")",Work on job supported by U.S. government,$MRKALL.
FSDK,I_JOB_GOV_AGCY_SUPPORT_DONT_KNOW,Federal agency supporting work: Agency Unknown,A43.08,"Which Federal agencies or departments were supporting your work? (Marked ""Don't Know Source Agency"")",Work on job supported by U.S. government,$MRKALL.
FSDOD,I_JOB_GOV_AGCY_SUPP_DEFENSE,Federal agency supporting work: Defense,A43.01,"Which Federal agencies or departments were supporting your work? (Marked ""Dept. of Defense (DOD)"")",Work on job supported by U.S. government,$MRKALL.
FSDOE,I_JOB_GOV_AGCY_SUPP_ENERGY,Federal agency supporting work: Energy,A43.03,"Which Federal agencies or departments were supporting your work? (Marked ""Dept. of Energy (DOE)"")",Work on job supported by U.S. government,$MRKALL.
FSHHS,I_JOB_GOV_AGCY_SUPP_HHS,Federal agency supporting work: HHS,A43.05,"Which Federal agencies or departments were supporting your work? (Marked ""Dept. of Health and Humans Services Department (except NIH)"")",Work on job supported by U.S. government,$MRKALL.
FSNIH,I_JOB_GOV_AGCY_SUPP_NIH,Federal agency supporting work: NIH,A43.04,"Which Federal agencies or departments were supporting your work? (Marked ""National Institutes of Health (NIH)"")",Work on job supported by U.S. government,$MRKALL.
FSNSF,I_JOB_GOV_AGCY_SUPP_NSF,Federal agency supporting work: NSF,A43.06,"Which Federal agencies or departments were supporting your work? (Marked ""National Science Foundation (NSF)"")",Work on job supported by U.S. government,$MRKALL.
FSOT,I_JOB_GOV_AGCY_SUPP_OTHR,Federal agency supporting work: Other,A43.07,"Which Federal agencies or departments were supporting your work? (Marked ""Other"")",Work on job supported by U.S. government,$MRKALL.
FTPRET,B_JOB_RETIRED_PREVLY_IND,Previously retired,A08,"Although you were working during the week of February 1, 2013, had you previously retired from any position?","Working full-time during week of February 1, 2013 (for respondents to NSCG and SDR surveys)",$YESNO.
GENDER,U_DEM_GENDER,Gender,SYSTEM,Derived within SESTAT from reported information.,All respondents,$GENDER.
GOVSUP,I_JOB_GOV_AGCY_SUPPORT_IND,Federal government support indicator,A42,"Thinking back now to 2012, was any of your work during 2012 supported by contracts or grants from the U.S. government?",Worked during calendar year 2012,$YESNO.
HD03Y5P,O_ED_HD_DEGREE_AWARD_YR2003_5_YR_GROUPING_PUB,"Year of highest degree (5 year intervals), recoded for public use.",RECODE,Derived within SESTAT from reported information.,All respondents,HM5Y13S.
HRSWKP,B_PRINCIPAL_JOB_WKLY_HRS_PUB,Principal job: hours per week typically worked (recoded for public use),RECODE,"During a typical week on this job, how many hours did you usually work?","Working during the week of February 1, 2013",HRSWKP.
JOBINS,E_JOB_EMPLR_BENEFITS_HEALTHINS,Available benefits: health insurance,A41.1,"Concerning your principal job during the week of February 1, 2013, were any of the following benefits available to you, even if you chose not to take them? (Response to ""Health insurance that was at least partially paid by your employer"")","Working week of February 1, 2013",$YESNO.
