SESTAT PUBLIC-USE DATA DICTIONARY/FILE LAYOUT FOR SDR01.DAT


SAS NAME          LENGTH   FORMAT   START     END     TYPE        LABEL
--------          ------   ------   -----    -----   ---------    ------------------------------
ACTCAP             0001    $CHAR1.  00001    00001   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER              
ACTDED             0001    $CHAR1.  00002    00002   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN            
ACTMGT             0001    $CHAR1.  00003    00003   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES             
ACTRD              0001    $CHAR1.  00004    00004   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV             
ACTRDT             0001    $CHAR1.  00005    00005   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TE          
ACTRES             0001    $CHAR1.  00006    00006   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH                 
ACTTCH             0001    $CHAR1.  00007    00007   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH                 
ADQCOMM            0001    $CHAR1.  00008    00008   Character    D_JOB_PHD_CAREER_PREPARE_COMMUNICATION            
ADQCOMP            0001    $CHAR1.  00009    00009   Character    D_JOB_PHD_CAREER_PREPARE_COMPUTER                 
ADQCONT            0001    $CHAR1.  00010    00010   Character    D_JOB_PHD_CAREER_PREPARE_CONTACTS                 
ADQETHIC           0001    $CHAR1.  00011    00011   Character    D_JOB_PHD_CAREER_PREPARE_ETHICS                   
ADQGP              0001    $CHAR1.  00012    00012   Character    D_JOB_PHD_CAREER_PREPARE_PROBLEM_SOLVING          
ADQKNOW            0001    $CHAR1.  00013    00013   Character    D_JOB_PHD_CAREER_PREPARE_KNOWLEDGE                
ADQMNG             0001    $CHAR1.  00014    00014   Character    D_JOB_PHD_CAREER_PREPARE_MANAGEMENT               
ADQNONE            0001    $CHAR1.  00015    00015   Character    D_JOB_PHD_CAREER_BETTER_PREPARE_NONE              
ADQPRI             0002    $CHAR2.  00016    00017   Character    D_JOB_PHD_CAREER_BETTER_PREPARE_PRIMARY_          
ADQQUA             0001    $CHAR1.  00018    00018   Character    D_JOB_PHD_CAREER_PREPARE_QUANTITATIVE             
ADQSEC             0002    $CHAR2.  00019    00020   Character    D_JOB_PHD_CAREER_BETTER_PREPARE_SECONDAR          
ADQTEACH           0001    $CHAR1.  00021    00021   Character    D_JOB_PHD_CAREER_PREPARE_TEACHING                 
ADQTEAM            0001    $CHAR1.  00022    00022   Character    D_JOB_PHD_CAREER_PREPARE_TEAM_WORK                
ADQWRITE           0001    $CHAR1.  00023    00023   Character    D_JOB_PHD_CAREER_PREPARE_WRITING                  
AGEP               0003    3.0      00024    00026   Numeric      U_DEM_AGE_PUB                                     
BAAYR5P            0005    5.0      00027    00031   Numeric      J_ED_BA_DEGREE_AWARD_YR_5_YR_GROUPING_PU          
BAMEDP             0006    $CHAR6.  00032    00037   Character    J_ED_BA_MAJOR_ED_CAT_PUB                          
BAMEMG             0001    $CHAR1.  00038    00038   Character    J_ED_BA_MAJOR_ED_GROUP_MAJOR                      
BTHUS              0002    $CHAR2.  00039    00040   Character    U_DEM_BIRTH_PLACE_REGION_US_NONUS                 
CCAFDG             0001    $CHAR1.  00041    00041   Character    N_ED_SINCE_MR_ENROLL_IND                          
